[37m/* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * */
[37m					Automatic Seed Generator for RPR fault (MTTG)     
[37m/* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * */

[33m	completion of setup options... 
[33m	completion of read the netlists... 
[33m	completion of initialize the global variables... 
[33m	completion of read the files... 
[33m	completion of create the lfsr model... 
0	2194	2194
1	2147	2147
2	2103	2103
3	2080	2080
4	2075	2075
5	2055	2055
6	2021	2021
7	2015	2015
8	1993	1993
9	1942	1942
10	1930	1930
11	1921	1921
12	1906	1906
13	1866	1866
14	1847	1847
15	1811	1811
16	1755	1755
17	1751	1751
18	1702	1702
19	1685	1685
20	1683	1683
21	1667	1667
22	1664	1664
23	1658	1658
24	1543	1543
25	1523	1523
26	1517	1517
27	1513	1513
28	1508	1508
29	1485	1485
30	1445	1445
31	1436	1436
32	1422	1422
33	1414	1414
34	1406	1406
35	1401	1401
36	1399	1399
37	1388	1388
38	1376	1376
39	1358	1358
40	1344	1344
41	1341	1341
42	1288	1288
43	1283	1283
44	1279	1279
45	1275	1275
46	1273	1273
47	1270	1270
48	1261	1261
49	1258	1258
50	1250	1250
51	1227	1227
52	1224	1224
53	1192	1192
54	1188	1188
55	1184	1184
56	1170	1170
57	1155	1155
58	1136	1136
59	1129	1129
60	1124	1124
61	1115	1115
62	1114	1114
63	1110	1110
64	1107	1107
65	1103	1103
66	1099	1099
67	1097	1097
68	1064	1064
69	1062	1062
70	1045	1045
71	1041	1041
72	1036	1036
73	1021	1021
74	1018	1018
75	1015	1015
76	1012	1012
77	1010	1010
78	1008	1008
79	1004	1004
80	1001	1001
81	988	988
82	985	985
83	983	983
84	979	979
85	978	978
86	976	976
87	972	972
88	968	968
89	967	967
90	965	965
91	962	962
92	957	957
93	953	953
94	950	950
95	947	947
96	944	944
97	942	942
98	939	939
99	932	932
100	929	929
101	928	928
102	924	924
103	919	919
104	908	908
105	906	906
106	904	904
107	898	898
108	895	895
109	893	893
110	889	889
111	887	887
112	881	881
113	879	879
114	876	876
115	874	874
116	871	871
117	866	866
118	864	864
119	860	860
120	857	857
121	823	823
122	820	820
123	818	818
124	816	816
125	814	814
126	813	813
127	812	812
128	810	810
129	808	808
130	806	806
131	803	803
132	798	798
133	796	796
134	777	777
135	774	774
136	771	771
137	768	768
138	765	765
139	763	763
140	760	760
141	759	759
142	758	758
143	756	756
144	751	751
145	749	749
146	746	746
147	742	742
148	740	740
149	736	736
150	726	726
151	719	719
152	710	710
153	702	702
154	689	689
155	686	686
156	683	683
157	680	680
158	678	678
159	675	675
160	673	673
161	671	671
162	669	669
163	666	666
164	662	662
165	660	660
166	659	659
167	656	656
168	642	642
169	634	634
170	629	629
171	625	625
172	622	622
173	620	620
174	618	618
175	615	615
176	614	614
177	613	613
178	612	612
179	610	610
180	608	608
181	606	606
182	594	594
183	592	592
184	589	589
185	586	586
186	584	584
187	582	582
188	580	580
189	579	579
190	578	578
191	576	576
192	574	574
193	572	572
194	566	566
195	555	555
196	547	547
197	543	543
198	529	529
199	527	527
200	524	524
201	520	520
202	512	512
203	505	505
204	500	500
205	494	494
206	490	490
207	486	486
208	482	482
209	474	474
210	472	472
211	470	470
212	462	462
213	460	460
214	457	457
215	455	455
216	454	454
217	452	452
218	451	451
219	450	450
220	448	448
221	446	446
222	435	435
223	430	430
224	425	425
225	420	420
226	418	418
227	413	413
228	408	408
229	406	406
230	401	401
231	386	386
232	380	380
233	377	377
234	375	375
235	371	371
236	367	367
237	365	365
238	363	363
239	362	362
240	361	361
241	357	357
242	352	352
243	351	351
244	347	347
245	344	344
246	338	338
247	334	334
248	327	327
249	323	323
250	319	319
251	318	318
252	310	310
253	307	307
254	304	304
255	295	295
256	292	292
257	291	291
258	287	287
259	286	286
260	284	284
261	278	278
262	277	277
263	274	274
264	270	270
265	234	234
266	229	229
267	225	225
268	219	219
269	207	207
270	206	206
271	203	203
272	201	201
273	200	200
274	195	195
275	194	194
276	191	191
277	188	188
278	184	184
279	182	182
280	177	177
281	175	175
282	173	173
283	171	171
284	170	170
285	137	137
286	136	136
287	135	135
288	133	133
289	131	131
290	128	128
291	127	127
292	125	125
293	124	124
294	122	122
295	120	120
296	118	118
297	117	117
298	116	116
299	115	115
300	114	114
301	112	112
302	111	111
303	110	110
304	108	108
305	107	107
306	106	106
307	105	105
308	104	104
309	103	103
310	102	102
311	101	101
312	100	100
313	98	98
314	97	97
315	96	96
316	95	95
317	94	94
318	93	93
319	92	92
320	91	91
321	90	90
322	89	89
323	68	68
324	67	67
325	64	64
326	63	63
327	62	62
328	61	61
329	60	60
330	59	59
331	58	58
332	57	57
333	56	56
334	54	54
335	53	53
336	52	52
337	51	51
338	49	49
339	48	48
340	47	47
341	46	46
342	45	45
343	44	44
344	43	43
345	42	42
346	41	41
347	39	39
348	37	37
349	36	36
350	35	35
351	34	34
352	33	33
353	31	31
354	30	30
355	29	29
356	28	28
357	27	27
358	26	26
359	25	25
360	24	24
361	23	23
362	22	22
363	21	21
364	20	20
365	19	19
366	18	18
367	17	17
368	16	16
369	15	15
370	14	14
371	13	13
372	12	12
373	11	11
374	10	10
375	9	9
376	8	8
377	7	7
378	6	6
379	5	5
380	4	4
381	3	3
382	2	2
383	1	1
[33mRuntimeÅF	84385.625[s]
[37m
