net_name,f_type,cube_cnt,fdp
c_h_A,sa0,3,1.8750000000e-01
c_h_A,sa0,1.8750000000e-01
h_i_B,sa1,3,1.2500000000e-01
h_i_B,sa1,1.2500000000e-01
h_j_B,sa1,2,1.2500000000e-01
h_j_B,sa1,1.2500000000e-01
i_l_A,sa0,3,1.8750000000e-01
i_l_A,sa0,1.8750000000e-01
i_k_B,sa0,3,3.1250000000e-01
i_k_B,sa0,3.1250000000e-01
a,sa1,3,1.8750000000e-01
a,sa1,1.8750000000e-01
b,sa1,4,3.4375000000e-01
b,sa1,3.4375000000e-01
c,sa0,5,2.8125000000e-01
c,sa0,2.8125000000e-01
d,sa0,4,1.8750000000e-01
d,sa0,1.8750000000e-01
c,sa1,4,2.8125000000e-01
c,sa1,2.8125000000e-01
e,sa1,3,1.8750000000e-01
e,sa1,1.8750000000e-01
g,sa0,3,1.8750000000e-01
g,sa0,1.8750000000e-01
c_f_A,sa0,,1.8750000000e-01
a,sa0,,1.8750000000e-01
f,sa0,,1.8750000000e-01
f,sa1,2,1.2500000000e-01
f,sa1,1.2500000000e-01
c_f_A,sa1,,1.2500000000e-01
h,sa0,7,5.6250000000e-01
h,sa0,5.6250000000e-01
i,sa0,4,3.4375000000e-01
i,sa0,3.4375000000e-01
h_i_B,sa0,,3.4375000000e-01
b,sa0,,3.4375000000e-01
h,sa1,4,1.8750000000e-01
h,sa1,1.8750000000e-01
d,sa1,,1.8750000000e-01
c_h_A,sa1,,1.8750000000e-01
j,sa0,3,1.8750000000e-01
j,sa0,1.8750000000e-01
h_j_B,sa0,,1.8750000000e-01
e,sa0,,1.8750000000e-01
i,sa1,6,5.9375000000e-01
i,sa1,5.9375000000e-01
k,sa0,4,5.6250000000e-01
k,sa0,5.6250000000e-01
l,sa0,5,5.6250000000e-01
l,sa0,5.6250000000e-01
k,sa1,4,4.3750000000e-01
k,sa1,4.3750000000e-01
i_k_B,sa1,,4.3750000000e-01
g,sa1,,4.3750000000e-01
l,sa1,3,4.3750000000e-01
l,sa1,4.3750000000e-01
j,sa1,,4.3750000000e-01
i_l_A,sa1,,4.3750000000e-01
