name,type,cube,rel,var,den,n=10,n=100,n=1000,n=10000,n=100000
P_8,sa0,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
P_7,sa1,9,0,18,3.1225585938e-01,9.7632614462e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II131_1_C,sa0,2,0,5,9.3750000000e-02,6.2633691437e-01,9.9994693576e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
P_8,sa1,10,0,18,3.1250000000e-01,9.7641004975e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II131_1_C,sa1,2,0,5,9.3750000000e-02,6.2633691437e-01,9.9994693576e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_2_II135_2_A,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1,sa0,8268,0,19,1.7089843750e-01,8.4651097193e-01,9.9999999274e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_2_II135_2_A,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_2,sa0,4172,0,18,1.5527343750e-01,8.1500435351e-01,9.9999995305e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1,sa1,8141,0,19,1.7089843750e-01,8.4651097193e-01,9.9999999274e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II127_1_B,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
Y_2,sa1,4045,0,18,1.5527343750e-01,8.1500435351e-01,9.9999995305e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3,sa0,2124,0,17,1.4746093750e-01,7.9716501202e-01,9.9999988212e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II127_1_B,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
Y_3,sa1,1997,0,17,1.4746093750e-01,7.9716501202e-01,9.9999988212e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_4,sa0,1100,0,16,1.4355468750e-01,7.8767732982e-01,9.9999981381e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Clear_II113_A,sa0,4,0,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5,sa0,517,0,15,7.9589843750e-02,5.6367105661e-01,9.9974988472e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_4,sa1,973,0,16,1.4355468750e-01,7.8767732982e-01,9.9999981381e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Clear_II113_A,sa1,4,0,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
