net_name,f_type,cube_cnt,fdp
G14_G8_A,sa1,6,1.0937500000e-01
G14_G8_A,sa1,1.0937500000e-01
G8_G15_B,sa0,3,9.3750000000e-02
G8_G15_B,sa0,9.3750000000e-02
G8_G16_B,sa0,2,6.2500000000e-02
G8_G16_B,sa0,6.2500000000e-02
G10,sa0,5,4.6875000000e-01
G10,sa0,4.6875000000e-01
G11,sa0,3,1.7187500000e-01
G11,sa0,1.7187500000e-01
G10,sa1,3,5.3125000000e-01
G10,sa1,5.3125000000e-01
G14_G10_A,sa1,,5.3125000000e-01
G11_G10_B,sa1,,5.3125000000e-01
G11,sa1,8,8.2812500000e-01
G11,sa1,8.2812500000e-01
G12,sa0,4,1.4843750000e-01
G12,sa0,1.4843750000e-01
G13,sa0,3,3.7500000000e-01
G13,sa0,3.7500000000e-01
G12,sa1,7,4.4531250000e-01
G12,sa1,4.4531250000e-01
G1,sa1,,4.4531250000e-01
G7,sa1,,4.4531250000e-01
G13,sa1,3,6.2500000000e-01
G13,sa1,6.2500000000e-01
G2,sa1,,6.2500000000e-01
G12_G13_B,sa1,,6.2500000000e-01
G14,sa0,8,4.6875000000e-01
G14,sa0,4.6875000000e-01
G0,sa1,,4.6875000000e-01
G14,sa1,5,4.6875000000e-01
G14,sa1,4.6875000000e-01
G0,sa0,,4.6875000000e-01
G15,sa1,5,1.4062500000e-01
G15,sa1,1.4062500000e-01
G12_G15_A,sa1,,1.4062500000e-01
G8_G15_B,sa1,,1.4062500000e-01
G17,sa0,8,8.2812500000e-01
G17,sa0,8.2812500000e-01
G11_stem_G17_A,sa1,,8.2812500000e-01
G16,sa1,3,4.6875000000e-02
G16,sa1,4.6875000000e-02
G3,sa1,,4.6875000000e-02
G8_G16_B,sa1,,4.6875000000e-02
G17,sa1,3,1.7187500000e-01
G17,sa1,1.7187500000e-01
G11_stem_G17_A,sa0,,1.7187500000e-01
G11_G10_B,sa0,2,3.1250000000e-02
G11_G10_B,sa0,3.1250000000e-02
G14_G10_A,sa0,5,3.5937500000e-01
G14_G10_A,sa0,3.5937500000e-01
G12_G13_B,sa0,2,1.2500000000e-01
G12_G13_B,sa0,1.2500000000e-01
G12_G15_A,sa0,3,4.6875000000e-02
G12_G15_A,sa0,4.6875000000e-02
G11_stem,sa0,3,1.7187500000e-01
G11_stem,sa0,1.7187500000e-01
G11_stem,sa1,8,8.2812500000e-01
G11_stem,sa1,8.2812500000e-01
G5,sa1,,8.2812500000e-01
G9,sa1,,8.2812500000e-01
G1,sa0,4,1.4843750000e-01
G1,sa0,1.4843750000e-01
G2,sa0,3,3.7500000000e-01
G2,sa0,3.7500000000e-01
G3,sa0,3,4.6875000000e-02
G3,sa0,4.6875000000e-02
G5,sa0,3,1.7187500000e-01
G5,sa0,1.7187500000e-01
G6,sa1,6,1.0937500000e-01
G6,sa1,1.0937500000e-01
G7,sa0,4,1.4843750000e-01
G7,sa0,1.4843750000e-01
G8,sa0,4,1.0937500000e-01
G8,sa0,1.0937500000e-01
G14_G8_A,sa0,,1.0937500000e-01
G6,sa0,,1.0937500000e-01
G8,sa1,11,3.2812500000e-01
G8,sa1,3.2812500000e-01
G9,sa0,7,3.2812500000e-01
G9,sa0,3.2812500000e-01
G16,sa0,,3.2812500000e-01
G15,sa0,,3.2812500000e-01
