name,cube,rel,var,den,n=10,n=100,n=1000,n=10000,n=100000
g7426_g13067_B,2,0,6,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g6980_g13090_B,2,0,6,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g7488_g13122_B,2,0,6,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g6519_g21741_B,2,0,14,1.2207031250e-04,1.2200327910e-03,1.2133563764e-02,1.1492046122e-01,7.0499932570e-01,9.9999500851e-01
g6184_g25605_B,4,0,13,3.6621093750e-04,3.6560802945e-03,3.5965118512e-02,3.0668997208e-01,9.7433892665e-01,1.0000000000e+00
g337_g5807_A,100,0,62,1.2932287066e-07,1.2932279540e-06,1.2932204281e-05,1.2931451718e-04,1.2923929303e-03,1.2849025180e-02
g7085_g10169_A,100,0,100,7.6106801974e-09,7.6106799367e-08,7.6106773302e-07,7.6106512652e-06,7.6103906214e-05,7.6077848383e-04
g4587_g10272_B,100,0,84,2.2886210216e-07,2.2886186646e-06,2.2885950947e-05,2.2883594141e-04,2.2860043865e-03,2.2626309972e-02
g6783_g10309_A,100,0,100,3.6514826718e-09,3.6514826118e-08,3.6514820118e-07,3.6514760118e-06,3.6514160126e-05,3.6508160933e-04
g7488_g10540_A,100,0,57,4.3903805876e-03,4.3046488568e-02,3.5596658080e-01,9.8772323234e-01,1.0000000000e+00,1.0000000000e+00
g5391_g10764_B,100,0,53,5.2490065627e-09,5.2490064388e-08,5.2490051989e-07,5.2489928005e-06,5.2488688186e-05,5.2476292140e-04
g7607_g15902_A,1,0,13,1.2207031250e-04,1.2200327910e-03,1.2133563764e-02,1.1492046122e-01,7.0499932570e-01,9.9999500851e-01
g14837_II24619_B,100,0,56,1.9790957140e-07,1.9790939514e-06,1.9790763258e-05,1.9789000817e-04,1.9771387908e-03,1.9596403661e-02
g14863_II24738_A,100,0,56,3.4238973967e-07,3.4238921213e-06,3.4238393682e-05,3.4233118959e-04,3.4180431282e-03,3.3659458856e-02
g1332_g19774_A,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g18436_II26285_B,100,0,68,1.2371454256e-06,1.2371385382e-05,1.2370696675e-04,1.2363812410e-03,1.2295249982e-02,1.1636802339e-01
g2760_g19930_A,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g18656_II26525_A,100,0,46,6.1555277853e-07,6.1555107346e-06,6.1553402310e-05,6.1536355412e-04,6.1366232200e-03,5.9699051330e-02
g18720_II26558_C,100,0,56,6.9861926022e-08,6.9861904059e-07,6.9861684428e-06,6.9859488175e-05,6.9837530699e-04,6.9618461309e-03
g18772_II26651_B,100,0,46,1.1292831914e-07,1.1292826175e-06,1.1292768788e-05,1.1292194935e-04,1.1286458548e-03,1.1229307868e-02
g14936_II26654_A,100,0,55,1.6168080919e-07,1.6168069155e-06,1.6167951523e-05,1.6166775262e-04,1.6155018923e-03,1.6038080354e-02
g13724_II26667_C,100,0,56,1.6321884289e-07,1.6321872300e-06,1.6321752419e-05,1.6320553673e-04,1.6308572667e-03,1.6189405400e-02
g16266_II26726_C,100,0,56,1.8711170924e-07,1.8711155169e-06,1.8710997621e-05,1.8709422244e-04,1.8693678188e-03,1.8537205416e-02
g9174_g15540_B,3,0,18,2.6702880859e-05,2.6699672391e-04,2.6667615957e-03,2.6349858386e-02,2.3435171594e-01,9.3077019069e-01
g6301_g26973_A,2,0,14,1.8310546875e-04,1.8295466814e-03,1.8145573491e-02,1.6733363113e-01,8.3978239332e-01,9.9999998885e-01
g18147_II26538_C,100,0,98,6.1181873179e-09,6.1181871494e-08,6.1181854650e-07,6.1181686205e-06,6.1180001793e-05,6.1163161074e-04
g7928_g13024_C,3,0,16,5.6457519531e-04,5.6314299947e-03,5.4908435744e-02,4.3148900630e-01,9.9647313632e-01,1.0000000000e+00
g8183_g13374_A,3,0,16,5.6457519531e-04,5.6314299947e-03,5.4908435744e-02,4.3148900630e-01,9.9647313632e-01,1.0000000000e+00
g7880_g13404_D,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
g15188_II22946_A,100,0,100,1.9539117757e-09,1.9539117585e-08,1.9539115867e-07,1.9539098687e-06,1.9538926888e-05,1.9537209014e-04
g13918_II24278_B,100,0,52,1.5196276282e-07,1.5196265890e-06,1.5196161974e-05,1.5195122861e-04,1.5184736941e-03,1.5081396669e-02
g13978_II24380_B,100,0,52,1.4226402056e-07,1.4226392949e-06,1.4226301874e-05,1.4225391164e-04,1.4216288338e-03,1.4125685976e-02
g14374_II24696_A,100,0,52,4.0076491903e-08,4.0076484675e-07,4.0076412400e-06,4.0075689654e-05,4.0068463152e-04,3.9996293615e-03
g17993_II25811_A,100,0,51,1.5759906091e-07,1.5759894914e-06,1.5759783146e-05,1.5758665525e-04,1.5747495121e-03,1.5636369825e-02
g15151_II36779_B,100,0,34,5.5352225900e-05,5.5338440524e-04,5.5200838251e-03,5.3849619419e-02,4.2508758924e-01,9.9605527403e-01
g6980_g10705_B,30,0,9,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g6980_g10723_B,30,0,9,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g7426_g10763_B,30,0,9,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g9534_g11662_A,10,0,6,2.1875000000e-01,9.1529670527e-01,9.9999999998e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g3366_g11691_B,2,0,6,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g6912_g13059_B,2,0,6,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g9822_g13093_A,10,0,6,2.1875000000e-01,9.1529670527e-01,9.9999999998e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
