fault name,cube num,test relation PI,BDD Var num
n1559gat_n1639gat_B,10,30,19
n2784gat_n78gat_A,100,40,36
n1986gat_n1663gat_A,19,30,19
n1658gat_n1728gat_C,10,30,19
n1797gat_n1571gat_C,19,30,19
n2784gat_n77gat_B,6,17,15
n297gat_n197gat_B,100,37,34
n2920gat,4,14,14
n1516gat,2,10,10
n1614gat,82,30,19
n3091gat,100,61,51
n2722gat,100,61,57
n1740gat,29,33,30
n1515gat,19,30,19
n2442gat,4,15,14
n17gat,100,60,44
n2461gat,100,62,36
n1246gat,100,62,25
n1291gat,100,62,20
n1723gat,10,30,19
n1264gat,4,15,9
n1093gat,100,23,18
n2470gat,2,1,1
n1606gat,2,2,2
n2560gat,2,1,1
n2532gat,2,1,1
n2632gat,2,1,1
n2541gat,2,1,1
n1918gat_n1865gat_B,7,13,13
n1713gat,6,5,5
n1991gat_n1667gat_A,32,30,29
n2307gat,2,1,1
n2199gat_n2197gat_A,55,19,19
n2199gat_n2637gat_B,55,20,20
n2613gat,33,6,6
n2985gat_n1760gat_C,100,31,31
n484gat_n477gat_C,65,20,3
n485gat_n478gat_A,65,20,3
n482gat_n479gat_C,65,20,3
n483gat_n479gat_B,65,20,3
n373gat_n868gat_B,3,4,4
n856gat_n962gat_A,3,4,4
n373gat_n959gat_A,3,4,4
n952gat_n946gat_B,65,20,3
n938gat_n934gat_A,65,20,9
n591gat_n588gat_A,65,20,3
n696gat_n690gat_A,65,20,3
n785gat_n780gat_B,65,88,3
n2649gat_n2647gat_A,5,24,4
n1659gat_n1647gat_B,53,30,29
n1893gat_n1962gat_B,45,23,21
n219gat_n969gat_A,100,23,23
n219gat_n968gat_B,100,22,22
n2214gat_II4023_C,2,10,10
n1774gat_n1686gat_A,100,31,27
n721gat_n989gat_A,100,24,18
n823gat_n995gat_A,100,23,18
n741gat_n987gat_A,100,23,21
n670gat_n977gat_A,100,34,32
n1719gat_n1794gat_B,11,13,13
n3108gat,6,6,6
n3109gat,6,5,5
n3117gat,100,13,10
n3118gat,100,20,20
n3126gat,2,1,1
n3127gat,2,1,1
n3135gat,68,15,15
n3136gat,18,15,15
n3144gat,100,56,41
n3145gat,19,8,8
n3064gat,100,22,22
n3055gat,100,20,20
n3063gat,100,21,21
n3037gat,50,22,20
