net_name,f_type,cube_cnt,fdp
SUB_60_U13_SUB_60_U107_B,sa1,30,4.1723251343e-05
U633_GT_142_U6_A,sa0,6,1.2109375000e-01
U634_GT_130_U8_A,sa0,1,0.0000000000e+00
U634_R794_U65_A,sa1,18,7.8125000000e-02
U755_R794_U43_A,sa1,3,7.8125000000e-03
U642_R794_U39_A,sa1,6,1.9531250000e-02
SUB_103_U18_SUB_103_U8_A,sa1,5,5.8593750000e-02
MAX_REG_3__SCAN_IN_U986_B,sa1,30,2.6410293579e-01
U611_U621_A,sa1,1,0.0000000000e+00
GT_118_U6_U611_B,sa0,1,0.0000000000e+00
U604_U610_A,sa1,30,5.1459670067e-04
R794_U53,sa1,1,0.0000000000e+00
R794_U44,sa1,10,4.6875000000e-02
R794_U38_R794_U44_A,sa0,,4.6875000000e-02
R794_U36,sa0,20,7.4218750000e-02
R794_U51,sa0,,7.4218750000e-02
U751_R794_U51_A,sa0,,7.4218750000e-02
R794_U12_R794_U51_B,sa0,,7.4218750000e-02
R794_U50,sa0,,7.4218750000e-02
R794_U49,sa0,,7.4218750000e-02
U639_R794_U49_A,sa0,,7.4218750000e-02
R794_U13_R794_U49_B,sa0,,7.4218750000e-02
R794_U37_R794_U50_B,sa0,,7.4218750000e-02
R794_U35,sa1,1,0.0000000000e+00
R794_U27,sa0,1,0.0000000000e+00
R794_U68,sa0,,0.0000000000e+00
U635_R794_U68_A,sa0,,0.0000000000e+00
R794_U16_R794_U68_B,sa0,,0.0000000000e+00
R794_U67,sa0,,0.0000000000e+00
U637_R794_U67_A,sa0,,0.0000000000e+00
R794_U17_R794_U67_B,sa0,,0.0000000000e+00
R794_U80,sa1,1,0.0000000000e+00
R794_U71,sa1,1,0.0000000000e+00
R794_U18,sa0,20,7.4218750000e-02
R794_U59,sa0,,7.4218750000e-02
U635_R794_U59_A,sa0,,7.4218750000e-02
R794_U16_R794_U59_B,sa0,,7.4218750000e-02
R794_U58,sa0,,7.4218750000e-02
R794_U57,sa0,,7.4218750000e-02
U637_R794_U57_A,sa0,,7.4218750000e-02
R794_U17_R794_U57_B,sa0,,7.4218750000e-02
R794_U35_R794_U58_B,sa0,,7.4218750000e-02
R794_U17,sa1,1,0.0000000000e+00
U635_R794_U17_A,sa0,,0.0000000000e+00
R794_U62,sa1,5,1.5625000000e-02
ADD_304_U16,sa1,3,1.7578125000e-02
ADD_304_U25,sa1,2,6.2500000000e-02
ADD_304_U17,sa0,5,1.1132812500e-01
ADD_304_U7_ADD_304_U17_A,sa1,,1.1132812500e-01
ADD_283_U10,sa1,30,8.5830688477e-04
NUM_REG_3__SCAN_IN_ADD_283_U10_A,sa0,,8.5830688477e-04
R794_U26,sa1,10,4.6875000000e-02
NUM_REG_1__SCAN_IN,sa1,30,3.8437926769e-01
NUM_REG_2__SCAN_IN,sa0,30,3.8032150269e-01
SUB_60_U38_SUB_60_U120_A,sa1,30,1.0123848915e-04
SUB_60_U43_SUB_60_U105_B,sa1,1,0.0000000000e+00
SUB_60_U35_SUB_60_U105_A,sa1,30,9.5084309578e-05
U633_GT_134_U6_A,sa0,6,1.2109375000e-01
U751_GT_130_U7_B,sa1,1,0.0000000000e+00
U636_R794_U73_A,sa1,18,7.8125000000e-02
U636_R794_U55_A,sa1,1,0.0000000000e+00
U638_R794_U53_A,sa1,20,7.4218750000e-02
U760_GT_160_U6_A,sa0,6,1.2109375000e-01
MAX_REG_2__SCAN_IN_U988_B,sa1,30,2.6287463307e-01
GT_224_U6_U903_A,sa0,1,0.0000000000e+00
GT_224_U6_U901_C,sa0,1,0.0000000000e+00
NUM_REG_4__SCAN_IN_U805_B,sa1,30,3.8073730469e-01
GT_215_U6_U713_B,sa0,3,1.5625000000e-02
GT_138_U6_U710_A,sa0,1,0.0000000000e+00
GT_130_U6_U709_A,sa0,1,0.0000000000e+00
U602_U631_A,sa1,3,3.1250000000e-02
R794_U45,sa1,2,3.9062500000e-03
R794_U37,sa0,16,5.8593750000e-02
R794_U47,sa0,,5.8593750000e-02
U753_R794_U47_A,sa0,,5.8593750000e-02
R794_U10_R794_U47_B,sa0,,5.8593750000e-02
R794_U46,sa0,,5.8593750000e-02
R794_U45,sa0,,5.8593750000e-02
U640_R794_U45_A,sa0,,5.8593750000e-02
R794_U11_R794_U45_B,sa0,,5.8593750000e-02
R794_U38_R794_U46_B,sa0,,5.8593750000e-02
R794_U36,sa1,1,0.0000000000e+00
R794_U54,sa1,20,7.4218750000e-02
R794_U28,sa0,1,0.0000000000e+00
R794_U73,sa0,,0.0000000000e+00
U636_R794_U73_A,sa0,,0.0000000000e+00
R794_U14_R794_U73_B,sa0,,0.0000000000e+00
R794_U72,sa0,,0.0000000000e+00
U638_R794_U72_A,sa0,,0.0000000000e+00
R794_U15_R794_U72_B,sa0,,0.0000000000e+00
R794_U72,sa1,1,0.0000000000e+00
R794_U27,sa1,18,7.8125000000e-02
R794_U90,sa1,3,7.8125000000e-03
R794_U81,sa1,1,0.0000000000e+00
R794_U63,sa1,1,0.0000000000e+00
R794_U18,sa1,1,0.0000000000e+00
ADD_304_U18,sa0,4,4.8828125000e-02
ADD_304_U9_ADD_304_U18_A,sa1,,4.8828125000e-02
ADD_304_U26,sa1,2,1.2500000000e-01
ADD_304_U17,sa1,9,3.7500000000e-01
ADD_304_U7_ADD_304_U17_A,sa0,,3.7500000000e-01
ADD_283_U20,sa1,30,1.4934539795e-03
NUM_REG_2__SCAN_IN,sa1,30,3.8190793991e-01
NUM_REG_3__SCAN_IN,sa0,30,3.8166284561e-01
ADD_283_U11,sa1,30,2.3403167725e-03
GT_130_U6,sa0,1,0.0000000000e+00
U636_GT_130_U7_A,sa1,4,5.4687500000e-02
U641_R794_U87_A,sa1,5,1.9531250000e-02
U753_R794_U83_A,sa1,4,1.5625000000e-02
U638_R794_U72_A,sa1,18,7.8125000000e-02
U753_R794_U47_A,sa1,1,0.0000000000e+00
NUM_REG_1__SCAN_IN_GT_197_U8_B,sa0,2,1.5625000000e-02
NUM_REG_2__SCAN_IN_GT_197_U8_A,sa0,3,1.5625000000e-02
U633_GT_126_U6_A,sa0,6,1.2109375000e-01
SUB_103_U9_SUB_103_U19_A,sa1,1,0.0000000000e+00
NUM_REG_3__SCAN_IN_U807_B,sa1,30,3.8092041016e-01
GT_146_U6_U720_A,sa1,9,1.6406250000e-01
MAX_REG_8__SCAN_IN_U587_B,sa1,17,1.2109375000e-01
GT_130_U7,sa0,1,0.0000000000e+00
U636_GT_130_U7_A,sa0,,0.0000000000e+00
U751_GT_130_U7_B,sa0,,0.0000000000e+00
GT_130_U9,sa0,,0.0000000000e+00
R794_U38,sa0,14,5.0781250000e-02
R794_U43,sa0,,5.0781250000e-02
U755_R794_U43_A,sa0,,5.0781250000e-02
R794_U8_R794_U43_B,sa0,,5.0781250000e-02
R794_U42,sa0,,5.0781250000e-02
R794_U41,sa0,,5.0781250000e-02
U641_R794_U41_A,sa0,,5.0781250000e-02
R794_U9_R794_U41_B,sa0,,5.0781250000e-02
R794_U39_R794_U42_B,sa0,,5.0781250000e-02
R794_U37,sa1,4,1.1718750000e-02
R794_U46,sa1,10,3.5156250000e-02
R794_U55,sa1,1,0.0000000000e+00
R794_U82,sa1,5,1.5625000000e-02
R794_U29,sa0,4,1.1718750000e-02
R794_U78,sa0,,1.1718750000e-02
U751_R794_U78_A,sa0,,1.1718750000e-02
R794_U12_R794_U78_B,sa0,,1.1718750000e-02
R794_U77,sa0,,1.1718750000e-02
U639_R794_U77_A,sa0,,1.1718750000e-02
R794_U13_R794_U77_B,sa0,,1.1718750000e-02
R794_U28,sa1,18,7.8125000000e-02
R794_U73,sa1,1,0.0000000000e+00
R794_U91,sa1,7,2.3437500000e-02
R794_U64,sa1,1,0.0000000000e+00
R794_U19,sa1,7,2.3437500000e-02
U757_R794_U19_A,sa0,,2.3437500000e-02
ADD_304_U18,sa1,10,4.3750000000e-01
ADD_304_U9_ADD_304_U18_A,sa0,,4.3750000000e-01
ADD_304_U27,sa1,2,1.2500000000e-01
ADD_283_U21,sa1,30,4.2915344238e-04
NUM_REG_3__SCAN_IN,sa1,30,3.7964248657e-01
ADD_283_U12,sa1,30,3.2997131348e-03
NUM_REG_4__SCAN_IN,sa0,30,3.7966728210e-01
