net_name,f_type,cube_cnt,fdp
P2_U3398_P2_R1161_U396_A,sa1,30,3.2433308661e-06
P2_R1161_U301_P2_R1161_U133_A,sa1,30,1.1349948181e-07
P2_R1054_U102_P2_R1054_U150_A,sa1,30,1.0528564453e-03
P2_R1131_U161_P2_R1131_U341_B,sa1,30,4.5835122366e-09
P2_U3898_P2_R1131_U295_A,sa1,30,1.1994748117e-06
P2_R1131_U224_P2_R1131_U225_A,sa1,30,2.2268795875e-06
P2_R1131_U6_P2_R1131_U214_A,sa1,30,5.1036477118e-07
P2_R1131_U31_P2_R1131_U44_B,sa1,30,1.0320218280e-06
P2_U3073_P2_R1158_U597_B,sa1,30,3.4272670838e-07
P2_U3902_P2_R1158_U498_A,sa1,30,9.5367431773e-07
P2_U3069_P2_R1158_U439_B,sa1,30,2.9802322927e-08
P2_U3398_P2_R1143_U396_A,sa1,30,3.3024698496e-06
P2_R1143_U301_P2_R1143_U133_A,sa1,30,7.5380739872e-08
P2_U3068_P2_R1077_U468_A,sa1,30,1.5899307007e-06
P2_R1110_U316_P2_R1110_U462_B,sa1,30,2.5530692561e-06
P2_R1110_U301_P2_R1110_U368_C,sa1,30,7.2092200305e-07
P2_R1110_U338_P2_R1110_U342_A,sa1,30,5.2198640788e-07
P2_U3899_P2_R1110_U298_A,sa0,30,3.2589547726e-06
P2_R1110_U7_P2_R1110_U128_B,sa1,30,5.9242665888e-07
P2_U3895_P2_R1179_U401_C,sa1,30,5.8584024985e-07
P2_U3063_P2_R1179_U389_A,sa1,30,4.5299530037e-06
P2_U3083_P2_R1179_U369_A,sa1,30,1.3078679331e-06
P2_R1200_U153_P2_R1200_U482_A,sa1,30,2.4636826766e-06
P2_R1200_U172_P2_R1200_U435_B,sa1,30,6.5565109313e-07
P2_R1200_U161_P2_R1200_U384_A,sa1,30,7.1711838246e-06
P2_R1200_U157_P2_R1200_U351_B,sa1,30,3.6891378841e-08
P2_R1200_U262_P2_R1200_U328_A,sa1,30,1.5148717125e-06
P2_R1200_U286_P2_R1200_U133_A,sa1,30,7.8472642830e-08
P2_R1200_U37_P2_R1200_U35_B,sa1,30,3.2186508186e-06
P2_R1212_U101_P2_R1212_U266_B,sa1,30,3.5125552677e-03
P2_U3419_P2_R1095_U486_A,sa1,30,5.7754094476e-17
P2_REG3_REG_10__SCAN_IN_P2_SUB_605_U113_B,sa1,30,2.1606445313e-02
P2_REG3_REG_11__SCAN_IN_P2_SUB_605_U112_B,sa1,30,6.3739776611e-02
P2_REG3_REG_12__SCAN_IN_P2_SUB_605_U111_B,sa1,30,4.9098968506e-02
P2_REG3_REG_13__SCAN_IN_P2_SUB_605_U110_B,sa1,30,6.1035156177e-03
P2_REG3_REG_20__SCAN_IN_P2_SUB_605_U103_B,sa1,30,3.4179687500e-02
P2_REG3_REG_21__SCAN_IN_P2_SUB_605_U102_B,sa1,30,1.8783539534e-02
P2_REG3_REG_22__SCAN_IN_P2_SUB_605_U101_B,sa1,30,7.4195862748e-02
P2_REG3_REG_23__SCAN_IN_P2_SUB_605_U100_B,sa1,30,6.5917968750e-03
P2_U3542_P2_R693_U86_A,sa1,30,2.1685482746e-18
P2_IR_REG_13__SCAN_IN_P2_SUB_594_U157_B,sa1,18,1.2498474121e-01
P2_IR_REG_17__SCAN_IN_P2_SUB_594_U7_A,sa0,6,1.1920928955e-07
P1_R1222_U145_P1_R1222_U402_B,sa1,30,1.6667991553e-08
P1_R1222_U146_P1_R1222_U401_B,sa1,30,9.5424980509e-07
P1_R1222_U261_P1_R1222_U332_A,sa1,30,5.8316420563e-19
P1_R1222_U315_P1_R1222_U323_A,sa1,30,4.6954411255e-19
P1_R1222_U161_P1_R1222_U314_B,sa1,30,3.1876637299e-07
P1_R1222_U180_P1_R1222_U214_B,sa1,30,2.8461217881e-06
P1_R1222_U194_P1_R1222_U210_A,sa1,30,8.2515180115e-07
P1_R1222_U281_P1_R1222_U131_B,sa1,30,8.3519858164e-12
P1_R1222_U62_P1_R1222_U41_A,sa1,30,7.8511911292e-07
P1_U3485_P1_R1138_U496_A,sa1,30,3.9596561692e-06
P1_U3497_P1_R1138_U475_A,sa1,30,2.7109263101e-06
P1_U3467_P1_R1138_U388_A,sa1,30,2.9802323430e-08
P1_U3980_P1_R1138_U288_B,sa1,30,2.4543394992e-08
P1_U3979_P1_R1171_U437_A,sa1,30,2.3836919989e-05
P1_U3979_P1_R1171_U292_B,sa1,30,1.0064500216e-05
P1_R1171_U203_P1_R1171_U204_A,sa1,30,3.1564850929e-06
P1_U3975_P1_R1192_U393_A,sa1,30,1.3421276435e-05
P1_U3985_P1_R1192_U383_A,sa1,30,5.1483806382e-15
P1_U3977_P1_R1192_U292_A,sa1,30,1.6366442045e-06
P1_R1150_U205_P1_R1150_U360_B,sa1,30,1.9073486348e-06
P1_R1150_U212_P1_R1150_U336_A,sa1,30,1.8952785711e-16
P1_U3978_P1_R1150_U288_A,sa1,30,1.2115439554e-06
P1_U3979_P1_R1150_U278_A,sa1,30,6.5299298919e-08
P1_R1150_U145_P1_R1150_U241_A,sa1,30,7.9734036262e-08
P1_R1150_U180_P1_R1150_U115_B,sa1,30,2.9848888522e-07
P1_R1150_U34_P1_R1150_U42_A,sa1,30,2.1173618735e-06
P1_R1150_U21_P1_R1150_U27_B,sa1,30,3.4496188164e-06
P1_U3189_P1_R1165_U477_A,sa1,30,6.5795442279e-08
P1_U3979_P1_R1207_U284_A,sa1,30,2.3865140993e-07
P1_R1207_U212_P1_R1207_U213_A,sa1,30,2.2648828236e-07
P1_U3488_P1_R1375_U175_A,sa1,30,2.9314327997e-17
P1_U3979_P1_R1117_U284_A,sa1,30,4.8060610425e-07
P1_R1117_U212_P1_R1117_U213_A,sa1,30,8.7024842627e-16
P1_REG1_REG_10__SCAN_IN_P1_R1162_U306_B,sa1,30,2.6343567297e-03
P1_REG1_REG_12__SCAN_IN_P1_R1162_U206_B,sa0,30,3.5996496445e-04
P1_R1162_U180_P1_R1162_U200_A,sa1,30,1.0238039952e-03
P1_R1162_U100_P1_R1162_U145_A,sa1,30,2.0446782000e-03
P1_REG1_REG_1__SCAN_IN_P1_R1162_U41_B,sa1,30,1.1779785156e-02
P1_R1240_U145_P1_R1240_U402_B,sa1,30,6.8461000871e-08
P1_R1240_U146_P1_R1240_U401_B,sa1,30,3.9736429762e-08
P1_R1240_U261_P1_R1240_U332_A,sa1,30,1.1663416514e-18
P1_R1240_U315_P1_R1240_U323_A,sa1,30,4.0333532075e-09
P1_R1240_U161_P1_R1240_U314_B,sa1,30,1.9129365683e-06
P1_R1240_U180_P1_R1240_U214_B,sa1,30,5.6996941569e-06
P1_R1240_U194_P1_R1240_U210_A,sa1,30,1.4901161210e-07
P1_R1240_U281_P1_R1240_U131_B,sa1,30,9.0949470190e-12
P1_R1240_U62_P1_R1240_U41_A,sa1,30,6.0768797994e-07
P1_IR_REG_9__SCAN_IN_P1_SUB_84_U158_A,sa0,2,1.2207031250e-04
P1_IR_REG_9__SCAN_IN_P1_SUB_84_U155_D,sa0,8,4.7683715820e-07
P1_IR_REG_8__SCAN_IN_P1_SUB_84_U147_D,sa0,5,1.1920928955e-07
