net_name,f_type,cube_cnt,fdp
c_h_A,sa0,3,1.88E-01
h_i_B,sa1,3,1.25E-01
h_j_B,sa1,2,1.25E-01
i_l_A,sa0,3,1.88E-01
i_k_B,sa0,3,3.13E-01
a,sa1,3,1.88E-01
b,sa1,4,3.44E-01
c,sa0,5,2.81E-01
d,sa0,4,1.88E-01
c,sa1,4,2.81E-01
e,sa1,3,1.88E-01
g,sa0,3,1.88E-01
f,sa0,,1.88E-01
c_f_A,sa1,,1.88E-01
a,sa0,,1.88E-01
f,sa1,2,1.25E-01
c_f_A,sa0,,1.25E-01
h,sa0,7,5.63E-01
i,sa0,4,3.44E-01
b,sa0,,3.44E-01
h_i_B,sa0,,3.44E-01
h,sa1,4,1.88E-01
c_h_A,sa1,,1.88E-01
d,sa1,,1.88E-01
j,sa0,3,1.88E-01
e,sa0,,1.88E-01
h_j_B,sa0,,1.88E-01
i,sa1,6,5.94E-01
k,sa0,4,5.63E-01
l,sa0,5,5.63E-01
k,sa1,4,4.38E-01
g,sa1,,4.38E-01
i_k_B,sa1,,4.38E-01
l,sa1,3,4.38E-01
i_l_A,sa1,,4.38E-01
j,sa1,,4.38E-01
