net_name,f_type,cube_cnt,fdp
U357_R179_U84_A,sa1,30,3.9405822754e-03
U363_R179_U78_A,sa1,30,1.9035339355e-03
U357_R179_U38_B,sa1,30,4.2486190796e-04
SUB_70_U15_SUB_70_166_U10_B,sa0,30,8.3923339844e-05
U421_U433_A,sa1,4,2.1875000000e-01
U401_U417_A,sa1,30,1.3246774673e-01
U403_U414_B,sa1,30,9.7317934036e-02
U345_U400_B,sa1,30,1.6423958540e-01
R179_U83,sa1,30,3.6010742188e-03
R179_U65,sa1,30,3.0155181885e-03
R179_U92,sa1,30,8.8596343994e-03
R179_U47,sa1,30,5.2750692703e-11
R179_U19_R179_U47_A,sa0,,5.2750692703e-11
R179_U29,sa1,30,2.8629302979e-03
R179_U38,sa1,30,1.1930465698e-03
R179_U74,sa1,30,5.7220458984e-05
R179_U56,sa1,30,1.2695312500e-02
SUB_70_U10_SUB_70_U6_B,sa1,30,4.0054321289e-04
U365_R179_U94_B,sa1,30,6.6146850586e-03
U358_R179_U93_A,sa1,30,6.4415931702e-03
U356_R179_U77_A,sa1,30,1.8081665039e-03
U421_U425_A,sa1,4,2.1875000000e-01
U401_U409_A,sa1,30,1.4988899231e-01
U403_U406_B,sa1,30,1.1505031586e-01
R179_U84,sa1,30,3.3683776855e-03
R179_U66,sa1,30,1.2531280518e-03
R179_U57,sa1,30,3.9138793945e-03
R179_U48,sa1,30,1.5277862549e-03
U354_R179_U48_A,sa1,,1.5277862549e-03
U361_R179_U48_B,sa1,,1.5277862549e-03
R179_U39,sa1,30,1.2817382813e-03
R179_U28_R179_U39_A,sa0,,1.2817382813e-03
R179_U75,sa1,30,8.0013275146e-04
R179_U93,sa1,30,1.0875701904e-02
U300,sa0,4,3.7500000000e-01
U479,sa0,,3.7500000000e-01
U378_U479_A,sa0,,3.7500000000e-01
REG3_REG_3__SCAN_IN_U479_B,sa0,,3.7500000000e-01
U478,sa0,,3.7500000000e-01
U376_U478_A,sa0,,3.7500000000e-01
REG2_REG_3__SCAN_IN_U478_B,sa0,,3.7500000000e-01
U366_R179_U95_A,sa1,30,2.0465850830e-03
U357_R179_U86_A,sa1,30,5.7048797607e-03
SUB_70_U15_SUB_70_166_U30_B,sa0,30,6.1225891113e-04
U273_U510_B,sa1,30,1.6832351685e-04
U421_U435_A,sa1,4,2.1875000000e-01
U401_U419_A,sa1,30,1.3780498505e-01
U403_U416_B,sa1,30,9.2999368906e-02
U345_U403_A,sa1,30,3.0542719364e-01
U374_U401_A,sa1,30,3.8189888000e-02
R179_U85,sa1,30,5.2165985107e-04
R179_U76,sa1,30,7.1763992310e-04
R179_U58,sa1,30,3.9138793945e-03
R179_U49,sa1,30,1.3008117676e-03
R179_U67,sa1,30,9.4413757324e-05
R179_U94,sa1,30,7.4138641357e-03
U310,sa0,4,3.7500000000e-01
U459,sa0,,3.7500000000e-01
U378_U459_A,sa0,,3.7500000000e-01
REG2_REG_5__SCAN_IN_U459_B,sa0,,3.7500000000e-01
U458,sa0,,3.7500000000e-01
U376_U458_A,sa0,,3.7500000000e-01
REG1_REG_5__SCAN_IN_U458_B,sa0,,3.7500000000e-01
U301,sa0,4,3.7500000000e-01
U477,sa0,,3.7500000000e-01
U378_U477_A,sa0,,3.7500000000e-01
REG3_REG_4__SCAN_IN_U477_B,sa0,,3.7500000000e-01
U476,sa0,,3.7500000000e-01
U376_U476_A,sa0,,3.7500000000e-01
REG2_REG_4__SCAN_IN_U476_B,sa0,,3.7500000000e-01
U300,sa1,6,6.2500000000e-01
SUB_70_U11_SUB_70_U7_B,sa1,30,1.2207031250e-04
U356_R179_U79_A,sa1,30,1.7547607422e-03
U351_U550_B,sa1,30,3.2401802018e-03
U421_U427_A,sa1,4,2.1875000000e-01
U403_U408_B,sa1,30,1.0928964615e-01
U347_U402_A,sa1,30,1.3446807861e-02
R179_U86,sa1,30,5.2165985107e-04
R179_U77,sa1,30,4.0597915649e-03
R179_U59,sa1,30,2.4433135986e-03
R179_U68,sa1,30,8.7594985962e-04
R179_U95,sa1,30,6.7958831787e-03
U401,sa0,30,3.4294986725e-01
U374_U401_A,sa0,,3.4294986725e-01
U400,sa0,,3.4294986725e-01
U399,sa0,,3.4294986725e-01
LT_90_U6_U399_A,sa0,,3.4294986725e-01
U347_U399_B,sa0,,3.4294986725e-01
U345_U400_B,sa0,,3.4294986725e-01
U400,sa1,30,8.6896717548e-02
U320,sa0,4,3.7500000000e-01
U439,sa0,,3.7500000000e-01
U378_U439_A,sa0,,3.7500000000e-01
REG1_REG_7__SCAN_IN_U439_B,sa0,,3.7500000000e-01
U438,sa0,,3.7500000000e-01
U376_U438_A,sa0,,3.7500000000e-01
DATA_IN_7__U438_B,sa0,,3.7500000000e-01
U311,sa0,4,3.7500000000e-01
U457,sa0,,3.7500000000e-01
U378_U457_A,sa0,,3.7500000000e-01
REG2_REG_6__SCAN_IN_U457_B,sa0,,3.7500000000e-01
U456,sa0,,3.7500000000e-01
U376_U456_A,sa0,,3.7500000000e-01
REG1_REG_6__SCAN_IN_U456_B,sa0,,3.7500000000e-01
U310,sa1,6,6.2500000000e-01
U302,sa0,4,3.7500000000e-01
U475,sa0,,3.7500000000e-01
U378_U475_A,sa0,,3.7500000000e-01
REG3_REG_5__SCAN_IN_U475_B,sa0,,3.7500000000e-01
U474,sa0,,3.7500000000e-01
U376_U474_A,sa0,,3.7500000000e-01
REG2_REG_5__SCAN_IN_U474_B,sa0,,3.7500000000e-01
U301,sa1,6,6.2500000000e-01
U351_U551_B,sa1,30,4.8065185547e-04
U275_U520_A,sa1,30,2.6826953888e-01
U376_U500_A,sa1,4,2.5000000000e-01
U421_U437_A,sa1,4,2.1875000000e-01
U374_U421_A,sa1,9,1.2451171875e-01
U403_U418_B,sa1,30,9.7223713994e-02
U351_U272_B,sa1,30,3.1925022602e-02
R179_U87,sa1,30,4.1656494141e-03
R179_U78,sa1,30,3.0746459961e-03
R179_U69,sa1,30,1.7085075378e-03
R179_U96,sa1,30,6.4601898193e-03
ADD_65_U4,sa0,30,7.4195861816e-04
ADD_65_U7_ADD_65_U4_A,sa0,,7.4195861816e-04
RMAX_REG_6__SCAN_IN_ADD_65_U4_B,sa0,,7.4195861816e-04
U401,sa1,30,4.6519374847e-01
U410,sa1,30,2.7715730667e-01
U330,sa0,30,4.4817253947e-01
U417,sa0,,4.4817253947e-01
U401_U417_A,sa0,,4.4817253947e-01
RMIN_REG_1__SCAN_IN_U417_B,sa0,,4.4817253947e-01
U416,sa0,,4.4817253947e-01
DATA_IN_1__U416_A,sa0,,4.4817253947e-01
U403_U416_B,sa0,,4.4817253947e-01
U321,sa0,5,3.7500000000e-01
U437,sa0,,3.7500000000e-01
U421_U437_A,sa0,,3.7500000000e-01
RLAST_REG_0__SCAN_IN_U437_B,sa0,,3.7500000000e-01
U436,sa0,,3.7500000000e-01
U278_U436_A,sa0,,3.7500000000e-01
DATA_IN_0__U436_B,sa0,,3.7500000000e-01
U320,sa1,6,6.2500000000e-01
U312,sa0,4,3.7500000000e-01
U455,sa0,,3.7500000000e-01
U378_U455_A,sa0,,3.7500000000e-01
REG2_REG_7__SCAN_IN_U455_B,sa0,,3.7500000000e-01
U454,sa0,,3.7500000000e-01
U376_U454_A,sa0,,3.7500000000e-01
REG1_REG_7__SCAN_IN_U454_B,sa0,,3.7500000000e-01
U311,sa1,6,6.2500000000e-01
U303,sa0,4,3.7500000000e-01
U473,sa0,,3.7500000000e-01
U378_U473_A,sa0,,3.7500000000e-01
REG3_REG_6__SCAN_IN_U473_B,sa0,,3.7500000000e-01
U472,sa0,,3.7500000000e-01
U376_U472_A,sa0,,3.7500000000e-01
REG2_REG_6__SCAN_IN_U472_B,sa0,,3.7500000000e-01
U302,sa1,6,6.2500000000e-01
U500,sa1,2,1.2500000000e-01
U420,sa0,30,5.8394241333e-01
SUB_70_U12_SUB_70_U8_B,sa1,30,6.2942504883e-05
U359_R179_U96_A,sa1,30,3.9978027344e-03
SUB_82_U15_SUB_82_165_U10_B,sa0,30,3.9100646973e-05
SUB_70_U19_SUB_70_166_U10_C,sa0,30,7.6293945313e-05
SUB_70_166_U10_SUB_70_166_U6_B,sa1,30,6.7138671875e-04
ADD_77_U7_ADD_77_U4_B,sa1,30,1.1396408081e-04
RMIN_REG_0__SCAN_IN_ADD_65_U10_B,sa1,30,5.5313110352e-05
U351_U571_A,sa1,30,8.6975097656e-04
U351_U561_B,sa1,30,4.3220520020e-03
U273_U540_B,sa1,30,1.7998218536e-02
U273_U522_B,sa1,30,2.2811889648e-03
U274_U521_B,sa1,30,2.3746490479e-03
U275_U503_A,sa1,30,3.1694054604e-01
U421_U429_A,sa1,4,2.1875000000e-01
R179_U79,sa1,30,3.0746459961e-03
R179_U88,sa1,30,5.7172775269e-04
U421,sa0,25,3.7353515625e-01
U374_U421_A,sa0,,3.7353515625e-01
U420_U421_B,sa0,,3.7353515625e-01
U403,sa0,30,4.1098928452e-01
