net_name,f_type,cube_cnt,fdp
P2_P1_U2629_P2_P1_ADD_912_1132_U6_B,sa1,30,7.9274177551e-06
P2_P1_INSTADDRPOINTER_REG_5__SCAN_IN_P2_P1_ADD_1046_U157_B,sa1,30,5.8207660913e-09
P2_P1_INSTADDRPOINTER_REG_29__SCAN_IN_P2_P1_ADD_1046_U61_B,sa1,30,7.1069452406e-15
P2_P1_ADD_1046_U99_P2_P1_ADD_1046_U18_A,sa1,30,8.3469785750e-07
P2_P1_INSTADDRPOINTER_REG_8__SCAN_IN_P2_P1_ADD_1036_U164_B,sa1,30,1.0681152344e-04
P2_P1_INSTADDRPOINTER_REG_30__SCAN_IN_P2_P1_ADD_1036_U97_B,sa1,30,2.9815559743e-17
P2_P1_SUB_1014_U9_P2_P1_SUB_1014_U55_A,sa1,30,7.5995649240e-07
P2_P1_INSTADDRPOINTER_REG_16__SCAN_IN_P2_P1_ADD_881_1212_U264_B,sa1,30,2.1457672119e-06
P2_P1_INSTADDRPOINTER_REG_30__SCAN_IN_P2_P1_ADD_881_1212_U249_C,sa1,30,4.6187012548e-16
P2_P1_INSTADDRPOINTER_REG_27__SCAN_IN_P2_P1_ADD_881_1212_U235_B,sa1,30,6.1094760895e-07
P2_P1_INSTADDRPOINTER_REG_18__SCAN_IN_P2_P1_ADD_881_1212_U226_B,sa1,30,6.1095488491e-07
P2_P1_INSTADDRPOINTER_REG_27__SCAN_IN_P2_P1_ADD_881_1212_U190_B,sa1,30,3.6949610038e-15
P2_P1_INSTADDRPOINTER_REG_4__SCAN_IN_P2_P1_ADD_1057_U156_B,sa1,30,5.8207660913e-09
P2_P1_INSTADDRPOINTER_REG_20__SCAN_IN_P2_P1_ADD_895_U140_B,sa1,30,9.9182128906e-05
P2_P1_ADD_1068_U106_P2_P1_ADD_1068_U169_A,sa1,30,6.5652323681e-21
P2_P1_INSTADDRPOINTER_REG_5__SCAN_IN_P2_P1_ADD_1068_U162_B,sa1,30,4.7709130754e-18
P2_P1_INSTADDRPOINTER_REG_24__SCAN_IN_P2_P1_ADD_1068_U53_B,sa1,30,8.0364241754e-31
P2_P1_INSTADDRPOINTER_REG_21__SCAN_IN_P2_P1_ADD_1068_U47_B,sa1,30,6.4291393404e-30
P2_P1_INSTADDRPOINTER_REG_18__SCAN_IN_P2_P1_ADD_1068_U41_B,sa1,30,5.1433114723e-29
P2_P1_INSTADDRPOINTER_REG_15__SCAN_IN_P2_P1_ADD_1068_U35_B,sa1,30,4.1146491778e-28
P2_P1_INSTADDRPOINTER_REG_12__SCAN_IN_P2_P1_ADD_1068_U29_B,sa1,30,3.2917193423e-27
P2_P1_INSTADDRPOINTER_REG_8__SCAN_IN_P2_P1_ADD_1063_U164_B,sa1,30,8.5830688477e-05
P2_P1_INSTADDRPOINTER_REG_30__SCAN_IN_P2_P1_ADD_1063_U97_B,sa1,30,2.9815559743e-17
P2_P1_ADD_915_U122_P2_P1_ADD_915_U176_A,sa1,30,4.1389114358e-13
P2_P1_ADD_915_U4_P2_P1_ADD_915_U173_A,sa1,30,1.1920928955e-05
P2_P1_ADD_915_U105_P2_P1_ADD_915_U148_A,sa1,30,5.4249539971e-08
P2_P1_INSTADDRPOINTER_REG_11__SCAN_IN_P2_P1_ADD_915_U147_B,sa1,30,8.1807374954e-06
P2_P1_INSTADDRPOINTER_REG_20__SCAN_IN_P2_P1_ADD_859_U140_B,sa1,30,8.1062316895e-05
P2_P1_ADD_951_U107_P2_P1_ADD_951_U182_A,sa1,30,1.9281287678e-10
P2_P1_INSTADDRPOINTER_REG_21__SCAN_IN_P2_P1_ADD_951_U173_B,sa1,30,3.0249357224e-06
P2_P1_ADD_951_U8_P2_P1_ADD_951_U151_A,sa1,30,9.9837779999e-07
