net_name,f_type,cube_cnt,fdp
P_7,sa1,752,3.1225585938e-01
II371,sa1,,3.1225585938e-01
Y_7_II371_A,sa0,,3.1225585938e-01
II378_P_7_B,sa1,,3.1225585938e-01
Y_3_II131_1_C,sa1,3,9.3750000000e-02
P_8,sa1,1219,3.1250000000e-01
Y_7_P_8_A,sa1,,3.1250000000e-01
II378_P_8_B,sa1,,3.1250000000e-01
II372,sa1,,3.1250000000e-01
Y_8_II372_A,sa0,,3.1250000000e-01
Y_2_II135_2_A,sa0,2,6.2500000000e-02
Y_1,sa0,147,1.7089843750e-01
Y_1,sa1,151,1.7089843750e-01
Y_2,sa0,147,1.5527343750e-01
Y_3,sa0,147,1.4746093750e-01
Y_2,sa1,147,1.5527343750e-01
Y_3_II127_1_B,sa1,2,1.5625000000e-02
Y_4,sa0,146,1.4355468750e-01
Y_3,sa1,149,1.4746093750e-01
Clear_II113_A,sa0,5,2.3437500000e-01
Y_4,sa1,145,1.4355468750e-01
Y_5,sa0,166,7.9589843750e-02
Y_6,sa0,135,7.8125000000e-02
Y_5,sa1,166,7.9589843750e-02
Y_4_II127_2_C,sa1,4,1.0937500000e-01
II131_1,sa0,3,9.3750000000e-02
II113_II131_1_A,sa0,,9.3750000000e-02
II92_II131_1_B,sa0,,9.3750000000e-02
Y_3_II131_1_C,sa0,,9.3750000000e-02
Y_7,sa0,134,7.7148437500e-02
Y_6,sa1,135,7.8125000000e-02
II500_1,sa0,145,3.9062500000e-03
P_5,sa0,,3.9062500000e-03
C_5,sa0,,3.9062500000e-03
II131_2,sa0,2,3.1250000000e-02
II42,sa0,,3.1250000000e-02
Y_3_II42_A,sa1,,3.1250000000e-02
II109_II131_2_B,sa0,,3.1250000000e-02
Y_8,sa0,133,7.6660156250e-02
Y_7,sa1,134,7.7148437500e-02
II500_2,sa0,131,3.1250000000e-02
P_2,sa0,,3.1250000000e-02
C_2,sa0,,3.1250000000e-02
II41_II1_1_A,sa0,5,2.9296875000e-02
Y_8,sa1,133,7.6660156250e-02
X_II314_A,sa1,2,1.2500000000e-01
X_II350_A,sa1,8,1.2402343750e-01
II512_1,sa0,161,1.9531250000e-03
P_6,sa0,,1.9531250000e-03
II374,sa1,,1.9531250000e-03
C_6,sa0,,1.9531250000e-03
Y_1_II92_B,sa1,6,4.5898437500e-02
Y_2_II92_A,sa1,6,4.5898437500e-02
II113_II100_B,sa1,10,3.2812500000e-01
II504_1,sa0,133,1.5625000000e-02
P_3,sa0,,1.5625000000e-02
II316,sa1,,1.5625000000e-02
C_3,sa0,,1.5625000000e-02
II512_2,sa0,129,9.7656250000e-04
P_7,sa0,,9.7656250000e-04
C_7,sa0,,9.7656250000e-04
Y_7_II283_1_C,sa1,3,1.1718750000e-02
II127_1,sa0,2,1.5625000000e-02
II41_II127_1_A,sa0,,1.5625000000e-02
Y_3_II127_1_B,sa0,,1.5625000000e-02
II109_II127_1_C,sa0,,1.5625000000e-02
II504_2,sa0,137,7.8125000000e-03
P_4,sa0,,7.8125000000e-03
II317,sa1,,7.8125000000e-03
C_4,sa0,,7.8125000000e-03
II135_1,sa1,2,6.2500000000e-02
II43_II135_1_A,sa1,,6.2500000000e-02
II104_II135_1_B,sa1,,6.2500000000e-02
II193_W_A,sa0,2,6.2500000000e-02
Clear_II265_A,sa0,5,2.9296875000e-02
Y_6_II287_2_A,sa0,2,7.8125000000e-03
II127_2,sa0,4,1.0937500000e-01
II96_II127_2_A,sa0,,1.0937500000e-01
II113_II127_2_B,sa0,,1.0937500000e-01
Y_4_II127_2_C,sa0,,1.0937500000e-01
