net_name,f_type,cube_cnt,fdp
WX497_WX494_A,sa1,2,2.5000000000e-01
WX689_WX752_A,sa1,2,2.5000000000e-01
WX725_WX788_A,sa1,2,2.5000000000e-01
WX779_WX842_A,sa1,2,2.5000000000e-01
WX797_WX860_A,sa1,2,2.5000000000e-01
WX815_WX878_A,sa1,2,2.5000000000e-01
WX833_WX896_A,sa1,2,2.5000000000e-01
WX1786_WX1783_A,sa1,2,2.5000000000e-01
RESET_WX1793_B,sa1,2,2.5000000000e-01
RESET_WX1829_B,sa1,2,2.5000000000e-01
RESET_WX1937_B,sa1,19,2.5000000000e-01
RESET_WX1955_B,sa1,19,2.5000000000e-01
RESET_WX1973_B,sa1,19,2.5000000000e-01
RESET_WX1991_B,sa1,19,2.5000000000e-01
WX1996_WX2059_A,sa1,2,2.5000000000e-01
RESET_WX2099_B,sa1,2,2.5000000000e-01
RESET_WX2189_B,sa1,2,2.5000000000e-01
WX2556_WX2569_B,sa1,3,2.5000000000e-01
WX2556_WX2587_B,sa1,3,2.5000000000e-01
RESET_WX3098_B,sa1,2,2.5000000000e-01
RESET_WX3278_B,sa1,19,2.5000000000e-01
RESET_WX3296_B,sa1,2,2.5000000000e-01
RESET_WX3368_B,sa1,2,2.5000000000e-01
RESET_WX3386_B,sa1,2,2.5000000000e-01
RESET_WX3458_B,sa1,2,2.5000000000e-01
RESET_WX3476_B,sa1,2,2.5000000000e-01
WX3849_WX3850_B,sa1,3,2.5000000000e-01
WX3849_WX3904_B,sa1,3,2.5000000000e-01
RESET_WX4367_B,sa1,2,2.5000000000e-01
WX4378_WX4375_A,sa1,2,2.5000000000e-01
RESET_WX4385_B,sa1,2,2.5000000000e-01
WX4396_WX4393_A,sa1,2,2.5000000000e-01
RESET_WX4529_B,sa1,19,2.5000000000e-01
RESET_WX4547_B,sa1,19,2.5000000000e-01
RESET_WX4565_B,sa1,19,2.5000000000e-01
RESET_WX4583_B,sa1,19,2.5000000000e-01
WX4534_WX4597_A,sa1,2,2.5000000000e-01
RESET_WX4619_B,sa1,2,2.5000000000e-01
RESET_WX4637_B,sa1,2,2.5000000000e-01
WX4588_WX4651_A,sa1,2,2.5000000000e-01
RESET_WX4655_B,sa1,2,2.5000000000e-01
WX4606_WX4669_A,sa1,2,2.5000000000e-01
RESET_WX4673_B,sa1,2,2.5000000000e-01
WX4624_WX4687_A,sa1,2,2.5000000000e-01
RESET_WX4691_B,sa1,2,2.5000000000e-01
RESET_WX4709_B,sa1,2,2.5000000000e-01
RESET_WX4727_B,sa1,2,2.5000000000e-01
WX4678_WX4741_A,sa1,2,2.5000000000e-01
RESET_WX4745_B,sa1,2,2.5000000000e-01
RESET_WX4763_B,sa1,2,2.5000000000e-01
WX4714_WX4777_A,sa1,2,2.5000000000e-01
WX5665_WX5662_A,sa1,2,2.5000000000e-01
RESET_WX5672_B,sa1,2,2.5000000000e-01
WX5683_WX5680_A,sa1,2,2.5000000000e-01
RESET_WX5690_B,sa1,2,2.5000000000e-01
WX5701_WX5698_A,sa1,2,2.5000000000e-01
RESET_WX5708_B,sa1,2,2.5000000000e-01
WX5719_WX5716_A,sa1,2,2.5000000000e-01
RESET_WX5816_B,sa1,19,2.5000000000e-01
RESET_WX5834_B,sa1,19,2.5000000000e-01
RESET_WX5852_B,sa1,19,2.5000000000e-01
RESET_WX5870_B,sa1,19,2.5000000000e-01
WX5821_WX5884_A,sa1,2,2.5000000000e-01
WX5839_WX5902_A,sa1,2,2.5000000000e-01
RESET_WX5906_B,sa1,2,2.5000000000e-01
WX5857_WX5920_A,sa1,2,2.5000000000e-01
RESET_WX5924_B,sa1,2,2.5000000000e-01
RESET_WX5942_B,sa1,2,2.5000000000e-01
RESET_WX5960_B,sa1,2,2.5000000000e-01
WX5911_WX5974_A,sa1,2,2.5000000000e-01
WX5965_WX6028_A,sa1,2,2.5000000000e-01
WX5983_WX6046_A,sa1,2,2.5000000000e-01
RESET_WX6068_B,sa1,2,2.5000000000e-01
WX6435_WX6448_B,sa1,3,2.5000000000e-01
WX6435_WX6466_B,sa1,3,2.5000000000e-01
WX6435_WX6484_B,sa1,3,2.5000000000e-01
RESET_WX7139_B,sa1,19,2.5000000000e-01
RESET_WX7157_B,sa1,19,2.5000000000e-01
RESET_WX7175_B,sa1,2,2.5000000000e-01
WX7126_WX7189_A,sa1,2,2.5000000000e-01
RESET_WX7193_B,sa1,2,2.5000000000e-01
RESET_WX7229_B,sa1,2,2.5000000000e-01
RESET_WX7247_B,sa1,2,2.5000000000e-01
WX7198_WX7261_A,sa1,2,2.5000000000e-01
RESET_WX7265_B,sa1,2,2.5000000000e-01
WX7216_WX7279_A,sa1,2,2.5000000000e-01
RESET_WX7283_B,sa1,2,2.5000000000e-01
WX7234_WX7297_A,sa1,2,2.5000000000e-01
RESET_WX7319_B,sa1,2,2.5000000000e-01
RESET_WX7337_B,sa1,2,2.5000000000e-01
WX7288_WX7351_A,sa1,2,2.5000000000e-01
RESET_WX7355_B,sa1,2,2.5000000000e-01
RESET_WX8246_B,sa1,2,2.5000000000e-01
WX8257_WX8254_A,sa1,2,2.5000000000e-01
RESET_WX8264_B,sa1,2,2.5000000000e-01
WX8275_WX8272_A,sa1,2,2.5000000000e-01
RESET_WX8282_B,sa1,2,2.5000000000e-01
WX8293_WX8290_A,sa1,2,2.5000000000e-01
RESET_WX8408_B,sa1,19,2.5000000000e-01
RESET_WX8426_B,sa1,19,2.5000000000e-01
RESET_WX8444_B,sa1,19,2.5000000000e-01
RESET_WX8462_B,sa1,19,2.5000000000e-01
WX8413_WX8476_A,sa1,2,2.5000000000e-01
RESET_WX8480_B,sa1,2,2.5000000000e-01
WX8431_WX8494_A,sa1,2,2.5000000000e-01
WX8449_WX8512_A,sa1,2,2.5000000000e-01
RESET_WX8516_B,sa1,2,2.5000000000e-01
WX8467_WX8530_A,sa1,2,2.5000000000e-01
RESET_WX8534_B,sa1,2,2.5000000000e-01
RESET_WX8552_B,sa1,2,2.5000000000e-01
WX8503_WX8566_A,sa1,2,2.5000000000e-01
RESET_WX8570_B,sa1,2,2.5000000000e-01
WX8521_WX8584_A,sa1,2,2.5000000000e-01
WX8539_WX8602_A,sa1,2,2.5000000000e-01
RESET_WX8606_B,sa1,2,2.5000000000e-01
WX8557_WX8620_A,sa1,2,2.5000000000e-01
