net_name,f_type,cube_cnt,fdp
n1559gat_n1639gat_B,sa0,10,5.3405761719e-05
n2784gat_n78gat_A,sa0,109,9.7465515137e-04
n289gat_n287gat_A,sa0,1,0.0000000000e+00
n2470gat,sa0,2,5.0000000000e-01
n1606gat,sa0,2,2.5000000000e-01
n2560gat,sa0,2,5.0000000000e-01
n2532gat,sa1,2,5.0000000000e-01
n2632gat,sa0,2,5.0000000000e-01
n2541gat,sa1,2,5.0000000000e-01
n1918gat_n1865gat_B,sa0,7,2.9296875000e-03
n1713gat,sa1,32,9.6875000000e-01
n1986gat_n1663gat_A,sa0,17,1.0681152344e-04
n1991gat_n1667gat_A,sa0,63,8.8137388229e-04
n1658gat_n1728gat_C,sa0,10,5.3405761719e-05
n1797gat_n1571gat_C,sa0,17,1.0681152344e-04
n2307gat,sa1,2,5.0000000000e-01
n2199gat_n2197gat_A,sa0,302,4.6280670166e-01
n2199gat_n2637gat_B,sa0,281,4.6156692505e-01
n2613gat,sa1,33,5.0000000000e-01
n2985gat_n1760gat_C,sa0,1251,2.9758551717e-01
n484gat_n477gat_C,sa0,65,1.2500000000e-01
n485gat_n478gat_A,sa0,65,1.2500000000e-01
n482gat_n479gat_C,sa0,65,1.2500000000e-01
n483gat_n479gat_B,sa0,65,1.2500000000e-01
n373gat_n868gat_B,sa0,3,1.8750000000e-01
n856gat_n962gat_A,sa0,3,1.8750000000e-01
n373gat_n959gat_A,sa0,3,1.8750000000e-01
n952gat_n946gat_B,sa0,65,1.2500000000e-01
n938gat_n934gat_A,sa0,65,1.2500000000e-01
n591gat_n588gat_A,sa0,65,1.2500000000e-01
n696gat_n690gat_A,sa0,65,1.2500000000e-01
n785gat_n780gat_B,sa0,65,1.2500000000e-01
n2649gat_n2647gat_A,sa0,5,2.5000000000e-01
n1659gat_n1647gat_B,sa0,49,1.4934092760e-03
n1893gat_n1962gat_B,sa0,31,4.5871734619e-03
n219gat_n969gat_A,sa0,6824,2.4926757813e-01
n219gat_n968gat_B,sa0,6116,2.4926757813e-01
n2214gat_II4023_C,sa0,2,9.7656250000e-04
n1774gat_n1686gat_A,sa0,187,3.7887096405e-02
n721gat_n989gat_A,sa0,265,1.2695312500e-02
n823gat_n995gat_A,sa0,285,2.9296875000e-03
n741gat_n987gat_A,sa0,1440,1.4892578125e-02
n670gat_n977gat_A,sa0,19070,1.9302368164e-02
n2784gat_n77gat_B,sa0,14,4.8828125000e-04
n297gat_n197gat_B,sa0,224,1.9459789619e-03
n1719gat_n1794gat_B,sa0,63,1.8920898438e-02
n3108gat,sa1,6,2.5000000000e-01
II4666,sa0,,2.5000000000e-01
n2795gat,sa1,,2.5000000000e-01
II4615,sa0,,2.5000000000e-01
n2798gat,sa1,,2.5000000000e-01
n1032gat,sa1,,2.5000000000e-01
n1118gat,sa0,,2.5000000000e-01
n1033gat_n1118gat_A,sa1,,2.5000000000e-01
n2054gat,sa1,,2.5000000000e-01
n2281gat_n2054gat_A,sa0,,2.5000000000e-01
n3109gat,sa0,9,7.5000000000e-01
II4669,sa1,,7.5000000000e-01
n2796gat,sa0,,7.5000000000e-01
II4608,sa1,,7.5000000000e-01
n2799gat,sa0,,7.5000000000e-01
n3117gat,sa1,119,4.9023437500e-01
II4693,sa0,,4.9023437500e-01
n2737gat,sa1,,4.9023437500e-01
II4554,sa0,,4.9023437500e-01
n2741gat,sa1,,4.9023437500e-01
n1182gat,sa1,,4.9023437500e-01
n1180gat_n1182gat_A,sa1,,4.9023437500e-01
n455gat_n1182gat_B,sa1,,4.9023437500e-01
n2385gat,sa1,,4.9023437500e-01
n748gat_n2385gat_A,sa0,,4.9023437500e-01
n3118gat,sa0,2435,5.0976562500e-01
II4696,sa1,,5.0976562500e-01
n2738gat,sa0,,5.0976562500e-01
II4548,sa1,,5.0976562500e-01
n2742gat,sa0,,5.0976562500e-01
n3126gat,sa1,2,5.0000000000e-01
II4720,sa0,,5.0000000000e-01
n2686gat,sa1,,5.0000000000e-01
II4499,sa0,,5.0000000000e-01
n2688gat,sa1,,5.0000000000e-01
II4496,sa0,,5.0000000000e-01
n1708gat,sa1,,5.0000000000e-01
n2338gat_n1708gat_A,sa0,,5.0000000000e-01
n3127gat,sa0,2,5.0000000000e-01
II4723,sa1,,5.0000000000e-01
n2677gat,sa0,,5.0000000000e-01
II4492,sa1,,5.0000000000e-01
n2681gat,sa0,,5.0000000000e-01
II4489,sa1,,5.0000000000e-01
n2046gat,sa0,,5.0000000000e-01
n2269gat_n2046gat_A,sa1,,5.0000000000e-01
n3135gat,sa1,72,9.5996093750e-01
II4747,sa0,,9.5996093750e-01
n2816gat,sa1,,9.5996093750e-01
II4352,sa0,,9.5996093750e-01
n2818gat,sa1,,9.5996093750e-01
II4349,sa0,,9.5996093750e-01
n2935gat,sa1,,9.5996093750e-01
n892gat,sa1,,9.5996093750e-01
n419gat_n892gat_A,sa1,,9.5996093750e-01
n1265gat,sa1,,9.5996093750e-01
n1244gat,sa1,,9.5996093750e-01
n1123gat_n1244gat_A,sa1,,9.5996093750e-01
n1134gat_n1244gat_B,sa1,,9.5996093750e-01
n2969gat,sa1,,9.5996093750e-01
n1323gat,sa1,,9.5996093750e-01
n1007gat_n1323gat_A,sa1,,9.5996093750e-01
n401gat_n1323gat_B,sa1,,9.5996093750e-01
n1264gat,sa1,,9.5996093750e-01
n1006gat_n1264gat_A,sa1,,9.5996093750e-01
n617gat_n1264gat_B,sa1,,9.5996093750e-01
n891gat,sa1,,9.5996093750e-01
n420gat_n891gat_A,sa1,,9.5996093750e-01
n888gat_n891gat_B,sa1,,9.5996093750e-01
n3136gat,sa0,32,4.0039062500e-02
II4750,sa1,,4.0039062500e-02
n2810gat,sa0,,4.0039062500e-02
II4332,sa1,,4.0039062500e-02
n2813gat,sa0,,4.0039062500e-02
II4329,sa1,,4.0039062500e-02
n2950gat,sa0,,4.0039062500e-02
n3144gat,sa1,7352,3.0349493027e-01
II4774,sa0,,3.0349493027e-01
n2740gat,sa1,,3.0349493027e-01
II4014,sa0,,3.0349493027e-01
n2744gat,sa1,,3.0349493027e-01
n2159gat,sa1,,3.0349493027e-01
n1412gat_n2159gat_A,sa0,,3.0349493027e-01
n2478gat,sa1,,3.0349493027e-01
n2579gat_n2478gat_A,sa0,,3.0349493027e-01
n3145gat,sa0,19,7.1093750000e-01
II4777,sa1,,7.1093750000e-01
n2699gat,sa0,,7.1093750000e-01
n2703gat,sa1,,7.1093750000e-01
n1755gat,sa1,,7.1093750000e-01
n1769gat_n1755gat_A,sa1,,7.1093750000e-01
n1773gat_stem_n1755gat_B,sa1,,7.1093750000e-01
n2512gat_n1755gat_C,sa1,,7.1093750000e-01
n1518gat,sa1,,7.1093750000e-01
n1694gat_n1518gat_A,sa0,,7.1093750000e-01
n3064gat,sa0,218,5.0000000000e-01
II3914,sa1,,5.0000000000e-01
n2923gat,sa0,,5.0000000000e-01
n3055gat,sa0,173,5.0000000000e-01
II3703,sa1,,5.0000000000e-01
n2917gat,sa0,,5.0000000000e-01
n3063gat,sa1,180,5.0000000000e-01
II3891,sa0,,5.0000000000e-01
n2924gat,sa1,,5.0000000000e-01
n871gat,sa1,,5.0000000000e-01
n802gat,sa1,,5.0000000000e-01
n2882gat,sa0,,5.0000000000e-01
n375gat_n871gat_B,sa1,,5.0000000000e-01
n797gat,sa1,,5.0000000000e-01
n110gat_n797gat_A,sa1,,5.0000000000e-01
n2734gat_n797gat_B,sa1,,5.0000000000e-01
n2920gat,sa0,10,2.4414062500e-03
n3037gat,sa0,47,3.8185119629e-02
II3457,sa1,,3.8185119629e-02
n2556gat,sa0,,3.8185119629e-02
n2910gat,sa1,328,9.9585378170e-01
n645gat,sa1,,9.9585378170e-01
n2792gat_n645gat_A,sa1,,9.9585378170e-01
n93gat_n645gat_B,sa1,,9.9585378170e-01
n644gat,sa1,,9.9585378170e-01
n855gat_n644gat_A,sa0,,9.9585378170e-01
n2911gat,sa0,84,4.1462182999e-03
n2901gat,sa1,69,5.6153869629e-01
n558gat,sa1,,5.6153869629e-01
n1725gat_n558gat_A,sa0,,5.6153869629e-01
n555gat,sa1,,5.6153869629e-01
n852gat_n555gat_A,sa1,,5.6153869629e-01
n2792gat_n555gat_B,sa1,,5.6153869629e-01
n450gat,sa1,,5.6153869629e-01
n851gat_n450gat_A,sa1,,5.6153869629e-01
n2846gat_n450gat_B,sa1,,5.6153869629e-01
n3054gat,sa1,56,3.8433074951e-02
II3660,sa0,,3.8433074951e-02
n2636gat,sa1,,3.8433074951e-02
n2637gat,sa0,,3.8433074951e-02
n3036gat,sa1,13,3.9672851563e-02
II3436,sa0,,3.9672851563e-02
n2492gat,sa1,,3.9672851563e-02
n2329gat,sa0,,3.9672851563e-02
n1516gat,sa0,2,9.7656250000e-04
n2163gat,sa1,459,8.7320959568e-01
n1790gat_n2163gat_A,sa1,,8.7320959568e-01
n1310gat_n2163gat_B,sa1,,8.7320959568e-01
n2664gat_n2163gat_C,sa1,,8.7320959568e-01
n2168gat,sa1,,8.7320959568e-01
II3273,sa0,,8.7320959568e-01
n2169gat_II3273_A,sa1,,8.7320959568e-01
n2119gat,sa0,2,5.0000000000e-01
n2121gat,sa1,,5.0000000000e-01
n1632gat,sa1,32,9.6875000000e-01
II4145,sa0,,9.6875000000e-01
n1614gat,sa1,76,8.5449218750e-04
n396gat_n1614gat_A,sa1,,8.5449218750e-04
n845gat_n1614gat_B,sa1,,8.5449218750e-04
n1380gat,sa1,3,6.2500000000e-02
n1114gat,sa0,,6.2500000000e-02
n2317gat,sa0,2,2.5000000000e-01
n2319gat,sa1,,2.5000000000e-01
n3091gat,sa0,340,4.8468145542e-03
n1228gat,sa0,257,5.0000000000e-01
n2722gat,sa0,350,7.8052347526e-03
II591,sa1,,7.8052347526e-03
n3094gat,sa0,,7.8052347526e-03
n72gat,sa0,5797,8.2833643764e-01
n181gat,sa1,,8.2833643764e-01
n286gat_n181gat_A,sa1,,8.2833643764e-01
n179gat_n181gat_B,sa1,,8.2833643764e-01
n188gat_n181gat_C,sa1,,8.2833643764e-01
n2343gat,sa1,2,5.0000000000e-01
n2533gat,sa0,3613,5.9813996554e-03
n2534gat,sa1,,5.9813996554e-03
n2624gat_n2534gat_A,sa1,,5.9813996554e-03
n2489gat_n2534gat_B,sa1,,5.9813996554e-03
n2621gat_n2534gat_C,sa1,,5.9813996554e-03
n1543gat,sa0,19,2.0507812500e-01
n1606gat_n1543gat_A,sa1,,2.0507812500e-01
n2155gat,sa0,1106,1.7089713301e-03
n1075gat,sa0,532,1.7048120499e-03
n855gat_n1075gat_A,sa1,,1.7048120499e-03
n1282gat,sa0,258,5.0000000000e-01
n2640gat,sa1,2,5.0000000000e-01
n2622gat,sa1,2,5.0000000000e-01
n2542gat,sa0,618,2.5094604166e-01
II1708,sa1,,2.5094604166e-01
n2543gat_II1708_A,sa0,,2.5094604166e-01
n2217gat,sa1,23402,5.2946805954e-02
n2206gat_n2217gat_A,sa0,,5.2946805954e-02
n1480gat,sa0,43935,3.5360455513e-02
n2292gat,sa1,,3.5360455513e-02
n2443gat_n2292gat_A,sa1,,3.5360455513e-02
n2284gat_n2292gat_B,sa1,,3.5360455513e-02
n2285gat_n2292gat_C,sa1,,3.5360455513e-02
n1551gat,sa1,3,1.6113281250e-02
n1549gat,sa0,,1.6113281250e-02
