circuit,n_faults,dom_edges,sat_with_dom,sat_without_dom,seeded_cubes,reduction_pct,cadical_dom_sec,cadical_nodom_sec,cadical_speedup
c17a,22,8,55,65,20,15.4,0.000,0.000,1.00
s27_C,32,2,101,104,6,2.9,0.000,0.000,1.00
s208_C,215,0,2920,2920,0,0.0,0.023,0.023,1.00
s298_C,308,0,1436,1436,0,0.0,0.051,0.051,1.00
s344_C,342,0,3611,3611,0,0.0,0.115,0.118,1.03
s349_C,350,0,3623,3623,0,0.0,0.111,0.109,0.98
s382_C,399,4,3152,3156,8,0.1,0.101,0.103,1.02
s386_C,384,59,1782,1865,170,4.5,0.124,0.125,1.01
s400_C,424,4,3251,3255,8,0.1,0.116,0.113,0.97
s420_C,430,0,6679,6679,0,0.0,0.079,0.079,1.00
s444_C,474,8,3510,3518,12,0.2,0.144,0.146,1.01
s510_C,564,0,5625,5625,0,0.0,0.194,0.199,1.03
s526_C,555,0,3083,3083,0,0.0,0.147,0.148,1.01
s641_C,463,86,7276,7969,1640,8.7,0.543,0.588,1.08
s713_C,581,116,8307,9208,2017,9.8,0.782,0.862,1.10
s820_C,850,13,4240,4395,256,3.5,0.282,0.288,1.02
s832_C,870,13,4260,4414,255,3.5,0.307,0.318,1.04
s838_C,857,0,13871,13871,0,0.0,0.249,0.252,1.01
s953_C,1033,0,13395,13395,0,0.0,1.313,1.322,1.01
s1196_C,1240,46,20790,21257,1022,2.2,3.317,3.366,1.01
s1238_C,1353,46,21463,21933,997,2.1,3.542,3.587,1.01
s1423_C,1515,312,34845,38900,8132,10.4,6.613,7.109,1.08
s1488_C,1486,103,8450,9050,852,6.6,1.446,1.602,1.11
s1494_C,1506,103,8434,9057,864,6.9,1.491,1.623,1.09
s5378_C,4551,353,98291,100982,7686,2.7,37.815,37.836,1.00
s9234_C,6927,733,131008,137677,12259,4.8,95.954,98.736,1.03
