name,type,fdp
C100D,sa1,0.032226563
C102D,sa1,0.101074219
C103D,sa1,0.13671875
C104D,sa0,0.005859375
C104D,sa1,0.001953125
C104DE,sa1,0.001464844
C104D_Av13_D_20B_C,sa1,0.001953125
C104D_C77D_A,sa0,0.001464844
C104D_IIII386_B,sa1,0.000488281
C105D,sa1,0.03125
C106D,sa1,0.173339844
C107D,sa1,0.044921875
C108D,sa0,0.163085938
C108D,sa1,0.0390625
C108DE,sa0,0.033203125
C108DE,sa1,0.145507813
C108DE_IIII269_B,sa1,0.006591797
C108DE_IIII299_B,sa1,0.0390625
C108DE_IIII31_A,sa1,0.01171875
C108DE_IIII43_C,sa1,0.059570313
C108DE_IIII449_A,sa1,0.006713867
C108DE_IIII494_C,sa1,0.029296875
C108DE_IIII82_C,sa1,0.03515625
C108D_IIII338_A,sa1,0.0078125
C109D,sa1,0.0859375
C110D,sa1,0.17578125
C111D,sa1,0.002929688
C112D,sa1,0.024414063
C113D,sa1,0.079101563
C114D,sa1,0.09375
C115D,sa1,0.0625
C116D,sa1,0.172851563
C117D,sa0,0.087890625
C117D,sa1,0.015625
C117DE,sa0,0.015625
C117DE,sa1,0.087890625
C117DE_C137D_A,sa0,0.01171875
C117DE_IIII186_C,sa1,0.004882813
C117DE_IIII191_C,sa1,0.01171875
C117DE_IIII406_C,sa1,0.03515625
C117DE_IIII498_B,sa1,0.03515625
C117D_IIII350_B,sa1,0.015625
C118D,sa0,0.0625
C118D,sa1,0.015625
C118DE,sa0,0.015625
C118DE,sa1,0.0625
C118DE_IIII163_C,sa1,0.0390625
C118DE_IIII293_B,sa1,0.0234375
C118DE_IIII341_B,sa1,0.03515625
C118DE_IIII398_B,sa1,0.0234375
C118D_IIII318_B,sa1,0.00390625
C118D_IIII349_A,sa1,0.0078125
C119D,sa1,0.0234375
C120D,sa1,0.03125
C122D,sa1,0.02734375
C123D,sa1,0.10546875
C124D,sa0,0.234619141
C124D,sa1,0.072265625
C124DE,sa0,0.056640625
C124DE,sa1,0.187744141
C124DE_C170D_A,sa0,0.03515625
C124DE_C44D_B,sa0,0.005859375
C124DE_II642_C,sa1,0.008789063
C124DE_IIII239_C,sa1,0.046875
C124DE_IIII296_C,sa1,0.009765625
C124DE_IIII310_D,sa1,0.01171875
C124DE_IIII328_C,sa1,0.018066406
C124DE_IIII369_B,sa1,0.046875
C124DE_IIII387_C,sa1,0.01171875
C124DE_IIII403_C,sa1,0.001953125
C124DE_IIII439_C,sa1,0.0234375
C124DE_IIII457_B,sa1,0.01171875
C124D_IIII200_B,sa1,0.0078125
C124D_IIII336_A,sa1,0.015625
C124D_IIII352_B,sa1,0.015625
C125D,sa1,0.0546875
C126D,sa1,0.1796875
C127D,sa0,0.029296875
C127D,sa1,0.009765625
C127D_IIII101_A,sa1,0.005859375
C127D_IIII177_B,sa1,0.005859375
C127D_IIII323_B,sa1,0.00390625
C128D,sa1,0.15234375
C129D,sa0,0.285644531
C129D,sa1,0.091308594
C129DE,sa0,0.087402344
C129DE,sa1,0.244628906
C129DE_C163D_A,sa0,0.021484375
C129DE_IIII152_C,sa1,0.034179688
C129DE_IIII259_B,sa1,0.006347656
C129DE_IIII306_A,sa1,0.109375
C129DE_IIII486_D,sa1,0.01171875
C129DE_IIII58_B,sa1,0.041503906
C129DE_IIII75_A,sa1,0.0703125
C129D_IIII167_C,sa1,0.0078125
C129D_IIII315_C,sa1,0.0234375
C129D_IIII326_B,sa1,0.0078125
C129D_IIII372_A,sa1,0.015625
C130D,sa1,0.0625
