net_name,f_type,fdp
G1,sa0,0.1484375
G10,sa0,0.46875
G10,sa1,0.53125
G11,sa0,0.171875
G11,sa1,0.828125
G11_G10_B,sa0,0.03125
G11_stem,sa0,0.171875
G11_stem,sa1,0.828125
G12,sa0,0.1484375
G12,sa1,0.4453125
G12_G13_B,sa0,0.125
G12_G15_A,sa0,0.046875
G13,sa0,0.375
G13,sa1,0.625
G14,sa0,0.46875
G14,sa1,0.46875
G14_G10_A,sa0,0.359375
G14_G8_A,sa1,0.109375
G15,sa1,0.140625
G16,sa1,0.046875
G17,sa0,0.828125
G17,sa1,0.171875
G2,sa0,0.375
G3,sa0,0.046875
G5,sa0,0.171875
G6,sa1,0.109375
G7,sa0,0.1484375
G8,sa0,0.109375
G8,sa1,0.328125
G8_G15_B,sa0,0.09375
G8_G16_B,sa0,0.0625
G9,sa0,0.328125
