net_name,f_type,cube_cnt,complete,fdp
G2,sa0,5,1,5.0000000000e-01
G1,sa1,30,0,2.3583984375e-01
G3,sa0,30,0,4.4388580322e-01
G2,sa1,5,1,5.0000000000e-01
G3,sa1,30,0,4.4349670410e-01
G4,sa0,30,0,2.7351379395e-01
G5,sa0,30,0,2.9507446289e-01
G4,sa1,30,0,2.4020385742e-01
G6,sa0,2,1,5.0000000000e-01
G5,sa1,30,0,2.9422760010e-01
G6,sa1,2,1,5.0000000000e-01
G7,sa0,30,0,3.9038085938e-01
G7,sa1,30,0,3.9722442627e-01
G8,sa0,30,0,3.1180191040e-01
G9,sa0,2,1,5.0000000000e-01
G8,sa1,30,0,3.4114074707e-01
G9,sa1,2,1,5.0000000000e-01
G10,sa0,7,1,4.6099853516e-01
G10,sa1,7,1,4.6099853516e-01
G11,sa0,30,0,3.9145278931e-01
G30,sa0,30,0,8.7722778320e-02
G12,sa0,30,0,9.9853515625e-02
G11,sa1,30,0,3.8435745239e-01
G30,sa1,30,0,1.0823059082e-01
G31,sa0,30,0,9.6939086914e-02
G13,sa0,30,0,1.6023254395e-01
G12,sa1,30,0,1.0650634766e-01
G31,sa1,30,0,9.6908569336e-02
G32,sa0,10,1,6.5917968750e-02
G13,sa1,30,0,1.8145751953e-01
G32,sa1,10,1,6.5917968750e-02
G34,sa0,30,0,2.1417236328e-01
G34,sa1,30,0,1.8173217773e-01
G35,sa1,5,1,3.0517578125e-03
G36,sa1,16,1,1.1962890625e-02
G37,sa0,5,1,1.3351440430e-04
G46,sa1,30,0,2.4734497070e-02
G38,sa0,6,1,7.2479248047e-05
G37,sa1,5,1,1.3351440430e-04
G38,sa1,6,1,7.2479248047e-05
G39,sa1,16,1,1.4648437500e-02
G0,sa0,30,0,1.3166809082e-01
G0,sa1,30,0,1.4569091797e-01
G1,sa0,30,0,2.2082519531e-01
G140,sa1,30,0,1.2039184570e-01
G33,sa0,,,1.2039184570e-01
G132,sa1,30,0,1.5701293945e-02
G42,sa0,,,1.5701293945e-02
G125,sa1,30,0,1.6021728516e-02
G40,sa0,,,1.6021728516e-02
G546,sa0,1,1,5.0000000000e-01
G41,sa1,,,5.0000000000e-01
G546,sa1,1,1,5.0000000000e-01
G41,sa0,,,5.0000000000e-01
G10_G202_A,sa0,2,1,7.8735351563e-03
G10_G241_A,sa0,30,0,1.5136718750e-02
G10_G222_B,sa1,10,1,3.2958984375e-02
G11_G241_B,sa0,15,1,9.7045898438e-03
G30_G103_C,sa1,13,1,1.2359619141e-03
G31_G112_B,sa1,21,1,2.8839111328e-03
G13_G250_A,sa1,30,0,2.2277832031e-02
G12_G450_A,sa0,30,0,1.5945434570e-02
G11_G190_B,sa0,30,0,3.5125732422e-02
G31_G224_B,sa0,30,0,3.9978027344e-03
G10_G164_B,sa0,3,1,1.0937500000e-01
G12_G154_A,sa0,11,1,1.3122558594e-02
G11_G252_B,sa1,4,1,2.9296875000e-03
G12_G182_A,sa0,30,0,2.0192146301e-02
G11_G353_A,sa1,3,1,1.8310546875e-04
G10_G237_A,sa1,0,1,0.0000000000e+00
G12_G156_A,sa0,30,0,1.6058349609e-01
G32_G251_B,sa1,5,1,5.8593750000e-02
G13_G155_A,sa0,30,0,1.6113281250e-02
G11_G355_A,sa0,1,1,7.8125000000e-03
G12_G507_B,sa0,30,0,9.8876953125e-02
G10_G274_B,sa1,30,0,1.3732910156e-01
G10_G375_A,sa0,4,1,7.3242187500e-04
G0_G57_A,sa1,29,1,2.4414062500e-03
G30_G193_B,sa0,30,0,4.3090820313e-02
G11_G473_A,sa1,30,0,7.5683593750e-03
G13_G417_A,sa1,30,0,5.2185058594e-03
G13_G157_A,sa0,30,0,1.4892578125e-02
G4_G54_A,sa1,30,0,3.9520263672e-02
G11_G249_A,sa1,3,1,4.8828125000e-04
G13_G184_B,sa0,30,0,1.6366577148e-01
G0_G76_A,sa1,30,0,3.8757324219e-03
G1_G58_A,sa1,30,0,9.8258972168e-02
G34_G243_C,sa1,15,1,9.0454101563e-02
G11_G268_A,sa1,20,1,7.5195312500e-02
G2_G57_B,sa1,29,1,2.4414062500e-03
G38_G440_A,sa1,1,1,1.5258789063e-05
G13_G187_A,sa0,30,0,1.6143798828e-02
G34_G245_B,sa1,6,1,2.9785156250e-02
G6_G54_B,sa1,30,0,6.2835693359e-02
G8_G71_A,sa1,17,1,1.2933349609e-01
G34_G373_A,sa1,8,1,9.1552734375e-02
G3_G58_B,sa1,14,1,1.4154052734e-01
G11_G388_A,sa1,4,1,1.5625000000e-01
G3_G76_B,sa1,30,0,6.5498352051e-03
G2_G97_A,sa1,12,1,1.2683105469e-01
G4_G77_A,sa1,30,0,2.0594024658e-01
G3_G86_B,sa1,11,1,3.2775878906e-02
G8_G63_B,sa1,15,1,5.1666259766e-02
G31_G359_B,sa1,5,1,9.3750000000e-02
G37_G352_C,sa1,2,1,1.2207031250e-04
G34_G382_C,sa1,22,1,1.1950683594e-01
G37_G426_A,sa1,2,1,1.1444091797e-05
G34_G393_B,sa1,30,0,1.1793518066e-01
G9_G74_A,sa1,22,1,1.4880371094e-01
G38_G426_C,sa1,3,1,7.2479248047e-05
G5_G97_B,sa1,15,1,1.3427734375e-01
G9_G49_A,sa1,30,0,7.6889038086e-02
G8_G89_B,sa1,30,1,7.4157714844e-02
G70,sa1,30,0,6.1035156250e-03
G43,sa0,,,6.1035156250e-03
G67,sa1,30,1,6.2255859375e-03
G44,sa0,,,6.2255859375e-03
G99,sa1,30,0,6.4430236816e-03
G29,sa0,,,6.4430236816e-03
G0_G400_A,sa1,30,0,4.7073364258e-03
G3_G101_A,sa1,6,1,6.4331054688e-02
G0_G311_A,sa1,18,1,4.8828125000e-03
G1_G410_A,sa1,1,1,6.2500000000e-02
G4_G101_B,sa1,10,1,1.8310546875e-03
G2_G401_A,sa1,30,0,6.9580078125e-03
G0_G422_A,sa1,30,0,9.7274780273e-03
G4_G302_A,sa0,8,1,4.8706054688e-02
G3_G122_B,sa1,6,1,2.1386718750e-01
G0_G163_A,sa0,30,0,7.1960449219e-02
G6_G211_A,sa0,16,1,2.9296875000e-03
G2_G421_B,sa0,14,1,1.2207031250e-03
G10_G71_B,sa1,30,0,1.4191436768e-01
G4_G240_A,sa1,30,0,4.8667907715e-02
G3_G412_A,sa1,2,1,7.8125000000e-02
G2_G323_A,sa1,7,1,3.5400390625e-03
G1_G271_A,sa1,13,1,1.0986328125e-02
G3_G134_A,sa1,2,1,2.5000000000e-01
G1_G209_A,sa0,3,1,3.9123535156e-02
G2_G117_A,sa1,11,1,1.7456054688e-02
G7_G220_A,sa1,18,1,9.1918945313e-02
G0_G263_A,sa1,30,0,4.7988891602e-03
G2_G181_A,sa1,2,1,1.2500000000e-01
G7_G103_B,sa1,30,1,2.4719238281e-03
G8_G112_A,sa1,20,1,2.8839111328e-03
G2_G460_A,sa1,9,1,4.2968750000e-02
G0_G354_A,sa1,2,1,4.5776367188e-05
G2_G343_A,sa1,6,1,7.3242187500e-04
G4_G216_A,sa0,7,1,3.0517578125e-03
G3_G252_A,sa1,5,1,3.0517578125e-03
G8_G230_A,sa0,5,1,3.1555175781e-02
G1_G254_A,sa1,30,0,2.2216796875e-02
G1_G229_A,sa0,2,1,7.8125000000e-02
G6_G350_A,sa0,1,1,2.5000000000e-01
G5_G134_B,sa1,2,1,2.5000000000e-01
G11_G74_B,sa1,15,1,2.0239257813e-01
G32_G62_B,sa1,30,0,2.9174804688e-02
G1_G526_A,sa1,5,1,2.2888183594e-04
G4_G163_B,sa0,25,1,6.6070556641e-02
G4_G117_B,sa1,29,1,2.8442382813e-02
G6_G116_A,sa1,14,1,1.9287109375e-02
G5_G216_B,sa0,5,1,3.0517578125e-03
G4_G271_B,sa1,30,0,1.3793945313e-02
G2_G238_A,sa1,9,1,3.6621093750e-03
G2_G346_A,sa1,5,1,1.8310546875e-03
G2_G364_A,sa1,20,1,7.3242187500e-03
G7_G225_A,sa0,30,0,1.6387939453e-02
G8_G340_A,sa1,2,1,2.4414062500e-04
G5_G227_A,sa0,2,1,4.1503906250e-03
G0_G148_C,sa1,15,1,1.0742187500e-01
G3_G183_B,sa0,18,1,1.3214111328e-02
G1_G294_A,sa0,16,1,5.4931640625e-03
G2_G255_B,sa1,14,1,3.6621093750e-03
G7_G190_A,sa0,20,1,3.8085937500e-02
G6_G235_A,sa1,1,1,2.5000000000e-01
G2_G526_B,sa1,5,1,2.2888183594e-04
G6_G307_A,sa1,20,1,7.3242187500e-03
G5_G308_A,sa1,22,1,1.0986328125e-02
G6_G361_A,sa1,2,1,2.3437500000e-02
G4_G327_A,sa1,14,1,1.4648437500e-02
G3_G419_A,sa0,30,1,3.6621093750e-03
G6_G407_A,sa0,1,1,1.5625000000e-02
G7_G325_A,sa0,1,1,3.1250000000e-02
G4_G176_A,sa0,22,1,1.0986328125e-03
G8_G225_B,sa0,23,1,1.4282226563e-02
G6_G380_A,sa1,30,0,5.7983398438e-03
G8_G360_A,sa1,3,1,2.0312500000e-01
G6_G318_A,sa0,1,1,3.1250000000e-02
G4_G256_A,sa1,30,0,4.9591064453e-03
G6_G193_A,sa0,30,0,7.6362609863e-02
G3_G276_A,sa1,30,0,1.2061309814e-01
G5_G129_B,sa1,12,1,6.4331054688e-02
G1_G288_A,sa0,22,1,2.1972656250e-02
G8_G352_A,sa1,2,1,1.2207031250e-04
G5_G328_A,sa1,30,0,8.7966918945e-03
G9_G116_B,sa1,22,1,1.9287109375e-02
