net_name,f_type,cube_cnt,fdp
CONT1_REG_3__SCAN_IN_R254_U93_B,sa1,30,7.9345703125e-03
CONT1_REG_0__SCAN_IN_R254_U78_B,sa1,6,1.5625000000e-02
U348_R248_U96_A,sa1,21,2.9296875000e-02
U359_R229_U68_A,sa1,30,3.0273437500e-02
CONT1_REG_1__SCAN_IN_R229_U48_B,sa1,25,3.1250000000e-02
U321_U515_A,sa1,30,1.9317626953e-01
U322_U514_A,sa1,30,2.0050048828e-01
U315_U511_B,sa1,24,9.3750000000e-02
R248_U29_U496_A,sa1,26,2.8564453125e-02
U320_U480_A,sa1,30,1.1096191406e-01
U421_U450_B,sa1,30,1.0153770447e-01
U421_U423_B,sa1,7,1.2109375000e-01
U324_U422_A,sa1,3,3.7500000000e-01
U402_U344_A,sa1,1,0.0000000000e+00
U421_U343_A,sa1,2,9.7656250000e-04
U421_U342_B,sa1,3,1.9531250000e-03
U430_U316_A,sa1,30,2.0526123047e-01
R254_U98,sa1,30,9.5443725586e-03
R254_U89,sa1,30,8.8844299316e-03
R248_U59,sa1,7,8.5449218750e-03
R248_U86,sa1,7,1.5625000000e-02
R248_U77,sa1,2,1.5625000000e-02
R248_U95,sa1,5,3.9062500000e-03
R248_U68,sa1,9,9.5214843750e-03
R229_U96,sa1,12,3.8085937500e-02
R229_U24_R229_U96_A,sa0,,3.8085937500e-02
R229_U87,sa1,14,3.2958984375e-02
R229_U78,sa1,3,3.1250000000e-02
R229_U69,sa1,19,8.5449218750e-03
CONT1_REG_2__SCAN_IN_R254_U86_B,sa1,30,8.5983276367e-03
ADD_88_U23_ADD_88_U30_A,sa1,5,4.3945312500e-03
U358_R229_U78_B,sa1,7,3.1250000000e-02
U359_R229_U78_A,sa1,9,3.1250000000e-02
U322_U524_A,sa1,21,2.5000000000e-01
U315_U521_B,sa1,14,9.3750000000e-02
U320_U490_A,sa1,30,1.1962890625e-01
U324_U431_B,sa1,7,4.1503906250e-02
U330_U417_A,sa1,30,3.6816406250e-01
U402_U345_A,sa1,8,1.5625000000e-02
U313_U326_A,sa1,30,7.7102661133e-02
U316_U323_A,sa1,30,2.7026367188e-01
R254_U99,sa1,30,7.7819824219e-03
GT_80_U10,sa1,5,7.3242187500e-04
GT_80_U7,sa1,,7.3242187500e-04
CONT1_REG_2__SCAN_IN_GT_80_U10_B,sa1,,7.3242187500e-04
R248_U78,sa1,2,1.5625000000e-02
R248_U32_R248_U78_A,sa0,,1.5625000000e-02
R248_U96,sa1,1,0.0000000000e+00
R248_U87,sa1,2,1.5625000000e-02
R248_U69,sa1,7,6.3476562500e-03
R229_U97,sa1,12,3.8085937500e-02
R229_U88,sa1,17,2.9541015625e-02
R229_U79,sa1,3,3.1250000000e-02
CONT1_REG_7__SCAN_IN_R254_U73_B,sa1,30,8.3007812500e-03
ADD_88_U22_ADD_88_U32_A,sa1,1,0.0000000000e+00
CONT1_REG_3__SCAN_IN_R229_U57_B,sa1,19,1.7578125000e-02
U312_U544_A,sa1,3,4.6875000000e-02
U323_U542_A,sa1,11,2.5781250000e-01
U323_U533_A,sa1,30,2.6171875000e-01
U325_U450_A,sa1,30,1.9625425339e-03
U402_U435_B,sa1,7,6.1523437500e-02
U430_U435_A,sa1,30,1.7616271973e-01
U402_U417_B,sa1,13,1.2304687500e-01
U402_U346_A,sa1,8,1.5625000000e-02
U313_U318_A,sa1,30,6.5696716309e-02
R248_U88,sa1,5,2.1972656250e-02
R248_U34_R248_U88_A,sa0,,2.1972656250e-02
R248_U97,sa1,30,4.0771484375e-02
R248_U79,sa1,13,1.1962890625e-02
R229_U98,sa1,15,2.4414062500e-02
R229_U89,sa1,20,3.1250000000e-02
ADD_53_U5,sa0,7,7.9345703125e-04
CONT_REG_0__SCAN_IN_ADD_53_U5_A,sa1,,7.9345703125e-04
U310,sa0,30,3.1778335571e-02
CONT1_REG_5__SCAN_IN_U310_A,sa0,,3.1778335571e-02
STATO_REG_3__SCAN_IN_U310_B,sa0,,3.1778335571e-02
CONT1_REG_2__SCAN_IN_R254_U88_B,sa1,30,8.0490112305e-03
CONT1_REG_7__SCAN_IN_R229_U90_B,sa1,13,3.1250000000e-02
U359_R229_U89_A,sa1,13,3.1250000000e-02
CONT1_REG_5__SCAN_IN_R229_U65_B,sa1,30,2.4902343750e-02
U310_U529_A,sa1,3,4.6875000000e-02
ADD_88_U5_U512_A,sa1,3,2.3437500000e-02
ADD_53_U5_U448_A,sa1,5,7.3242187500e-04
U317_U440_B,sa1,30,6.1767578125e-02
U330_U427_B,sa1,7,1.5295410156e-01
U402_U347_A,sa1,13,3.1250000000e-02
R248_U98,sa1,25,3.6621093750e-02
R248_U36_R248_U98_A,sa0,,3.6621093750e-02
R248_U89,sa1,16,1.5136718750e-02
R229_U99,sa1,16,4.6875000000e-02
ADD_53_U5,sa1,5,7.3242187500e-04
CONT_REG_0__SCAN_IN_ADD_53_U5_A,sa0,,7.3242187500e-04
U400,sa1,22,2.9907226563e-02
CONT1_REG_3__SCAN_IN_U400_A,sa0,,2.9907226563e-02
U320,sa0,16,1.2500000000e-01
U398_U320_A,sa0,,1.2500000000e-01
U387_U320_B,sa0,,1.2500000000e-01
U311,sa0,23,4.5410156250e-02
CONT1_REG_2__SCAN_IN_U311_A,sa0,,4.5410156250e-02
STATO_REG_3__SCAN_IN_U311_B,sa0,,4.5410156250e-02
U310,sa1,30,7.4480056763e-02
CONT1_REG_4__SCAN_IN_R254_U96_B,sa1,30,7.6217651367e-03
ADD_88_U11_ADD_88_U36_A,sa1,4,1.2695312500e-02
ADD_88_U13_ADD_88_U34_A,sa1,4,6.3476562500e-03
CONT_REG_2__SCAN_IN_ADD_53_U30_B,sa1,11,6.1035156250e-04
CONT_REG_3__SCAN_IN_ADD_53_U11_B,sa1,5,1.2207031250e-04
CONT1_REG_2__SCAN_IN_GT_80_U10_B,sa0,5,7.3242187500e-04
CONT1_REG_7__SCAN_IN_R229_U73_B,sa1,13,4.2724609375e-03
U311_U538_A,sa1,3,4.6875000000e-02
U313_U472_B,sa1,30,1.3165283203e-01
U421_U436_B,sa1,30,2.5787353516e-02
U309_U432_A,sa1,30,4.0625000000e-01
U309_U423_A,sa1,7,2.3437500000e-02
U330_U393_A,sa1,30,1.5760676563e-01
U402_U348_A,sa1,23,2.9907226563e-02
U421_U338_A,sa1,10,3.1250000000e-02
U430_U329_A,sa1,10,1.2646484375e-01
U403_U328_B,sa1,9,2.3437500000e-02
U315_U327_A,sa1,30,7.2978973389e-02
U391_U322_B,sa1,7,6.1523437500e-02
ADD_53_U7,sa0,19,1.1596679688e-03
CONT_REG_1__SCAN_IN_ADD_53_U7_A,sa0,,1.1596679688e-03
CONT_REG_0__SCAN_IN_ADD_53_U7_B,sa0,,1.1596679688e-03
ADD_53_U6,sa1,5,3.6621093750e-04
CONT_REG_1__SCAN_IN_ADD_53_U6_A,sa0,,3.6621093750e-04
R248_U99,sa1,23,3.6010742188e-02
U500,sa1,2,1.9531250000e-03
U410,sa1,9,5.8593750000e-02
U401,sa1,20,2.9663085938e-02
CONT1_REG_1__SCAN_IN_U401_A,sa0,,2.9663085938e-02
U402,sa0,30,1.2791442871e-01
STATO_REG_3__SCAN_IN_U402_A,sa1,,1.2791442871e-01
U330,sa0,30,2.0446395874e-01
U321,sa0,7,6.1523437500e-02
U314_U321_A,sa0,,6.1523437500e-02
R_IN_REG_0__SCAN_IN_U321_B,sa0,,6.1523437500e-02
U320,sa1,30,1.0283279419e-01
U312,sa0,10,4.5288085938e-02
CONT1_REG_0__SCAN_IN_U312_A,sa0,,4.5288085938e-02
STATO_REG_3__SCAN_IN_U312_B,sa0,,4.5288085938e-02
U311,sa1,30,9.1674804688e-02
ADD_88_U25_ADD_88_U30_C,sa1,5,7.3242187500e-03
CONT_REG_0__SCAN_IN_ADD_53_U33_B,sa1,7,4.2724609375e-04
CONT_REG_1__SCAN_IN_ADD_53_U32_B,sa1,7,4.2724609375e-04
U331_U555_A,sa1,2,1.9531250000e-03
U323_U545_A,sa1,6,2.5000000000e-01
U323_U536_A,sa1,24,2.6367187500e-01
U313_U482_B,sa1,30,7.0922851563e-02
U321_U475_A,sa1,30,1.2982177734e-01
U322_U474_A,sa1,30,1.3934326172e-01
U315_U471_B,sa1,30,1.3618469238e-02
U321_U466_A,sa1,30,1.2572479248e-01
U326_U460_B,sa1,30,1.0404968262e-01
U317_U442_B,sa1,29,9.0942382813e-02
U325_U426_A,sa1,3,2.5000000000e-01
U402_U349_A,sa1,22,2.9907226563e-02
U390_U333_B,sa1,3,9.7656250000e-03
U403_U329_B,sa1,8,2.0996093750e-02
U315_U319_A,sa1,30,5.0018310547e-02
