net_name,f_type,cube_cnt,complete,fdp
P1_ADD_515_U32_P1_ADD_515_U181_A,sa1,30,0,4.2064129957e-11
P1_ADD_515_U61_P1_ADD_515_U125_A,sa1,30,0,2.7894353494e-15
P1_ADD_515_U116_P1_ADD_515_U52_A,sa1,30,0,4.2632564146e-14
P1_ADD_515_U113_P1_ADD_515_U46_A,sa1,30,0,3.4106051316e-13
P1_ADD_515_U107_P1_ADD_515_U34_A,sa1,30,0,1.0146550267e-11
P1_ADD_515_U104_P1_ADD_515_U28_A,sa1,30,0,1.4188117348e-10
P1_ADD_405_U32_P1_ADD_405_U185_A,sa1,30,0,1.0950316209e-09
P1_ADD_405_U36_P1_ADD_405_U145_A,sa1,30,0,2.7375790523e-10
P1_ADD_405_U48_P1_ADD_405_U133_A,sa1,30,0,4.2774672693e-12
P1_ADD_405_U61_P1_ADD_405_U129_A,sa1,30,0,7.3496764230e-14
P1_ADD_405_U124_P1_ADD_405_U93_A,sa1,30,0,1.9251267247e-13
P1_INSTADDRPOINTER_REG_20__SCAN_IN_P1_ADD_405_U42_B,sa1,30,0,1.9667822926e-11
P1_INSTADDRPOINTER_REG_14__SCAN_IN_P1_ADD_405_U30_B,sa1,30,0,1.6589183360e-09
P1_INSTADDRPOINTER_REG_11__SCAN_IN_P1_ADD_405_U24_B,sa1,30,0,1.6763806343e-08
P1_INSTQUEUEWR_ADDR_REG_2__SCAN_IN_P1_SUB_450_U58_B,sa1,30,0,1.7613172531e-05
P1_INSTQUEUEWR_ADDR_REG_3__SCAN_IN_P1_R2238_U41_B,sa1,30,0,1.0177958757e-04
P1_REIP_REG_1__SCAN_IN_P1_R2096_U142_B,sa1,30,0,5.1414826885e-07
P1_REIP_REG_2__SCAN_IN_P1_R2096_U141_B,sa1,30,0,5.1414826885e-07
P1_REIP_REG_20__SCAN_IN_P1_R2096_U42_B,sa1,30,0,2.4980017525e-15
P1_REIP_REG_14__SCAN_IN_P1_R2096_U30_B,sa1,30,0,2.4980017525e-15
P1_REIP_REG_11__SCAN_IN_P1_R2096_U24_B,sa1,30,0,2.4980017525e-15
P1_U4190_P1_R2099_U206_A,sa1,30,0,1.9371509552e-06
P1_U2620_P1_R2358_U571_B,sa1,30,0,7.8125000000e-03
P1_U2352_P1_R2358_U552_A,sa1,30,0,8.6426734933e-06
P1_U2663_P1_R2358_U520_A,sa1,0,1,0.0000000000e+00
P1_U2352_P1_R2358_U516_A,sa1,0,1,0.0000000000e+00
P1_U2352_P1_R2358_U480_A,sa1,30,0,9.4178249128e-06
P1_U2611_P1_R2358_U473_A,sa1,30,0,3.5763405322e-06
