net_name,f_type,cube_cnt,fdp
P3_R1131_U135_P3_R1131_U402_A,sa1,30,7.2952699030e-06
P3_R1131_U6_P3_R1131_U212_A,sa1,30,7.4225499705e-07
P3_U3073_P3_R1158_U595_B,sa1,30,1.1920951696e-07
P3_U3425_P3_R1158_U478_A,sa1,30,7.2759621737e-10
P3_U3428_P3_R1158_U475_A,sa1,30,1.0186341546e-10
P3_U3069_P3_R1158_U437_B,sa1,30,9.5368697564e-07
P3_U3387_P3_R1158_U408_A,sa1,30,2.5391578682e-05
P3_U3434_P3_R1077_U478_A,sa1,30,2.4013133954e-06
P3_U3907_P3_R1077_U455_A,sa1,30,3.9908191454e-06
P3_U3903_P3_R1077_U298_A,sa0,30,4.9510281208e-07
P3_U3905_P3_R1077_U287_A,sa0,30,1.9460619782e-09
P3_U3907_P3_R1077_U275_A,sa1,30,1.1920947238e-06
P3_U3079_P3_R1077_U248_A,sa1,30,2.2649753646e-06
P3_U3069_P3_R1077_U196_A,sa0,30,4.3879254013e-08
P3_U3059_P3_R1077_U179_A,sa0,30,7.3714181844e-07
P3_R1110_U146_P3_R1110_U405_B,sa1,30,6.0723396020e-06
P3_R1110_U147_P3_R1110_U404_B,sa1,30,4.9626186199e-08
P3_R1110_U282_P3_R1110_U360_A,sa1,30,4.7683715957e-07
P3_R1110_U282_P3_R1110_U315_A,sa1,30,7.1663121665e-09
P3_R1110_U155_P3_R1110_U306_B,sa1,30,1.8248514219e-11
P3_U3117_P3_R1269_U198_A,sa1,30,8.9009520569e-06
P3_U3119_P3_R1269_U178_A,sa1,30,3.2381972482e-07
P3_U3129_P3_R1269_U159_A,sa1,30,5.3344892184e-09
P3_U3079_P3_R1179_U470_A,sa1,30,2.3188992298e-15
P3_U3072_P3_R1179_U459_A,sa1,30,2.4471192657e-15
P3_U3068_P3_R1179_U454_A,sa1,30,1.7659512779e-15
P3_U3443_P3_R1179_U448_A,sa1,30,2.8610229515e-06
P3_R1179_U89_P3_R1179_U399_B,sa1,30,1.6283326095e-17
P3_U3066_P3_R1179_U375_A,sa1,30,1.2218952179e-05
P3_U3082_P3_R1179_U359_A,sa1,30,1.9073486360e-06
P3_U3416_P3_R1179_U358_A,sa1,30,1.9073486346e-06
P3_U3906_P3_R1179_U291_A,sa1,30,2.5092771283e-06
P3_U3068_P3_R1179_U274_A,sa1,30,6.0283491789e-07
P3_R1200_U145_P3_R1200_U452_A,sa1,30,4.2319198031e-06
P3_R1200_U172_P3_R1200_U442_B,sa1,30,1.5974044809e-05
P3_R1200_U142_P3_R1200_U437_A,sa1,30,7.2521602631e-06
P3_R1200_U166_P3_R1200_U421_B,sa1,30,6.2192623390e-06
P3_R1200_U217_P3_R1200_U370_B,sa1,30,1.1920929052e-07
