net_name,f_type,cube_cnt,complete,fdp
g530_g3192_B,sa0,26,1,2.4996948242e-01
g2655_stem_g4268_B,sa1,29,1,2.4999237061e-01
g190_g4720_A,sa1,3,1,3.7500000000e-01
g190_g4711_A,sa1,3,1,3.7500000000e-01
g150_g4814_A,sa1,30,0,1.5330696106e-01
g3398_II8000_B,sa1,16,1,1.2159347534e-04
g3341_II8028_D,sa1,30,0,1.2129545212e-04
g2074_II8029_A,sa1,16,1,1.0984949768e-04
g3264_II8034_C,sa1,10,1,1.2207031250e-04
g3238_II8041_D,sa1,10,1,9.3102455139e-05
g2149_II8052_B,sa1,7,1,1.8959045410e-03
g2137_II8063_C,sa1,24,1,2.0065298304e-03
g2057_II8090_B,sa1,16,1,1.1844933033e-04
g2137_II8108_C,sa1,2,1,1.2207031250e-04
g3264_II8115_C,sa1,30,0,1.5272796154e-03
g2316_II8209_B,sa1,2,1,7.8125000000e-03
g225_g4334_A,sa1,4,1,3.7500000000e-01
g306_g4343_A,sa1,4,1,3.7500000000e-01
g300_g4385_A,sa1,4,1,3.7500000000e-01
g3238_II8401_D,sa1,30,0,1.9927407920e-03
g2106_II8417_D,sa1,6,1,7.0571899414e-05
g3430_II8455_A,sa1,16,1,1.2159347534e-04
g3316_II8461_A,sa1,2,1,6.1035156250e-05
g3341_II8523_D,sa1,30,0,1.2129545212e-04
g3316_II8524_A,sa1,16,1,1.0984949768e-04
g2020_II8594_C,sa1,13,1,1.7486810684e-03
g3430_II8617_A,sa1,2,1,1.2207031250e-04
g2106_II8642_D,sa1,0,1,0.0000000000e+00
g2770_II9330_B,sa1,4,1,1.2207031250e-04
g261_g8330_A,sa1,2,1,6.1035156250e-05
g4430_II9029_C,sa0,16,1,1.2159347534e-04
g4504_II9029_A,sa0,16,1,1.2159347534e-04
g4445_II9041_C,sa0,16,1,1.2159347534e-04
g4483_II9041_A,sa0,16,1,1.2159347534e-04
g1528_II5505_B,sa1,1,1,6.2500000000e-02
g1733_II6750_A,sa1,18,1,1.6406250000e-01
g33_II6925_A,sa1,2,1,1.8750000000e-01
g2134_II7239_B,sa1,2,1,1.2500000000e-01
g3226_II7453_A,sa1,7,1,1.0937500000e-01
g1721_II7616_B,sa1,30,0,4.5776367188e-04
g3008_II7617_A,sa1,30,0,4.5776367188e-04
g1646_II8132_B,sa1,2,1,9.3750000000e-02
g3506_II8243_B,sa1,30,0,7.1525573730e-06
g2721_II8326_B,sa1,30,0,2.8610229492e-05
g2807_II8510_B,sa1,30,0,7.1525573730e-06
g1110_II8957_A,sa1,4,1,1.1718750000e-01
g1504_II9057_B,sa1,21,1,1.3488769531e-02
g4400_II9069_A,sa1,15,1,5.8593750000e-02
g1149_II9071_A,sa1,4,1,5.8593750000e-02
g4244_II9171_A,sa1,1,1,3.1250000000e-02
g1798,sa1,1,1,5.0000000000e-01
II5654,sa0,,,5.0000000000e-01
g921_II5654_A,sa1,,,5.0000000000e-01
g2888,sa0,1,1,5.0000000000e-01
II6608,sa1,,,5.0000000000e-01
g1612_stem_II6608_A,sa0,,,5.0000000000e-01
g3859,sa1,1,1,5.0000000000e-01
II7380,sa0,,,5.0000000000e-01
g3461,sa1,,,5.0000000000e-01
II6959,sa0,,,5.0000000000e-01
g1558_II6959_A,sa1,,,5.0000000000e-01
g5669,sa0,1,1,5.0000000000e-01
II10154,sa1,,,5.0000000000e-01
g5109_II10154_A,sa0,,,5.0000000000e-01
g5678,sa0,1,1,5.0000000000e-01
II10169,sa1,,,5.0000000000e-01
g4873_II10169_A,sa0,,,5.0000000000e-01
g5687,sa0,1,1,5.0000000000e-01
II10190,sa1,,,5.0000000000e-01
g4670_II10190_A,sa0,,,5.0000000000e-01
g7288,sa1,1,1,9.7656250000e-04
II13296,sa0,,,9.7656250000e-04
g7161,sa1,,,9.7656250000e-04
II13057,sa0,,,9.7656250000e-04
g6968,sa1,,,9.7656250000e-04
II12699,sa0,,,9.7656250000e-04
g6504,sa1,,,9.7656250000e-04
g7289,sa0,30,0,2.9296875000e-02
II13299,sa1,,,2.9296875000e-02
g7163,sa0,,,2.9296875000e-02
II13063,sa1,,,2.9296875000e-02
g6973,sa0,,,2.9296875000e-02
II12708,sa1,,,2.9296875000e-02
g6482,sa0,,,2.9296875000e-02
g5269_g6482_A,sa0,,,2.9296875000e-02
g5847_g6482_B,sa0,,,2.9296875000e-02
g7298,sa0,7,1,4.9609375000e-01
II13326,sa1,,,4.9609375000e-01
g7176,sa0,,,4.9609375000e-01
II13084,sa1,,,4.9609375000e-01
g7071_II13084_A,sa0,,,4.9609375000e-01
g7729,sa1,1,1,5.0000000000e-01
II14058,sa0,,,5.0000000000e-01
g7544,sa1,,,5.0000000000e-01
II13816,sa0,,,5.0000000000e-01
g7455,sa1,,,5.0000000000e-01
II13613,sa0,,,5.0000000000e-01
g7273,sa1,,,5.0000000000e-01
II13255,sa0,,,5.0000000000e-01
g7057,sa1,,,5.0000000000e-01
g6644,sa0,,,5.0000000000e-01
g6208,sa1,,,5.0000000000e-01
II10965,sa0,,,5.0000000000e-01
g5719_II10965_A,sa1,,,5.0000000000e-01
g8872,sa1,3,1,2.8161621094e-01
II15202,sa0,,,2.8161621094e-01
g8797,sa1,,,2.8161621094e-01
II15003,sa0,,,2.8161621094e-01
g8633,sa1,,,2.8161621094e-01
g6298,sa1,1,1,5.0000000000e-01
II11221,sa0,,,5.0000000000e-01
g6167,sa1,,,5.0000000000e-01
II10862,sa0,,,5.0000000000e-01
g5364_II10862_A,sa1,,,5.0000000000e-01
g9376,sa1,30,0,1.2817382813e-03
II16154,sa0,,,1.2817382813e-03
g9370,sa1,,,1.2817382813e-03
II16138,sa0,,,1.2817382813e-03
g9358,sa1,,,1.2817382813e-03
g9279,sa1,,,1.2817382813e-03
g9348,sa1,,,1.2817382813e-03
g6299,sa0,1,1,5.0000000000e-01
II11224,sa1,,,5.0000000000e-01
g6255,sa0,,,5.0000000000e-01
II11066,sa1,,,5.0000000000e-01
g5460,sa0,,,5.0000000000e-01
g4684,sa1,,,5.0000000000e-01
II8949,sa0,,,5.0000000000e-01
g4116,sa1,,,5.0000000000e-01
II7959,sa0,,,5.0000000000e-01
g2793,sa1,,,5.0000000000e-01
II6532,sa0,,,5.0000000000e-01
g1694,sa1,,,5.0000000000e-01
g21,sa0,,,5.0000000000e-01
g6289,sa1,1,1,5.0000000000e-01
II11194,sa0,,,5.0000000000e-01
g6243,sa1,,,5.0000000000e-01
II11050,sa0,,,5.0000000000e-01
g5335_II11050_A,sa1,,,5.0000000000e-01
g6379,sa1,6,1,2.5000000000e-01
II11464,sa0,,,2.5000000000e-01
g6088,sa1,,,2.5000000000e-01
II10708,sa0,,,2.5000000000e-01
g5545,sa1,,,2.5000000000e-01
g3617_g5545_A,sa1,,,2.5000000000e-01
g4824,sa1,,,2.5000000000e-01
g6857,sa0,16,1,7.5000000000e-01
II12442,sa1,,,7.5000000000e-01
g6542,sa0,,,7.5000000000e-01
II11718,sa1,,,7.5000000000e-01
g6115,sa0,,,7.5000000000e-01
g6865,sa1,5,1,7.5000000000e-01
II12466,sa0,,,7.5000000000e-01
g6687,sa1,,,7.5000000000e-01
II12003,sa0,,,7.5000000000e-01
g6202,sa1,,,7.5000000000e-01
II10949,sa0,,,7.5000000000e-01
g5513,sa1,,,7.5000000000e-01
g8675,sa0,10,1,2.5000000000e-01
II14819,sa1,,,2.5000000000e-01
g8647,sa0,,,2.5000000000e-01
II14739,sa1,,,2.5000000000e-01
g8173,sa0,,,2.5000000000e-01
II14400,sa1,,,2.5000000000e-01
g7677,sa0,,,2.5000000000e-01
g7503,sa0,,,2.5000000000e-01
II13686,sa0,,,2.5000000000e-01
g1977_II13686_A,sa0,,,2.5000000000e-01
II13685_II13686_B,sa0,,,2.5000000000e-01
II13687,sa0,,,2.5000000000e-01
g7237_II13687_A,sa0,,,2.5000000000e-01
II13685_II13687_B,sa0,,,2.5000000000e-01
g5073,sa0,,,2.5000000000e-01
g4477_g5073_A,sa1,,,2.5000000000e-01
g6866,sa0,2,1,5.0000000000e-01
II12469,sa1,,,5.0000000000e-01
g6586,sa0,,,5.0000000000e-01
II11778,sa1,,,5.0000000000e-01
g6180,sa0,,,5.0000000000e-01
II10900,sa0,,,5.0000000000e-01
g5520_II10900_A,sa0,,,5.0000000000e-01
II10899_II10900_B,sa0,,,5.0000000000e-01
II10901,sa0,,,5.0000000000e-01
g2752_II10901_A,sa0,,,5.0000000000e-01
II10899_II10901_B,sa0,,,5.0000000000e-01
g6874,sa1,2,1,5.0000000000e-01
II12493,sa0,,,5.0000000000e-01
g6587,sa1,,,5.0000000000e-01
II11781,sa0,,,5.0000000000e-01
g6284,sa1,,,5.0000000000e-01
g6875,sa0,2,1,5.0000000000e-01
II12496,sa1,,,5.0000000000e-01
g6592,sa0,,,5.0000000000e-01
II11790,sa1,,,5.0000000000e-01
g6282,sa0,,,5.0000000000e-01
II11150,sa0,,,5.0000000000e-01
g5473_II11150_A,sa0,,,5.0000000000e-01
II11149_II11150_B,sa0,,,5.0000000000e-01
II11151,sa0,,,5.0000000000e-01
g3038_II11151_A,sa0,,,5.0000000000e-01
II11149_II11151_B,sa0,,,5.0000000000e-01
g6883,sa1,2,1,5.0000000000e-01
II12520,sa0,,,5.0000000000e-01
g6622,sa1,,,5.0000000000e-01
II11858,sa0,,,5.0000000000e-01
g6165,sa1,,,5.0000000000e-01
g6884,sa0,2,1,5.0000000000e-01
II12523,sa1,,,5.0000000000e-01
g6624,sa0,,,5.0000000000e-01
II11864,sa1,,,5.0000000000e-01
g5753,sa0,,,5.0000000000e-01
II10335,sa0,,,5.0000000000e-01
g5462_II10335_A,sa0,,,5.0000000000e-01
II10334_II10335_B,sa0,,,5.0000000000e-01
II10336,sa0,,,5.0000000000e-01
g2573_II10336_A,sa0,,,5.0000000000e-01
II10334_II10336_B,sa0,,,5.0000000000e-01
g6388,sa1,1,1,5.0000000000e-01
II11491,sa0,,,5.0000000000e-01
g6010,sa1,,,5.0000000000e-01
II10608,sa0,,,5.0000000000e-01
g5701_II10608_A,sa1,,,5.0000000000e-01
g6389,sa0,1,1,5.0000000000e-01
II11494,sa1,,,5.0000000000e-01
g6037,sa0,,,5.0000000000e-01
II10646,sa1,,,5.0000000000e-01
g5364_II10646_A,sa0,,,5.0000000000e-01
g7774,sa1,30,0,2.6733398438e-01
II14193,sa0,,,2.6733398438e-01
g7532,sa1,,,2.6733398438e-01
