net_name,f_type,cube_cnt,complete,fdp
g431_g4560_A,sa1,30,0,4.2605400085e-04
g401_g4752_A,sa1,30,0,3.7813186646e-04
g3015_g11519_B,sa1,0,1,0.0000000000e+00
g1490_II5085_A,sa1,1,1,1.9073486328e-06
g2707_II6631_A,sa1,1,1,4.8828125000e-04
g342_g4550_A,sa1,2,1,1.2500000000e-01
g182_g6240_A,sa1,6,1,3.9062500000e-01
g2135_g10365_B,sa1,30,0,9.3383789063e-03
g3507_g10362_B,sa0,30,0,3.3599853516e-02
g6023_g10509_B,sa1,30,0,2.5955200195e-02
g1850_g10731_B,sa1,30,0,3.8063049316e-02
g4013_g10746_B,sa1,30,0,6.0058593750e-02
g1314_g11583_A,sa1,30,0,4.9902343850e-01
g1321_g11585_A,sa1,30,0,4.9902343850e-01
g1245_II5358_A,sa0,1,1,1.1920928955e-07
g1157_II5363_C,sa0,30,0,1.9856670406e-06
g448_g2501_A,sa0,30,0,1.9054910538e-06
g1003_II4987_A,sa1,30,0,5.2714347839e-04
g1386_II5126_A,sa1,8,1,1.2500000000e-01
g1515_II5186_A,sa1,30,0,4.6230316162e-02
g1270_II5539_A,sa1,30,0,4.7020876082e-09
g178_g2500_A,sa1,1,1,1.9073486328e-06
g1703_II5591_B,sa1,1,1,6.2500000000e-02
g1223_II5675_B,sa1,1,1,3.9062500000e-03
g2236_II6166_A,sa1,8,1,1.2500000000e-01
g23_II6467_A,sa1,1,1,2.5000000000e-01
g1781_II7223_B,sa1,1,1,7.8125000000e-03
g3530_II8481_A,sa1,30,0,2.1679639816e-01
g4601_II8715_A,sa1,30,0,3.9674424333e-03
g1121_II8738_B,sa1,6,1,9.7656250000e-03
g1133_II8772_A,sa1,27,1,1.4648437500e-01
g695_II13521_A,sa1,30,0,3.7574768066e-03
g622_II13990_A,sa1,2,1,3.8146972656e-06
g599_II14211_A,sa1,27,1,2.4999570847e-01
g10229_II15718_A,sa1,30,0,1.2005233765e-01
g10422_II15993_A,sa1,30,0,2.4680979550e-04
g3463_g10370_B,sa0,30,0,9.7656195945e-04
g837_II16052_A,sa1,30,0,8.8636516914e-04
g4620_g10428_B,sa0,30,0,2.6988983154e-04
g11377_II17305_B,sa1,30,0,7.2658061981e-05
g11415_II17394_A,sa1,30,0,5.3702155583e-05
g11414_II17395_A,sa1,30,0,5.3702155583e-05
g9317_g10322_A,sa0,0,1,0.0000000000e+00
g2986,sa1,1,1,5.0000000000e-01
II6220,sa0,,,5.0000000000e-01
g883_II6220_A,sa1,,,5.0000000000e-01
g5659,sa1,7,1,8.7500000000e-01
II9138,sa0,,,8.7500000000e-01
g5210,sa1,,,8.7500000000e-01
II8631,sa0,,,8.7500000000e-01
g4425,sa1,,,8.7500000000e-01
II7771,sa0,,,8.7500000000e-01
g3418,sa1,,,8.7500000000e-01
g6955,sa1,3,1,5.0000000000e-01
II11103,sa0,,,5.0000000000e-01
g6667_II11103_A,sa1,,,5.0000000000e-01
g8566,sa1,3,1,5.0000000000e-01
II13791,sa0,,,5.0000000000e-01
g8518,sa1,,,5.0000000000e-01
II13723,sa0,,,5.0000000000e-01
g8359,sa1,,,5.0000000000e-01
II13457,sa0,,,5.0000000000e-01
g8184,sa1,,,5.0000000000e-01
II13105,sa0,,,5.0000000000e-01
g7929,sa1,,,5.0000000000e-01
g7519,sa0,,,5.0000000000e-01
g6956,sa1,,,5.0000000000e-01
II11106,sa0,,,5.0000000000e-01
