net_name,f_type,cube_cnt,complete,fdp
n1121gat,sa0,5,0,6.9335937500e-02
n1121gat,sa1,5,0,6.9335937500e-02
n2203gat,sa0,1,1,5.0000000000e-01
n1312gat,sa0,5,0,2.4464607239e-02
n1241gat,sa0,5,0,9.7656250000e-03
n2203gat,sa1,1,1,5.0000000000e-01
n1312gat,sa1,5,0,2.4464607239e-02
n1340gat,sa0,5,0,8.3129882813e-02
n1026gat,sa0,5,0,9.7656250000e-03
n1241gat,sa1,5,0,9.7656250000e-03
n1080gat,sa0,5,0,9.7656250000e-03
n1035gat,sa0,5,0,2.3193359375e-02
n2061gat,sa0,5,0,2.0703125000e-01
n2403gat,sa0,5,0,2.2265625000e-01
n1340gat,sa1,5,0,8.3129882813e-02
n1026gat,sa1,5,0,9.7656250000e-03
n1080gat,sa1,5,0,9.7656250000e-03
n1072gat,sa0,5,0,3.8574218750e-02
n1035gat,sa1,5,0,2.3193359375e-02
n1135gat,sa0,5,0,6.9335937500e-02
n1045gat,sa0,5,0,9.7656250000e-03
n2061gat,sa1,5,0,2.0703125000e-01
n2403gat,sa1,5,0,2.2265625000e-01
n2143gat,sa0,5,0,8.9843750000e-02
n2440gat,sa0,5,0,2.2265625000e-01
n2125gat,sa0,1,1,5.0000000000e-01
n2630gat,sa0,1,1,5.0000000000e-01
n1072gat,sa1,5,0,3.8574218750e-02
n1226gat,sa0,5,0,9.7656250000e-03
n1135gat,sa1,5,0,6.9335937500e-02
n1045gat,sa1,5,0,9.7656250000e-03
n2207gat,sa0,1,1,5.0000000000e-01
n2270gat,sa0,1,1,5.0000000000e-01
n2143gat,sa1,5,0,8.9843750000e-02
n2440gat,sa1,5,0,2.2265625000e-01
n1316gat,sa0,1,1,5.0000000000e-01
n2135gat,sa0,5,0,6.2504291534e-02
n2125gat,sa1,1,1,5.0000000000e-01
n2450gat,sa0,1,1,5.0000000000e-01
n2343gat,sa0,1,1,5.0000000000e-01
n2630gat,sa1,1,1,5.0000000000e-01
n1226gat,sa1,5,0,9.7656250000e-03
n2640gat,sa0,1,1,5.0000000000e-01
n2207gat,sa1,1,1,5.0000000000e-01
n2270gat,sa1,1,1,5.0000000000e-01
n2622gat,sa0,1,1,5.0000000000e-01
n1740gat,sa0,5,0,7.5149536133e-04
n2262gat,sa0,5,0,2.5793457031e-01
n2190gat,sa0,5,0,2.5781440735e-01
n1316gat,sa1,1,1,5.0000000000e-01
n2135gat,sa1,5,0,6.2504291534e-02
n2450gat,sa1,1,1,5.0000000000e-01
n3091gat,sa0,5,0,1.8429756165e-04
n2343gat,sa1,1,1,5.0000000000e-01
n2155gat,sa0,5,0,5.3405761719e-05
n1282gat,sa0,5,0,1.3085937500e-01
n2640gat,sa1,1,1,5.0000000000e-01
n2622gat,sa1,1,1,5.0000000000e-01
n2407gat,sa0,5,0,1.4306640625e-01
