net_name,f_type,cube_cnt,complete,fdp
g102,sa0,1,0,6.2500000000e-02
g111,sa0,1,0,1.2500000000e-01
g310,sa0,1,0,6.2500000000e-02
g102,sa1,1,0,6.2500000000e-02
g301,sa0,1,0,2.5000000000e-01
g111,sa1,1,0,1.2500000000e-01
g310,sa1,1,0,6.2500000000e-02
g301,sa1,1,0,2.5000000000e-01
g410,sa0,1,0,2.3841857910e-07
g230,sa0,1,0,5.9604644775e-08
g500,sa0,1,0,1.2500000000e-01
g212,sa0,1,0,5.9604644775e-08
g131,sa0,1,0,1.2500000000e-01
g122,sa1,1,0,1.2500000000e-01
g114,sa0,1,0,1.2500000000e-01
g123,sa0,1,0,3.1250000000e-02
g402,sa0,1,0,2.3841857910e-07
g410,sa1,1,0,2.3841857910e-07
g230,sa1,1,0,5.9604644775e-08
g500,sa1,1,0,1.2500000000e-01
g212,sa1,1,0,5.9604644775e-08
g131,sa1,1,0,1.2500000000e-01
g114,sa1,1,0,1.2500000000e-01
g123,sa1,1,0,3.1250000000e-02
g430,sa0,1,0,2.3841857910e-07
g402,sa1,1,0,2.3841857910e-07
g520,sa0,1,0,1.2500000000e-01
g3,sa0,1,0,2.5000000000e-01
g610,sa0,1,0,1.2500000000e-01
g331,sa1,1,0,1.2500000000e-01
g314,sa0,1,0,6.2500000000e-02
g107,sa0,1,0,1.9531250000e-03
g323,sa0,1,0,3.9062500000e-03
g332,sa0,1,0,3.1250000000e-02
g430,sa1,1,0,2.3841857910e-07
g422,sa0,1,0,2.3841857910e-07
g520,sa1,1,0,1.2500000000e-01
g242,sa0,1,0,5.9604644775e-08
g512,sa0,1,0,1.2500000000e-01
g224,sa0,1,0,5.9604644775e-08
g260,sa0,1,0,5.9604644775e-08
g3,sa1,1,0,2.5000000000e-01
g602,sa0,1,1,2.5000000000e-01
g610,sa1,1,0,1.2500000000e-01
g341,sa0,1,0,1.2500000000e-01
g143,sa0,1,0,1.2500000000e-01
g152,sa0,1,0,1.5625000000e-02
g161,sa0,1,0,1.5625000000e-02
g170,sa0,1,0,1.5625000000e-02
g702,sa0,1,1,5.0000000000e-01
g306,sa0,1,0,6.2500000000e-02
g314,sa1,1,0,6.2500000000e-02
g107,sa1,1,0,1.9531250000e-03
g323,sa1,1,0,3.9062500000e-03
g332,sa1,1,0,3.1250000000e-02
g441,sa0,1,0,2.3841857910e-07
g414,sa0,1,0,2.3841857910e-07
g422,sa1,1,0,2.3841857910e-07
g242,sa1,1,0,5.9604644775e-08
g512,sa1,1,0,1.2500000000e-01
g224,sa1,1,0,5.9604644775e-08
g504,sa0,1,0,1.2500000000e-01
g260,sa1,1,0,5.9604644775e-08
g602,sa1,1,1,2.5000000000e-01
g341,sa1,1,0,1.2500000000e-01
g135,sa0,1,0,1.2500000000e-01
g143,sa1,1,0,1.2500000000e-01
g152,sa1,1,0,1.5625000000e-02
g161,sa1,1,0,1.5625000000e-02
g170,sa1,1,0,1.5625000000e-02
g702,sa1,1,1,5.0000000000e-01
g306,sa1,1,0,6.2500000000e-02
g117,sa1,1,0,1.2500000000e-01
g406,sa0,1,0,2.3841857910e-07
g441,sa1,1,0,2.3841857910e-07
g414,sa1,1,0,2.3841857910e-07
g370,sa0,1,0,6.2500000000e-02
g541,sa0,1,0,3.1250000000e-02
g504,sa1,1,0,1.2500000000e-01
g532,sa0,1,0,1.2500000000e-01
g613,sa0,1,0,1.2500000000e-01
g135,sa1,1,0,1.2500000000e-01
g622,sa0,1,0,1.2500000000e-01
g631,sa0,1,0,1.2500000000e-01
g361,sa0,1,0,1.5625000000e-02
g118,sa1,1,0,1.2500000000e-01
g128,sa0,1,0,1.2500000000e-01
g119,sa0,1,0,1.2500000000e-01
g434,sa0,1,0,6.1035156250e-05
g406,sa1,1,0,2.3841857910e-07
g461,sa0,1,0,2.3841857910e-07
g551,sa0,1,0,1.2500000000e-01
g370,sa1,1,0,6.2500000000e-02
g541,sa1,1,0,3.1250000000e-02
g524,sa0,1,0,1.2500000000e-01
g236,sa0,1,0,5.9604644775e-08
g218,sa0,1,0,5.9604644775e-08
g532,sa1,1,0,1.2500000000e-01
g254,sa0,1,0,5.9604644775e-08
g7,sa0,1,0,2.5000000000e-01
g613,sa1,1,0,1.2500000000e-01
g290,sa0,1,0,1.1368683772e-13
g353,sa0,1,0,1.2500000000e-01
g622,sa1,1,0,1.2500000000e-01
g650,sa0,1,1,5.0000000000e-01
g631,sa1,1,0,1.2500000000e-01
g361,sa1,1,0,1.5625000000e-02
g326,sa1,1,0,1.2500000000e-01
g128,sa1,1,0,1.2500000000e-01
g119,sa1,1,0,1.2500000000e-01
g434,sa1,1,0,6.1035156250e-05
g453,sa0,1,0,2.3841857910e-07
g426,sa0,1,0,2.3841857910e-07
g461,sa1,1,0,2.3841857910e-07
g560,sa1,1,0,2.4414062500e-04
g551,sa1,1,0,1.2500000000e-01
g390,sa0,1,0,6.2500000000e-02
g524,sa1,1,0,1.2500000000e-01
g516,sa0,1,0,1.2500000000e-01
g236,sa1,1,0,5.9604644775e-08
g218,sa1,1,0,5.9604644775e-08
g254,sa1,1,0,5.9604644775e-08
g7,sa1,1,0,2.5000000000e-01
g345,sa0,1,0,1.2500000000e-01
g642,sa0,1,1,5.0000000000e-01
g290,sa1,1,0,1.1368683772e-13
g291,sa0,1,0,1.1368683772e-13
g606,sa0,1,1,5.0000000000e-01
g353,sa1,1,0,1.2500000000e-01
g650,sa1,1,1,5.0000000000e-01
g471,sa0,1,0,3.9062500000e-03
g327,sa1,1,0,1.2500000000e-01
g319,sa0,1,0,3.8146972656e-06
g193,sa0,1,0,6.2500000000e-02
