net_name,f_type,cube_cnt,complete,fdp
P1_U3999,sa0,,,9.6873093583e-01
P1_U3973_stem,sa1,30,0,9.6873093583e-01
P1_U3973,sa1,30,0,9.6873093583e-01
P1_U3425_P1_U3973_A,sa0,,,9.6873093583e-01
P1_U3425,sa0,30,0,9.6873093583e-01
P1_U3424_P1_U3999_A,sa1,,,9.6873093583e-01
P1_STATE_REG_SCAN_IN_P1_U3425_B,sa0,,,9.6873093583e-01
P2_U3893,sa1,30,0,9.6093560383e-01
P2_U5436_P2_U3699_A,sa0,,,9.4531220943e-01
P2_U3906_P2_U3363_B,sa0,,,9.4531220943e-01
P2_U3893_stem,sa1,30,0,9.4531220943e-01
P2_U3699,sa0,,,9.4531220943e-01
P2_U3363_P2_U3893_stem_A,sa0,,,9.4531220943e-01
P2_U3363,sa0,30,0,9.4531220943e-01
P2_STATE_REG_SCAN_IN_P2_U3699_B,sa0,,,9.4531220943e-01
P1_ADDR_REG_1__SCAN_IN_ADD_1068_U72_B,sa0,,,8.7500000000e-01
ADD_1068_U84_ADD_1068_U72_A,sa0,,,8.7500000000e-01
ADD_1068_U72,sa0,23,1,8.7500000000e-01
P2_ADDR_REG_0__SCAN_IN_ADD_1068_U9_B,sa0,,,7.5000000000e-01
P1_ADDR_REG_0__SCAN_IN_ADD_1068_U9_A,sa0,,,7.5000000000e-01
ADD_1068_U9,sa0,8,1,7.5000000000e-01
P1_U5677_P1_U4886_A,sa0,,,7.0055961655e-01
P1_U4887,sa0,,,7.0055961655e-01
P1_U4886,sa0,,,7.0055961655e-01
P1_U4885,sa0,,,7.0055961655e-01
P1_U3912_P1_U4887_B,sa0,,,7.0055961655e-01
P1_U3373_P1_U4885_B,sa0,,,7.0055961655e-01
P1_U3085_stem,sa0,30,0,7.0055961655e-01
P1_U3046_P1_U4885_A,sa0,,,7.0055961655e-01
P1_STATE_REG_SCAN_IN_P1_U3085_B,sa0,,,7.0055961655e-01
P1_U3085,sa0,30,0,6.8896484654e-01
P1_U3324,sa1,30,0,6.8627929689e-01
P2_U5250,sa0,,,6.8310547154e-01
P2_U5249,sa0,,,6.8310547154e-01
P2_U3894,sa0,,,6.8310547154e-01
P2_U3829_P2_U5250_B,sa0,,,6.8310547154e-01
P2_U3817,sa0,,,6.8310547154e-01
P2_U3375_P2_U5250_A,sa0,,,6.8310547154e-01
P2_U3364_P2_U3894_A,sa1,,,6.8310547154e-01
P2_U3150,sa0,30,0,6.8310547154e-01
P2_U3046_P2_U5249_B,sa0,,,6.8310547154e-01
P2_STATE_REG_SCAN_IN_P2_U3817_B,sa0,,,6.8310547154e-01
