net_name,f_type,cube_cnt,complete,fdp
g102,sa0,30,0,1.2107533216e-01
g111,sa0,24,1,4.6875000000e-01
g310,sa0,30,0,1.2482762337e-01
g102,sa1,30,0,1.2107533216e-01
g301,sa0,30,0,2.5379371643e-01
g111,sa1,24,1,4.6875000000e-01
g310,sa1,30,0,1.2588310242e-01
g301,sa1,30,0,2.5444893329e-01
g410,sa0,30,0,4.9814748764e-01
g230,sa0,30,0,1.2766662970e-04
g500,sa0,30,0,4.9990892419e-01
g212,sa0,30,0,4.7124413716e-06
g131,sa0,25,1,4.6969604492e-01
g122,sa1,5,1,4.3750000000e-01
g114,sa0,16,1,4.6969604492e-01
g123,sa0,30,0,4.5056152344e-01
g402,sa0,30,0,4.9814748764e-01
g410,sa1,30,0,4.9814748764e-01
g230,sa1,30,0,1.7064573563e-04
g500,sa1,30,0,4.9990892419e-01
g212,sa1,30,0,1.2657402433e-04
g131,sa1,25,1,4.6969604492e-01
g114,sa1,16,1,4.6969604492e-01
g123,sa1,30,0,4.5056152344e-01
g430,sa0,30,0,4.9814748764e-01
g402,sa1,30,0,4.9814748764e-01
g520,sa0,30,0,4.9990892425e-01
g3,sa0,30,0,4.7509765625e-01
g610,sa0,2,1,2.5000000000e-01
g331,sa1,5,1,4.3750000000e-01
g314,sa0,30,0,3.4791564941e-01
g107,sa0,30,0,7.9759359360e-03
g323,sa0,20,1,4.6899318695e-01
g332,sa0,30,0,4.6508836746e-01
g430,sa1,30,0,4.9814748764e-01
g422,sa0,30,0,4.9814748764e-01
g520,sa1,30,0,4.9990892425e-01
g242,sa0,30,0,1.0433611906e-05
g512,sa0,30,0,4.9990892425e-01
g224,sa0,30,0,1.2747361810e-04
g260,sa0,30,0,1.0218853064e-05
g3,sa1,30,0,4.7509765625e-01
g602,sa0,1,1,2.5000000000e-01
g610,sa1,2,1,2.5000000000e-01
g341,sa0,30,0,4.6893310547e-01
g143,sa0,30,0,3.6861228943e-01
g152,sa0,30,0,3.6752843857e-01
g161,sa0,30,0,3.6827468872e-01
g170,sa0,30,0,3.6834716797e-01
g702,sa0,1,1,5.0000000000e-01
g306,sa0,30,0,1.8928027153e-01
g314,sa1,30,0,3.4889221191e-01
g107,sa1,30,0,1.2703418732e-02
g323,sa1,21,1,4.6899318695e-01
g332,sa1,30,0,4.6508836746e-01
g441,sa0,30,0,4.9814748764e-01
g414,sa0,30,0,4.9814748764e-01
g422,sa1,30,0,4.9814748764e-01
g242,sa1,30,0,2.0111294573e-04
g512,sa1,30,0,4.9990892425e-01
g224,sa1,30,0,4.8930870043e-06
g504,sa0,30,0,4.9990892425e-01
g260,sa1,30,0,1.1297854076e-04
g602,sa1,1,1,2.5000000000e-01
g341,sa1,30,0,4.6069240570e-01
g135,sa0,25,1,4.6969604492e-01
g143,sa1,30,0,3.6861801147e-01
g152,sa1,30,0,3.6740756035e-01
g161,sa1,30,0,3.6780309677e-01
g170,sa1,30,0,3.6834716797e-01
g702,sa1,1,1,5.0000000000e-01
g306,sa1,30,0,1.8733000755e-01
g117,sa1,5,1,4.3750000000e-01
g406,sa0,30,0,4.9814748764e-01
g441,sa1,30,0,4.9814748764e-01
g414,sa1,30,0,4.9814748764e-01
g370,sa0,30,0,4.6832275391e-01
g541,sa0,30,0,1.2023471774e-01
g504,sa1,30,0,4.9990892425e-01
g532,sa0,30,0,4.9990892430e-01
g613,sa0,3,1,2.5000000000e-01
g135,sa1,25,1,4.6969604492e-01
g622,sa0,6,1,2.5000000000e-01
g631,sa0,9,1,2.5000000000e-01
g361,sa0,30,0,4.5544433594e-01
g118,sa1,5,1,4.3750000000e-01
g128,sa0,26,1,4.6969604492e-01
g119,sa0,5,1,4.3750000000e-01
g434,sa0,30,0,4.9975585938e-01
g406,sa1,30,0,4.9814748764e-01
g461,sa0,30,0,4.9814748764e-01
g551,sa0,20,1,4.9902361631e-01
g370,sa1,30,0,4.6832275391e-01
g541,sa1,30,0,1.2023471774e-01
g524,sa0,30,0,4.9990892425e-01
g236,sa0,30,0,6.6193523225e-06
g218,sa0,30,0,4.7124413716e-06
g532,sa1,30,0,4.9990892430e-01
g254,sa0,30,0,1.0434487270e-05
g7,sa0,30,0,4.7509765625e-01
g613,sa1,3,1,2.5000000000e-01
g290,sa0,30,0,2.0916011978e-11
