net_name,f_type,cube_cnt,complete,fdp
CLR,sa0,49,1,3.6132812500e-01
CLR,sa1,49,1,3.6132812500e-01
v0,sa0,7,1,1.3671875000e-02
v0,sa1,7,1,1.3671875000e-02
v1,sa0,20,1,5.2246093750e-02
v1,sa1,18,1,5.2246093750e-02
v2,sa0,18,1,1.7089843750e-01
v3,sa0,11,1,2.4414062500e-02
v2,sa1,18,1,1.7089843750e-01
v4,sa0,6,1,1.9531250000e-02
v3,sa1,11,1,2.4414062500e-02
v5,sa0,6,1,1.9531250000e-02
v4,sa1,6,1,1.9531250000e-02
v5,sa1,6,1,1.9531250000e-02
v6,sa0,7,1,1.5136718750e-02
v6,sa1,8,1,1.5136718750e-02
v7,sa0,41,1,4.7265625000e-01
v8,sa0,37,1,4.2968750000e-01
v7,sa1,41,1,4.7265625000e-01
v8,sa1,36,1,4.2968750000e-01
v9,sa0,36,1,3.6914062500e-01
v9,sa1,35,1,3.6914062500e-01
v10,sa0,43,1,3.5888671875e-01
v11,sa0,49,1,3.5839843750e-01
v10,sa1,45,1,3.5888671875e-01
v12,sa0,38,1,3.9648437500e-01
v11,sa1,46,1,3.5839843750e-01
v12,sa1,40,1,3.9648437500e-01
v9_C191D_B,sa0,7,1,4.5898437500e-02
v9_C129D_A,sa0,12,1,1.0302734375e-01
v12_IIII435_A,sa1,1,1,1.5625000000e-02
v11_IIII354_B,sa1,2,1,4.6875000000e-02
v11_IIII291_B,sa1,2,1,2.3437500000e-02
v10_IIII256_B,sa1,1,1,1.5625000000e-02
v10_IIII229_B,sa1,1,1,7.8125000000e-03
v10_IIII166_B,sa1,6,1,2.9296875000e-02
v11_IIII109_D,sa1,4,1,1.5625000000e-02
v12_IIII516_B,sa1,1,1,9.7656250000e-04
v10_IIII492_A,sa1,7,1,3.6132812500e-02
v12_IIII461_C,sa1,1,1,3.1250000000e-02
v10_IIII427_C,sa1,1,1,7.8125000000e-03
v10_IIII357_A,sa1,2,1,5.8593750000e-03
v12_IIII346_A,sa1,2,1,1.1718750000e-02
v12_IIII336_B,sa1,2,1,3.9062500000e-02
v12_IIII282_B,sa1,6,1,2.2949218750e-02
v10_IIII149_B,sa1,3,1,3.1250000000e-02
v7_IIII41_A,sa1,2,1,1.1718750000e-02
v10_IIII547_A,sa1,2,1,1.1718750000e-02
v12_IIII471_C,sa1,5,1,3.4179687500e-03
v12_IIII453_C,sa1,5,1,6.8359375000e-03
v10_IIII438_B,sa1,2,1,7.8125000000e-03
v11_IIII167_B,sa1,1,1,1.5625000000e-02
v11_IIII546_B,sa1,2,1,5.8593750000e-03
v11_IIII528_B,sa1,1,1,1.5625000000e-02
v11_IIII464_C,sa1,1,1,1.5625000000e-02
v1_II254_A,sa1,2,1,9.7656250000e-04
v11_IIII365_C,sa1,2,1,3.9062500000e-03
v12_IIII329_B,sa1,5,1,1.2695312500e-02
v12_IIII239_B,sa1,1,1,1.5625000000e-02
v12_IIII194_B,sa1,10,1,4.2724609375e-03
v11_IIII186_B,sa1,2,1,3.9062500000e-03
v7_IIII51_B,sa1,7,1,9.5703125000e-02
v9_C195D_B,sa0,6,1,2.0507812500e-02
v11_IIII555_C,sa1,1,1,1.5625000000e-02
v10_IIII494_B,sa1,2,1,1.1718750000e-02
v10_IIII377_B,sa1,1,1,7.8125000000e-03
v9_C168D_B,sa0,4,1,1.7578125000e-02
v11_IIII196_B,sa1,5,1,6.2500000000e-02
v10_IIII179_B,sa1,1,1,1.5625000000e-02
v7_IIII80_A,sa1,2,1,7.8125000000e-03
v8_IIII43_A,sa1,4,1,2.2460937500e-02
v12_IIII439_B,sa1,2,1,7.8125000000e-03
v11_IIII287_B,sa1,2,1,2.3437500000e-02
v11_IIII188_B,sa1,4,1,5.4687500000e-02
v7_IIII35_B,sa1,6,1,2.0507812500e-02
v12_IIII537_D,sa1,4,1,3.4179687500e-03
v11_IIII495_B,sa1,2,1,2.9296875000e-03
v7_IIII73_A,sa1,3,1,3.1250000000e-02
v8_IIII63_A,sa1,12,1,4.0527343750e-02
v7_IIII46_A,sa1,17,1,4.1992187500e-02
v7_IIII27_B,sa1,12,1,9.3750000000e-02
v11_IIII559_B,sa1,2,1,2.3437500000e-02
v11_IIII297_C,sa1,4,1,1.7578125000e-02
v7_IIII92_A,sa1,2,1,2.3437500000e-02
v9_II142_B,sa1,2,1,3.9062500000e-03
v12_IIII486_C,sa1,1,1,3.9062500000e-03
v11_IIII479_B,sa1,3,1,1.3671875000e-02
v10_IIII389_C,sa1,1,1,1.5625000000e-02
v3_II329_A,sa1,2,1,5.8593750000e-03
v9_IIII35_C,sa1,1,1,3.1250000000e-02
v11_IIII489_B,sa1,4,1,2.3437500000e-02
v6_II254_B,sa1,2,1,9.7656250000e-04
v8_IIII73_C,sa1,3,1,3.9062500000e-02
v9_IIII65_A,sa1,3,1,1.9531250000e-02
v7_IIII59_A,sa1,16,1,7.1289062500e-02
v8_IIII49_A,sa1,6,1,1.5234375000e-01
v7_IIII69_A,sa1,5,1,5.4687500000e-02
v8_IIII96_A,sa1,17,1,5.3222656250e-02
v4_II548_B,sa1,3,1,9.7656250000e-03
v7_IIII89_A,sa1,10,1,3.1250000000e-02
v8_IIII79_A,sa1,8,1,1.5234375000e-01
v7_II368_A,sa1,2,1,7.8125000000e-03
v8_II368_B,sa1,2,1,7.8125000000e-03
v8_Av13_D_16B_B,sa1,2,1,1.1718750000e-02
v10_C131D_B,sa0,13,1,9.9609375000e-02
v10_C124D_A,sa0,12,1,7.7392578125e-02
v12_C122D_A,sa0,1,1,3.9062500000e-03
v12_C141D_B,sa0,8,1,5.7617187500e-02
v11_C124D_B,sa0,14,1,7.9589843750e-02
v0_C70D_A,sa0,2,1,4.3945312500e-03
v12_C142D_B,sa0,1,1,1.9531250000e-03
v10_C218D_B,sa0,1,1,3.1250000000e-02
v12_C144D_B,sa0,22,1,1.5466308594e-01
v12_C108D_B,sa0,16,1,4.7851562500e-02
v10_C129D_B,sa0,13,1,9.7656250000e-02
v12_C145D_B,sa0,1,1,1.5625000000e-02
v11_C165D_B,sa0,17,1,1.0644531250e-01
v12_C119D_B,sa0,0,1,0.0000000000e+00
v10_C179D_A,sa0,6,1,7.8125000000e-03
v3_IIII104_A,sa1,3,1,3.4179687500e-03
v1_IIII215_A,sa1,5,1,2.6367187500e-02
v10_IIII43_B,sa1,3,1,3.1250000000e-02
v3_IIII412_A,sa1,1,1,3.9062500000e-03
v12_C196D_B,sa0,6,1,1.9531250000e-02
v3_IIII250_B,sa1,3,1,3.4179687500e-03
v12_C169D_C,sa0,11,1,3.9062500000e-02
v2_IIII126_A,sa1,4,1,7.8125000000e-03
v9_C90D_A,sa0,9,1,9.3750000000e-02
v2_IIII514_A,sa1,1,1,7.8125000000e-03
v3_IIII450_A,sa1,1,1,4.8828125000e-04
v9_IIII210_A,sa1,4,1,5.8593750000e-02
v2_IIII154_A,sa1,3,1,7.8125000000e-03
v1_IIII516_A,sa1,1,1,1.9531250000e-03
v8_IIII500_A,sa1,1,1,9.7656250000e-04
v1_IIII471_A,sa1,1,1,1.9531250000e-03
v2_IIII380_A,sa1,2,1,1.1718750000e-02
v2_IIII109_B,sa1,7,1,1.2695312500e-02
v10_IIII29_B,sa1,19,1,7.9101562500e-02
v7_IIII420_B,sa1,2,1,7.8125000000e-03
v8_IIII402_A,sa1,6,1,1.5136718750e-02
v9_C56D_A,sa0,2,1,9.7656250000e-04
v9_IIII310_B,sa1,2,1,2.9296875000e-03
v9_IIII131_A,sa1,1,1,1.5625000000e-02
v8_IIII123_A,sa1,11,1,1.3574218750e-01
v8_IIII105_A,sa1,10,1,3.0273437500e-02
v11_IIII83_B,sa1,12,1,7.3242187500e-02
CLR_v13_D_0C_B,sa1,17,1,1.2060546875e-01
v0_IIII555_A,sa1,1,1,7.8125000000e-03
v0_IIII546_A,sa1,2,1,5.8593750000e-03
v9_IIII510_A,sa1,3,1,2.1484375000e-02
v0_IIII438_A,sa1,2,1,7.8125000000e-03
v6_IIII414_A,sa1,1,1,9.7656250000e-04
v7_IIII206_A,sa1,4,1,4.6875000000e-02
v9_IIII203_B,sa1,6,1,3.5156250000e-02
v8_IIII160_A,sa1,6,1,5.0781250000e-02
v8_IIII141_B,sa1,8,1,1.5820312500e-01
v9_IIII114_A,sa1,7,1,7.3242187500e-03
CLR_v13_D_1C_B,sa1,24,1,2.3437500000e-01
v2_IIII482_A,sa1,1,1,1.5625000000e-02
v7_IIII432_A,sa1,2,1,5.8593750000e-03
v9_IIII403_A,sa1,1,1,9.7656250000e-04
v3_IIII328_A,sa1,1,1,3.9062500000e-03
v9_C39D_B,sa0,1,1,3.9062500000e-03
v8_IIII152_A,sa1,3,1,1.3671875000e-02
v9_IIII151_A,sa1,6,1,1.7578125000e-02
CLR_v13_D_2C_B,sa1,27,1,1.9238281250e-01
v6_IIII524_A,sa1,1,1,1.9531250000e-03
v7_IIII505_A,sa1,1,1,3.9062500000e-03
v9_IIII430_B,sa1,1,1,7.8125000000e-03
v0_IIII386_A,sa1,2,1,1.4648437500e-03
v9_C86D_A,sa0,2,1,9.7656250000e-03
v9_IIII305_A,sa1,1,1,1.5625000000e-02
v8_IIII234_A,sa1,6,1,1.1718750000e-02
v3_IIII194_A,sa1,6,1,3.4179687500e-03
v8_IIII171_A,sa1,5,1,9.7656250000e-03
v9_IIII133_B,sa1,4,1,7.0312500000e-02
CLR_v13_D_3C_B,sa1,22,1,1.8408203125e-01
v7_IIII514_B,sa1,1,1,7.8125000000e-03
v8_IIII450_B,sa1,1,1,4.8828125000e-04
v8_IIII406_A,sa1,2,1,1.1718750000e-02
v8_IIII352_A,sa1,2,1,3.1250000000e-02
v9_IIII215_B,sa1,11,1,2.6367187500e-02
v9_IIII116_B,sa1,14,1,6.0546875000e-02
CLR_v13_D_4C_B,sa1,21,1,1.9189453125e-01
v8_IIII505_B,sa1,1,1,3.9062500000e-03
v8_IIII470_A,sa1,2,1,1.4648437500e-03
v8_IIII362_A,sa1,1,1,3.1250000000e-02
v10_II329_C,sa1,2,1,5.8593750000e-03
v3_IIII294_B,sa1,2,1,7.8125000000e-03
v8_IIII262_B,sa1,5,1,2.2949218750e-02
v9_IIII243_B,sa1,2,1,4.6875000000e-02
v7_IIII237_A,sa1,8,1,5.8593750000e-02
v8_IIII209_A,sa1,6,1,6.6406250000e-02
v8_IIII191_A,sa1,1,1,3.9062500000e-03
v8_IIII137_A,sa1,3,1,4.6875000000e-02
v8_IIII128_A,sa1,4,1,1.9042968750e-02
CLR_v13_D_5C_B,sa1,19,1,1.5136718750e-01
v9_IIII533_A,sa1,1,1,7.8125000000e-03
v0_IIII479_A,sa1,1,1,7.8125000000e-03
v8_IIII236_B,sa1,3,1,1.9531250000e-02
v8_IIII227_B,sa1,3,1,6.2500000000e-02
v8_IIII119_B,sa1,4,1,1.0937500000e-01
v8_IIII109_C,sa1,5,1,1.5136718750e-02
v9_IIII506_B,sa1,2,1,9.7656250000e-03
v9_IIII461_B,sa1,1,1,3.1250000000e-02
v7_IIII275_A,sa1,1,1,1.5625000000e-02
v8_IIII273_B,sa1,3,1,4.6875000000e-02
v7_IIII266_A,sa1,1,1,1.5625000000e-02
v8_IIII183_B,sa1,3,1,4.6875000000e-02
v12_IIII98_B,sa1,8,1,2.6367187500e-02
v6_IIII457_A,sa1,1,1,1.9531250000e-03
v6_IIII439_A,sa1,2,1,7.8125000000e-03
v9_IIII409_A,sa1,1,1,1.5625000000e-02
v9_IIII256_A,sa1,4,1,1.5625000000e-02
v9_IIII229_A,sa1,1,1,7.8125000000e-03
v9_IIII219_B,sa1,14,1,3.2226562500e-02
v9_IIII175_A,sa1,4,1,5.4687500000e-02
v8_IIII167_A,sa1,3,1,1.9531250000e-02
v9_IIII156_B,sa1,4,1,5.3710937500e-03
v9_IIII148_A,sa1,2,1,7.8125000000e-03
v8_IIII554_B,sa1,2,1,1.1718750000e-02
v9_IIII518_A,sa1,1,1,7.8125000000e-03
v6_IIII485_A,sa1,1,1,3.9062500000e-03
v9_IIII436_B,sa1,1,1,7.8125000000e-03
v9_IIII427_B,sa1,1,1,7.8125000000e-03
v8_IIII365_B,sa1,1,1,7.8125000000e-03
v9_IIII329_A,sa1,5,1,1.9531250000e-02
v8_IIII275_B,sa1,1,1,1.5625000000e-02
v9_IIII239_A,sa1,1,1,1.5625000000e-02
v8_IIII186_A,sa1,2,1,2.9296875000e-03
v8_IIII538_A,sa1,5,1,1.0742187500e-02
v9_IIII456_A,sa1,5,1,1.4648437500e-02
v7_IIII377_A,sa1,1,1,7.8125000000e-03
v10_Av13_D_16B_C,sa1,2,1,1.1718750000e-02
v8_IIII475_B,sa1,1,1,1.9531250000e-03
v9_IIII447_B,sa1,1,1,7.8125000000e-03
v9_IIII366_B,sa1,2,1,2.9296875000e-03
v7_IIII197_B,sa1,7,1,5.4687500000e-02
v7_IIII189_A,sa1,3,1,1.0156250000e-01
v9_IIII287_A,sa1,2,1,1.1718750000e-02
v9_IIII276_C,sa1,3,1,9.7656250000e-03
v9_IIII179_A,sa1,1,1,7.8125000000e-03
v8_IIII559_A,sa1,2,1,2.3437500000e-02
v9_IIII495_A,sa1,6,1,5.8593750000e-03
v9_IIII476_B,sa1,2,1,2.9296875000e-03
v9_IIII468_A,sa1,1,1,4.8828125000e-04
v8_IIII386_C,sa1,2,1,1.4648437500e-03
v9_IIII369_A,sa1,1,1,7.8125000000e-03
v8_IIII389_A,sa1,1,1,1.5625000000e-02
v8_IIII498_A,sa1,2,1,1.1718750000e-02
v8_IIII399_A,sa1,2,1,3.1250000000e-02
