net_name,f_type,cube_cnt,complete,fdp
n1121gat,sa0,259,1,5.0000000000e-01
n1121gat,sa1,259,1,5.0000000000e-01
n2203gat,sa0,1,1,5.0000000000e-01
n1312gat,sa0,205,1,1.8450388312e-01
n1241gat,sa0,256,1,5.0000000000e-01
n2203gat,sa1,1,1,5.0000000000e-01
n1312gat,sa1,206,1,1.8450388312e-01
n1340gat,sa0,600,0,9.1299120337e-02
n1026gat,sa0,256,1,5.0000000000e-01
n1241gat,sa1,256,1,5.0000000000e-01
n1080gat,sa0,256,1,5.0000000000e-01
n1035gat,sa0,261,1,5.0000000000e-01
n2061gat,sa0,267,1,4.4412277731e-01
n2403gat,sa0,145,1,3.0950940028e-01
n1340gat,sa1,600,0,9.2557335272e-02
n1026gat,sa1,256,1,5.0000000000e-01
n1080gat,sa1,256,1,5.0000000000e-01
n1072gat,sa0,260,1,5.0000000000e-01
n1035gat,sa1,261,1,5.0000000000e-01
n1135gat,sa0,259,1,5.0000000000e-01
n1045gat,sa0,256,1,5.0000000000e-01
n2061gat,sa1,294,1,4.4412277731e-01
n2403gat,sa1,170,1,3.0950940028e-01
n2143gat,sa0,205,1,4.9865977230e-01
n2440gat,sa0,147,1,3.0844215944e-01
n2125gat,sa0,1,1,5.0000000000e-01
n2630gat,sa0,1,1,5.0000000000e-01
n1072gat,sa1,260,1,5.0000000000e-01
n1226gat,sa0,256,1,5.0000000000e-01
n1135gat,sa1,259,1,5.0000000000e-01
n1045gat,sa1,256,1,5.0000000000e-01
n2207gat,sa0,1,1,5.0000000000e-01
n2270gat,sa0,1,1,5.0000000000e-01
n2143gat,sa1,199,1,4.9865977230e-01
n2440gat,sa1,169,1,3.0844215944e-01
n1316gat,sa0,1,1,5.0000000000e-01
n2135gat,sa0,25,1,2.6985047385e-01
n2125gat,sa1,1,1,5.0000000000e-01
n2450gat,sa0,1,1,5.0000000000e-01
n2343gat,sa0,1,1,5.0000000000e-01
n2630gat,sa1,1,1,5.0000000000e-01
n1226gat,sa1,256,1,5.0000000000e-01
n2640gat,sa0,1,1,5.0000000000e-01
n2207gat,sa1,1,1,5.0000000000e-01
n2270gat,sa1,1,1,5.0000000000e-01
n2622gat,sa0,1,1,5.0000000000e-01
n1740gat,sa0,20,1,1.7872825265e-03
n2262gat,sa0,25,1,2.6985047385e-01
n2190gat,sa0,25,1,2.6985047385e-01
n1316gat,sa1,1,1,5.0000000000e-01
n2135gat,sa1,25,1,2.6985047385e-01
n2450gat,sa1,1,1,5.0000000000e-01
n3091gat,sa0,339,1,4.8468145542e-03
n2343gat,sa1,1,1,5.0000000000e-01
n2155gat,sa0,600,0,1.1624739823e-03
n1282gat,sa0,257,1,5.0000000000e-01
n2640gat,sa1,1,1,5.0000000000e-01
n2622gat,sa1,1,1,5.0000000000e-01
n2407gat,sa0,163,1,2.7357098646e-01
n1740gat,sa1,20,1,1.7872825265e-03
n2262gat,sa1,25,1,2.6985047385e-01
n2190gat,sa1,25,1,2.6985047385e-01
n1462gat,sa0,403,1,1.3913333416e-01
n3092gat,sa0,339,1,4.8468145542e-03
n1148gat,sa0,256,1,5.0000000000e-01
n2543gat,sa0,1,1,5.0000000000e-01
n2155gat,sa1,600,0,1.0957200977e-03
n1282gat,sa1,257,1,5.0000000000e-01
n2390gat,sa0,1,1,5.0000000000e-01
n1850gat,sa0,302,1,4.9866050273e-01
n2407gat,sa1,153,1,2.7357098646e-01
n1462gat,sa1,386,1,1.3913333416e-01
n1068gat,sa0,256,1,5.0000000000e-01
n1148gat,sa1,256,1,5.0000000000e-01
