net_name,f_type,cube_cnt,complete,fdp
Y_1,sa0,146,1,1.7089843750e-01
Y_1,sa1,150,1,1.7089843750e-01
Y_2,sa0,80,1,1.5527343750e-01
Y_3,sa0,46,1,1.4746093750e-01
Y_2,sa1,80,1,1.5527343750e-01
Y_4,sa0,28,1,1.4355468750e-01
Y_3,sa1,47,1,1.4746093750e-01
Y_4,sa1,28,1,1.4355468750e-01
Y_5,sa0,15,1,7.9589843750e-02
Y_6,sa0,9,1,7.8125000000e-02
Y_5,sa1,15,1,7.9589843750e-02
Y_7,sa0,5,1,7.7148437500e-02
Y_6,sa1,9,1,7.8125000000e-02
Y_8,sa0,3,1,7.6660156250e-02
Y_7,sa1,5,1,7.7148437500e-02
Y_8,sa1,3,1,7.6660156250e-02
Clear,sa0,8,1,2.6367187500e-01
Clear,sa1,8,1,2.6367187500e-01
X,sa0,13,1,4.3334960938e-01
X,sa1,13,1,4.3334960938e-01
C_0,sa1,313,1,1.2548828125e-01
C_1,sa1,1,1,6.2500000000e-02
C_2,sa1,1,1,3.1250000000e-02
C_3,sa1,1,1,1.5625000000e-02
C_4,sa1,1,1,7.8125000000e-03
C_5,sa1,1,1,3.9062500000e-03
C_6,sa1,1,1,1.9531250000e-03
C_7,sa1,1,1,9.7656250000e-04
C_8,sa1,1,1,4.8828125000e-04
Y_7_P_8_A,sa0,1,1,2.4414062500e-04
Y_3_II131_1_C,sa1,2,1,9.3750000000e-02
Y_2_II135_2_A,sa0,1,1,6.2500000000e-02
Y_3_II127_1_B,sa1,1,1,1.5625000000e-02
Clear_II113_A,sa0,4,1,2.3437500000e-01
Y_4_II127_2_C,sa1,3,1,1.0937500000e-01
X_II314_A,sa1,1,1,1.2500000000e-01
X_II350_A,sa1,7,1,1.2402343750e-01
Y_1_II92_B,sa1,5,1,4.5898437500e-02
Y_2_II92_A,sa1,5,1,4.5898437500e-02
Y_7_II283_1_C,sa1,2,1,1.1718750000e-02
Clear_II265_A,sa0,4,1,2.9296875000e-02
Y_6_II287_2_A,sa0,1,1,7.8125000000e-03
Y_3_II96_A,sa1,5,1,3.0273437500e-02
Y_7_II279_1_B,sa1,1,1,1.9531250000e-03
Y_8_II279_2_C,sa1,3,1,1.3671875000e-02
Y_1_II100_A,sa1,3,1,1.0937500000e-01
Y_1_II314_B,sa1,157,1,3.1494140625e-02
Y_3_II316_A,sa1,36,1,8.0566406250e-03
X_II508_1_A,sa1,1,1,2.5000000000e-01
Y_5_II252_A,sa1,3,1,1.3671875000e-02
Y_4_II317_A,sa1,20,1,4.1503906250e-03
Y_2_II347_A,sa0,6,1,1.5380859375e-02
Y_5_II406_B,sa0,3,1,1.7089843750e-03
Y_5_II244_B,sa1,2,1,6.4453125000e-02
Y_6_II244_A,sa1,2,1,6.4453125000e-02
Y_6_II374_A,sa1,5,1,1.2207031250e-03
Y_7_II248_A,sa1,1,1,6.2500000000e-02
II40,sa0,4,1,2.3437500000e-01
X_II40_A,sa1,,,2.3437500000e-01
II41,sa0,5,1,3.0273437500e-02
Y_4_II41_A,sa1,,,3.0273437500e-02
II508_1,sa0,313,1,1.2548828125e-01
X_II508_1_A,sa0,,,1.2548828125e-01
C_0,sa0,,,1.2548828125e-01
II41,sa1,5,1,3.0273437500e-02
Y_4_II41_A,sa0,,,3.0273437500e-02
II42,sa1,1,1,3.1250000000e-02
Y_3_II42_A,sa0,,,3.1250000000e-02
II43,sa0,3,1,1.0937500000e-01
Y_2_II43_A,sa1,,,1.0937500000e-01
II43,sa1,3,1,1.0937500000e-01
Y_2_II43_A,sa0,,,1.0937500000e-01
II44,sa1,1,1,1.2500000000e-01
Y_1_II44_A,sa0,,,1.2500000000e-01
II92,sa0,10,1,1.3769531250e-01
Y_2_II92_A,sa0,,,1.3769531250e-01
Y_1_II92_B,sa0,,,1.3769531250e-01
II92,sa1,5,1,4.5898437500e-02
II310,sa0,80,1,1.5869140625e-02
Y_2_II310_A,sa1,,,1.5869140625e-02
II311,sa1,5,1,7.5683593750e-03
Y_3_II311_A,sa0,,,7.5683593750e-03
II244,sa0,4,1,1.9335937500e-01
Y_6_II244_A,sa0,,,1.9335937500e-01
Y_5_II244_B,sa0,,,1.9335937500e-01
II244,sa1,2,1,6.4453125000e-02
II371,sa0,2,1,7.3242187500e-04
Y_7_II371_A,sa1,,,7.3242187500e-04
II370,sa1,2,1,7.3242187500e-04
Y_6_II370_A,sa0,,,7.3242187500e-04
II372,sa0,1,1,4.8828125000e-04
Y_8_II372_A,sa1,,,4.8828125000e-04
II193,sa0,1,1,6.2500000000e-02
Y_8_II193_A,sa1,,,6.2500000000e-02
II309,sa1,7,1,3.1005859375e-02
Y_1_II309_A,sa0,,,3.1005859375e-02
II193,sa1,1,1,6.2500000000e-02
Y_8_II193_A,sa0,,,6.2500000000e-02
II194,sa1,1,1,3.9062500000e-03
Y_7_II194_A,sa0,,,3.9062500000e-03
II195,sa0,3,1,1.3671875000e-02
Y_6_II195_A,sa1,,,1.3671875000e-02
II195,sa1,3,1,1.3671875000e-02
Y_6_II195_A,sa0,,,1.3671875000e-02
II196,sa1,1,1,1.5625000000e-02
Y_5_II196_A,sa0,,,1.5625000000e-02
II369,sa0,10,1,2.1972656250e-03
Y_5_II369_A,sa1,,,2.1972656250e-03
II368,sa1,4,1,3.6621093750e-03
Y_4_II368_A,sa0,,,3.6621093750e-03
P_1,sa1,158,1,2.8149414063e-01
II314,sa0,,,2.8149414063e-01
X_II314_A,sa0,,,2.8149414063e-01
Y_1_II314_B,sa0,,,2.8149414063e-01
II41_II1_1_A,sa0,4,1,2.9296875000e-02
II193_W_A,sa0,1,1,6.2500000000e-02
II41_II127_1_A,sa1,1,1,1.5625000000e-02
II43_II135_1_A,sa0,1,1,6.2500000000e-02
II92_II131_1_B,sa1,1,1,3.1250000000e-02
II195_II261_A,sa0,2,1,5.8593750000e-03
II113,sa0,4,1,2.3437500000e-01
II113,sa1,8,1,7.0312500000e-01
Clear_II113_A,sa1,,,7.0312500000e-01
II40,sa1,,,7.0312500000e-01
X_II40_A,sa0,,,7.0312500000e-01
II350,sa0,14,1,2.7905273438e-01
X_II350_A,sa0,,,2.7905273438e-01
II309,sa0,,,2.7905273438e-01
Y_1_II309_A,sa1,,,2.7905273438e-01
II350,sa1,7,1,6.2011718750e-02
II43_II109_A,sa0,2,1,4.6875000000e-02
II244_II283_1_B,sa1,1,1,3.9062500000e-03
II193_II279_1_A,sa1,1,1,1.9531250000e-03
II195_II287_1_A,sa0,1,1,7.8125000000e-03
II113_II100_B,sa1,6,1,3.2812500000e-01
II113_II104_B,sa1,2,1,3.7500000000e-01
II50,sa1,10,1,9.0820312500e-02
II92_II50_A,sa0,,,9.0820312500e-02
II508_2,sa0,1,1,6.2500000000e-02
P_1,sa0,,,6.2500000000e-02
II314,sa1,,,6.2500000000e-02
C_1,sa0,,,6.2500000000e-02
II350_II347_B,sa0,12,1,1.3842773438e-01
II350_P_2_B,sa0,2,1,1.4062500000e-01
II113_II131_1_A,sa1,4,1,2.8125000000e-01
II202,sa1,2,1,1.8750000000e-01
II244_II202_A,sa0,,,1.8750000000e-01
II113_II127_2_B,sa1,6,1,3.2812500000e-01
P_2,sa1,158,1,2.9711914063e-01
II310,sa1,,,2.9711914063e-01
Y_2_II310_A,sa0,,,2.9711914063e-01
II350_P_2_B,sa1,,,2.9711914063e-01
II131_1,sa0,2,1,9.3750000000e-02
II113_II131_1_A,sa0,,,9.3750000000e-02
II92_II131_1_B,sa0,,,9.3750000000e-02
Y_3_II131_1_C,sa0,,,9.3750000000e-02
II96,sa0,15,1,2.1191406250e-01
Y_3_II96_A,sa0,,,2.1191406250e-01
II50,sa0,,,2.1191406250e-01
II92_II50_A,sa1,,,2.1191406250e-01
II96,sa1,5,1,3.0273437500e-02
II100,sa0,9,1,7.6562500000e-01
Y_1_II100_A,sa0,,,7.6562500000e-01
II113_II100_B,sa0,,,7.6562500000e-01
II100,sa1,3,1,1.0937500000e-01
II104,sa0,3,1,8.7500000000e-01
II44,sa0,,,8.7500000000e-01
Y_1_II44_A,sa1,,,8.7500000000e-01
II113_II104_B,sa0,,,8.7500000000e-01
II104,sa1,1,1,1.2500000000e-01
II248,sa0,3,1,4.3750000000e-01
Y_7_II248_A,sa0,,,4.3750000000e-01
II202,sa0,,,4.3750000000e-01
II244_II202_A,sa1,,,4.3750000000e-01
II347,sa0,6,1,3.0761718750e-02
II248,sa1,1,1,6.2500000000e-02
II347,sa1,20,1,2.9223632813e-01
Y_2_II347_A,sa1,,,2.9223632813e-01
II350_II347_B,sa1,,,2.9223632813e-01
II500_2,sa0,1,1,3.1250000000e-02
P_2,sa0,,,3.1250000000e-02
C_2,sa0,,,3.1250000000e-02
II248_W_B,sa0,3,1,4.3750000000e-01
II100_II109_B,sa0,6,1,3.2812500000e-01
II96_II1_1_B,sa0,12,1,2.0507812500e-01
II96_II127_2_A,sa1,1,1,1.5625000000e-02
II347_II341_B,sa1,17,1,1.4379882813e-01
II347_II316_B,sa1,4,1,1.4843750000e-01
II100_II135_2_B,sa0,3,1,4.3750000000e-01
II104_II135_1_B,sa0,3,1,4.3750000000e-01
II489,sa0,161,1,2.5048828125e-01
II490,sa1,,,2.5048828125e-01
II508_1,sa1,,,2.5048828125e-01
II508_2,sa1,,,2.5048828125e-01
II248_II279_2_A,sa1,1,1,1.9531250000e-03
II135_1,sa1,1,1,6.2500000000e-02
II43_II135_1_A,sa1,,,6.2500000000e-02
II104_II135_1_B,sa1,,,6.2500000000e-02
II127_2,sa0,3,1,1.0937500000e-01
II96_II127_2_A,sa0,,,1.0937500000e-01
II113_II127_2_B,sa0,,,1.0937500000e-01
Y_4_II127_2_C,sa0,,,1.0937500000e-01
II135_2,sa1,1,1,6.2500000000e-02
Y_2_II135_2_A,sa1,,,6.2500000000e-02
II100_II135_2_B,sa1,,,6.2500000000e-02
W,sa0,1,1,6.2500000000e-02
W,sa1,4,1,9.3750000000e-01
II193_W_A,sa1,,,9.3750000000e-01
II248_W_B,sa1,,,9.3750000000e-01
II341,sa0,26,1,2.9516601563e-01
II311,sa0,,,2.9516601563e-01
Y_3_II311_A,sa1,,,2.9516601563e-01
II347_II341_B,sa0,,,2.9516601563e-01
II341,sa1,5,1,1.5136718750e-02
II6,sa0,1,1,1.2500000000e-01
II104_II6_A,sa1,,,1.2500000000e-01
II109,sa0,2,1,4.6875000000e-02
II6,sa1,3,1,8.7500000000e-01
II104_II6_A,sa0,,,8.7500000000e-01
II109,sa1,8,1,7.0312500000e-01
II43_II109_A,sa1,,,7.0312500000e-01
II100_II109_B,sa1,,,7.0312500000e-01
P_3,sa1,161,1,3.0493164063e-01
II316,sa0,,,3.0493164063e-01
Y_3_II316_A,sa0,,,3.0493164063e-01
II347_II316_B,sa0,,,3.0493164063e-01
II109_II131_2_B,sa1,4,1,4.6875000000e-01
II5,sa0,2,1,1.2500000000e-01
II135_1,sa0,,,1.2500000000e-01
II135_2,sa0,,,1.2500000000e-01
II5,sa1,4,1,8.7500000000e-01
II109_II127_1_C,sa1,4,1,2.3437500000e-01
II192,sa0,16,1,4.3945312500e-01
II1_1,sa1,,,4.3945312500e-01
II41_II1_1_A,sa1,,,4.3945312500e-01
II96_II1_1_B,sa1,,,4.3945312500e-01
II131_2,sa0,1,1,3.1250000000e-02
II42,sa0,,,3.1250000000e-02
Y_3_II42_A,sa1,,,3.1250000000e-02
II109_II131_2_B,sa0,,,3.1250000000e-02
II504_1,sa0,1,1,1.5625000000e-02
P_3,sa0,,,1.5625000000e-02
II316,sa1,,,1.5625000000e-02
C_3,sa0,,,1.5625000000e-02
II127_1,sa0,1,1,1.5625000000e-02
II41_II127_1_A,sa0,,,1.5625000000e-02
Y_3_II127_1_B,sa0,,,1.5625000000e-02
II109_II127_1_C,sa0,,,1.5625000000e-02
II307_1,sa1,21,1,1.4282226563e-01
II341_II307_1_A,sa0,,,1.4282226563e-01
II318,sa1,8,1,1.5234375000e-01
II341_II318_A,sa0,,,1.5234375000e-01
II265,sa0,4,1,2.9296875000e-02
II265,sa1,20,1,9.0820312500e-01
Clear_II265_A,sa1,,,9.0820312500e-01
II192,sa1,,,9.0820312500e-01
II1_1,sa0,,,9.0820312500e-01
II265_II252_B,sa1,15,1,4.2382812500e-01
II265_II256_B,sa1,5,1,4.8437500000e-01
II409,sa0,34,1,2.8930664063e-01
II368,sa0,,,2.8930664063e-01
Y_4_II368_A,sa1,,,2.8930664063e-01
II307_1,sa0,,,2.8930664063e-01
II341_II307_1_A,sa1,,,2.8930664063e-01
II409,sa1,4,1,7.3242187500e-03
II265_II283_1_A,sa1,10,1,3.6328125000e-01
II265_II279_2_B,sa1,15,1,4.2382812500e-01
P_4,sa1,161,1,3.0883789063e-01
II317,sa0,,,3.0883789063e-01
Y_4_II317_A,sa0,,,3.0883789063e-01
II318,sa0,,,3.0883789063e-01
II341_II318_A,sa1,,,3.0883789063e-01
II283_1,sa0,2,1,1.1718750000e-02
II265_II283_1_A,sa0,,,1.1718750000e-02
II244_II283_1_B,sa0,,,1.1718750000e-02
Y_7_II283_1_C,sa0,,,1.1718750000e-02
II279_2,sa0,3,1,1.3671875000e-02
II248_II279_2_A,sa0,,,1.3671875000e-02
II265_II279_2_B,sa0,,,1.3671875000e-02
Y_8_II279_2_C,sa0,,,1.3671875000e-02
II409_II406_A,sa0,26,1,1.3500976563e-01
