net_name,f_type,cube_cnt,complete,fdp
G10,sa0,7,1,3.7500000000e-01
G10,sa1,7,1,3.7500000000e-01
G20,sa0,1,1,5.0000000000e-01
G11,sa0,8,1,2.9687500000e-01
G21,sa0,1,1,5.0000000000e-01
G20,sa1,1,1,5.0000000000e-01
G12,sa0,17,1,3.1201171875e-01
G11,sa1,8,1,2.9687500000e-01
G21,sa1,1,1,5.0000000000e-01
G22,sa0,4,1,2.6562500000e-01
G13,sa0,23,1,3.5107421875e-01
G12,sa1,19,1,3.1201171875e-01
G22,sa1,4,1,2.6562500000e-01
G23,sa0,2,1,2.5000000000e-01
G13,sa1,24,1,3.5107421875e-01
G14,sa0,39,1,3.7365722656e-01
G23,sa1,2,1,2.5000000000e-01
G14,sa1,37,1,3.7365722656e-01
G16,sa0,1,1,5.0000000000e-01
G16,sa1,1,1,5.0000000000e-01
G17,sa0,1,1,5.0000000000e-01
G18,sa0,1,1,5.0000000000e-01
G17,sa1,1,1,5.0000000000e-01
G18,sa1,1,1,5.0000000000e-01
G19,sa0,1,1,5.0000000000e-01
G19,sa1,1,1,5.0000000000e-01
G10_G111_A,sa1,6,1,2.5000000000e-01
G12_G100_C,sa1,1,1,1.5625000000e-02
G14_G100_B,sa1,1,1,3.1250000000e-02
G22_G123_B,sa1,1,1,1.2500000000e-01
G14_G115_B,sa1,1,1,1.5625000000e-02
G14_G109_D,sa1,10,1,1.2500000000e-01
G23_G129_B,sa1,1,1,1.2500000000e-01
G64,sa0,53,1,4.5947265625e-01
G15,sa1,,,4.5947265625e-01
G64,sa1,51,1,4.5947265625e-01
G15,sa0,,,4.5947265625e-01
G10_G31_A,sa1,1,1,3.1250000000e-02
G10_G32_A,sa1,1,1,1.2500000000e-01
G11_G32_B,sa1,2,1,9.3750000000e-02
G10_G41_C,sa1,1,1,3.1250000000e-02
G11_G41_B,sa1,1,1,3.1250000000e-02
G12_G41_A,sa1,1,1,3.1250000000e-02
G10_G35_A,sa1,1,1,6.2500000000e-02
G11_G25_B,sa0,1,1,3.1250000000e-02
G11_G80_A,sa0,1,1,3.1250000000e-02
G13_G31_C,sa1,1,1,3.1250000000e-02
G10_G29_A,sa0,1,1,2.5000000000e-01
G11_G35_B,sa1,1,1,6.2500000000e-02
G10_G52_D,sa1,1,1,7.8125000000e-03
G13_G52_A,sa1,1,1,7.8125000000e-03
G14_G61_A,sa0,18,1,3.1005859375e-02
G11_G62_B,sa1,1,1,1.5625000000e-02
G12_G25_C,sa0,1,1,3.1250000000e-02
G12_G71_B,sa0,2,1,1.5625000000e-02
G20_G72_B,sa0,2,1,6.2500000000e-02
G12_G81_A,sa0,2,1,6.2500000000e-02
G14_G70_B,sa0,2,1,6.2500000000e-02
G20_G73_B,sa0,2,1,6.2500000000e-02
G11_G83_A,sa0,1,1,3.1250000000e-02
G12_G35_C,sa1,1,1,6.2500000000e-02
G13_G71_C,sa0,2,1,1.5625000000e-02
G14_G80_B,sa0,2,1,4.6875000000e-02
G13_G81_B,sa0,1,1,3.1250000000e-02
G12_G74_A,sa1,2,1,1.5625000000e-02
G12_G83_B,sa0,1,1,1.5625000000e-02
G10_G48_C,sa1,1,1,7.8125000000e-03
G11_G57_B,sa1,1,1,7.8125000000e-03
G11_G68_A,sa0,1,1,3.1250000000e-02
G13_G83_C,sa0,1,1,1.5625000000e-02
G22_G65_C,sa1,2,1,1.5625000000e-02
G14_G74_B,sa1,2,1,3.1250000000e-02
G12_G68_B,sa0,1,1,1.5625000000e-02
G13_G94_B,sa1,2,1,6.2500000000e-02
G14_G84_C,sa0,1,1,3.1250000000e-02
G14_G75_C,sa1,2,1,3.1250000000e-02
G13_G95_B,sa1,2,1,9.3750000000e-02
G13_G68_C,sa0,1,1,1.5625000000e-02
G14_G88_A,sa1,4,1,6.2500000000e-02
G14_G79_B,sa0,1,1,6.2500000000e-02
G17_G85_C,sa0,2,1,6.2500000000e-02
G19_G74_C,sa1,2,1,3.1250000000e-02
G18_G69_B,sa0,1,1,6.2500000000e-02
G19_G77_D,sa0,3,1,6.2500000000e-02
G131,sa1,2,1,2.5000000000e-01
II232,sa0,,,2.5000000000e-01
G1,sa1,,,2.5000000000e-01
G114,sa1,2,1,9.3750000000e-02
G21_G114_A,sa0,,,9.3750000000e-02
G124,sa0,2,1,2.5000000000e-01
II221,sa1,,,2.5000000000e-01
