net_name,f_type,cube_cnt,complete,fdp
v0,sa0,9,1,8.3984375000e-02
v1,sa0,5,1,5.5664062500e-02
v0,sa1,9,1,8.3984375000e-02
v2,sa0,2,1,2.9296875000e-03
v1,sa1,5,1,5.5664062500e-02
v2,sa1,2,1,2.9296875000e-03
v3,sa0,5,1,3.9062500000e-03
v4,sa0,7,1,5.8593750000e-03
v3,sa1,5,1,3.9062500000e-03
v4,sa1,7,1,5.8593750000e-03
v5,sa0,2,1,3.9062500000e-03
v5,sa1,2,1,3.9062500000e-03
v7,sa0,20,1,1.0742187500e-01
v8,sa0,21,1,1.0839843750e-01
v7,sa1,19,1,1.0742187500e-01
v9,sa0,8,1,3.2226562500e-02
v8,sa1,22,1,1.0839843750e-01
v9,sa1,9,1,3.2226562500e-02
v10,sa0,11,1,3.6132812500e-02
v11,sa0,17,1,5.5664062500e-02
v10,sa1,11,1,3.6132812500e-02
v12,sa0,28,1,1.3671875000e-01
v11,sa1,14,1,5.5664062500e-02
v12,sa1,26,1,1.3671875000e-01
v3_II104_B,sa1,1,1,9.7656250000e-04
v1_II124_B,sa1,2,1,9.7656250000e-03
v8_IIII40_B,sa1,4,1,2.9296875000e-03
v0_IIII77_A,sa1,2,1,7.8125000000e-03
v0_II164_B,sa1,3,1,1.3671875000e-02
v10_II65_B,sa1,1,1,3.9062500000e-03
v0_II175_A,sa1,1,1,7.8125000000e-03
v0_II192_B,sa1,6,1,1.1718750000e-02
v1_IIII96_A,sa1,2,1,1.9531250000e-02
v4_IIII66_A,sa1,1,1,9.7656250000e-04
v0_II148_B,sa1,2,1,5.8593750000e-03
v5_II171_A,sa1,1,1,1.9531250000e-03
v0_IIII98_A,sa1,1,1,1.9531250000e-03
v8_II104_C,sa1,1,1,9.7656250000e-04
v5_IIII39_A,sa1,3,1,1.9531250000e-03
v0_II167_B,sa1,3,1,8.7890625000e-03
v4_IIII76_B,sa1,2,1,1.9531250000e-03
v7_IIII74_A,sa1,1,1,3.9062500000e-03
v0_II186_B,sa1,4,1,2.0507812500e-02
v0_II195_B,sa1,7,1,1.6601562500e-02
v7_IIII66_B,sa1,2,1,2.4414062500e-03
v7_IIII39_B,sa1,2,1,1.9531250000e-03
v10_II98_B,sa1,1,1,3.9062500000e-03
v7_IIII69_A,sa1,2,1,9.7656250000e-04
v5_IIII98_B,sa1,1,1,1.9531250000e-03
v8_IIII59_B,sa1,2,1,5.8593750000e-03
v9_IIII87_B,sa1,2,1,3.9062500000e-03
v2_B35B_A,sa0,2,1,2.9296875000e-03
v3_B34B_B,sa0,3,1,3.9062500000e-03
v7_B30B_B,sa0,5,1,1.2695312500e-02
v2_IIII100_A,sa1,1,1,9.7656250000e-04
v11_IIII30_A,sa1,1,1,1.9531250000e-03
v7_B17B_A,sa0,5,1,1.9531250000e-03
v7_B35B_B,sa0,4,1,2.4414062500e-03
v12_IIII30_B,sa1,1,1,1.9531250000e-03
v2_IIII105_A,sa1,1,1,1.9531250000e-03
v10_IIII28_A,sa1,1,1,3.9062500000e-03
v8_IIII103_A,sa1,4,1,3.9062500000e-03
v11_IIII56_A,sa1,1,1,3.9062500000e-03
v10_IIII94_A,sa1,1,1,1.9531250000e-03
v11_IIII84_B,sa1,3,1,3.9062500000e-03
v11_IIII74_C,sa1,1,1,3.9062500000e-03
v11_IIII48_B,sa1,4,1,1.0742187500e-02
v7_IIII108_A,sa1,1,1,3.9062500000e-03
v12_IIII84_C,sa1,3,1,3.9062500000e-03
v10_IIII77_C,sa1,2,1,7.8125000000e-03
v11_IIII39_D,sa1,2,1,9.7656250000e-04
v9_Lv13_D_10_A,sa1,2,1,9.7656250000e-03
v5_II64_B,sa1,1,1,3.9062500000e-03
v0_II97_A,sa1,1,1,3.9062500000e-03
v6bar,sa1,1,1,3.9062500000e-03
v6,sa0,,,3.9062500000e-03
v9_II65_A,sa1,1,1,3.9062500000e-03
v11_IIII103_B,sa1,5,1,2.9296875000e-03
v12_IIII102_C,sa1,6,1,2.9296875000e-03
v11_IIII106_C,sa1,1,1,1.9531250000e-03
v1_IIII60_A,sa1,7,1,3.3203125000e-02
v3_IIII40_A,sa1,4,1,1.9531250000e-03
v11_IIII108_B,sa1,2,1,2.9296875000e-03
v1_IIII24_B,sa1,3,1,5.0781250000e-02
v12_IIII106_D,sa1,1,1,1.9531250000e-03
v2_II104_A,sa1,1,1,9.7656250000e-04
v4_IIII41_A,sa1,6,1,3.9062500000e-03
v0_IIII91_A,sa1,2,1,5.8593750000e-03
v1_IIII53_B,sa1,2,1,3.5156250000e-02
v10bar,sa0,24,1,1.8750000000e-01
v10_v10bar_A,sa1,,,1.8750000000e-01
v11bar,sa0,16,1,5.2734375000e-02
v11_v11bar_A,sa1,,,5.2734375000e-02
v10bar,sa1,25,1,1.8359375000e-01
v10_v10bar_A,sa0,,,1.8359375000e-01
v11bar,sa1,16,1,5.2734375000e-02
v11_v11bar_A,sa0,,,5.2734375000e-02
