circuit,config,status,rc,n_faults,n_enum,total_cubes,cube_reduction_pct,incomplete,wall,cpu,t_testgen,t_bdd,t_xid,t_read,overhead,fdp_mismatch
c17a,baseline,ok,0,36,22,74,,0,0.013,0.005,0.0,0.001,0.0,0.0,0.004,0
c17a,maxdc,ok,0,36,22,62,16.2,0,0.009,0.007,0.0,0.001,0.0,0.0,0.006,0
c17a,maxham,ok,0,36,22,69,6.8,0,0.008,0.005,0.0,0.001,0.0,0.0,0.004,0
c17a,maxdc_maxham,ok,0,36,22,62,16.2,0,0.009,0.006,0.0,0.001,0.0,0.0,0.005,0
s208_C,baseline,ok,0,416,215,18430,,0,0.417,0.459,0.215,0.085,0.109,0.0,0.05,0
s208_C,maxdc,ok,0,416,215,4507,75.5,0,0.575,0.614,0.051,0.037,0.035,0.0,0.491,0
s208_C,maxham,ok,0,416,215,10392,43.6,0,3.922,4.133,3.417,0.059,0.3,0.0,0.357,0
s208_C,maxdc_maxham,ok,0,416,215,2947,84.0,0,0.596,0.625,0.204,0.026,0.037,0.0,0.358,0
s27_C,baseline,ok,0,52,32,122,,0,0.008,0.006,0.0,0.001,0.0,0.0,0.005,0
s27_C,maxdc,ok,0,52,32,107,12.3,0,0.01,0.008,0.0,0.001,0.0,0.0,0.007,0
s27_C,maxham,ok,0,52,32,127,-4.1,0,0.008,0.006,0.001,0.001,0.0,0.0,0.004,0
s27_C,maxdc_maxham,ok,0,52,32,107,12.3,0,0.011,0.009,0.001,0.001,0.0,0.0,0.007,0
s298_C,baseline,ok,0,596,308,1849,,0,0.152,0.155,0.073,0.011,0.022,0.0,0.049,0
s298_C,maxdc,ok,0,596,308,1154,37.6,0,0.225,0.234,0.042,0.008,0.014,0.0,0.17,6
s298_C,maxham,ok,0,596,308,1763,4.7,0,0.182,0.188,0.098,0.012,0.023,0.0,0.055,3
s298_C,maxdc_maxham,ok,0,596,308,1129,38.9,0,0.239,0.248,0.051,0.009,0.015,0.0,0.173,10
s386_C,baseline,ok,0,772,384,2679,,0,0.265,0.274,0.153,0.014,0.037,0.0,0.07,0
s386_C,maxdc,ok,0,772,384,1438,46.3,0,0.401,0.419,0.066,0.014,0.022,0.0,0.317,6
s386_C,maxham,ok,0,772,384,2643,1.3,0,0.337,0.352,0.216,0.014,0.042,0.0,0.08,2
s386_C,maxdc_maxham,ok,0,772,384,1415,47.2,0,0.43,0.45,0.09,0.014,0.022,0.0,0.324,6
s444_C,baseline,ok,0,888,474,5490,,0,0.4,0.417,0.227,0.02,0.067,0.001,0.102,0
s444_C,maxdc,ok,0,888,474,2599,52.7,0,0.542,0.568,0.08,0.017,0.036,0.0,0.435,2
s444_C,maxham,ok,0,888,474,5321,3.1,0,0.615,0.644,0.417,0.024,0.08,0.001,0.122,7
s444_C,maxdc_maxham,ok,0,888,474,2624,52.2,0,0.601,0.629,0.127,0.018,0.038,0.0,0.446,13
s510_C,baseline,ok,0,1020,564,8097,,0,0.686,0.72,0.323,0.034,0.225,0.001,0.137,0
s510_C,maxdc,ok,0,1020,564,3453,57.4,0,1.067,1.123,0.171,0.026,0.104,0.0,0.822,45
s510_C,maxham,ok,0,1020,564,7318,9.6,0,1.044,1.092,0.661,0.036,0.231,0.001,0.163,11
s510_C,maxdc_maxham,ok,0,1020,564,3498,56.8,0,1.223,1.264,0.272,0.028,0.109,0.001,0.854,44
s5378_C,baseline,ok,0,10538,4551,108098,,3085,57.869,57.129,37.869,1.354,8.637,0.004,9.265,0
s5378_C,maxdc,ok,0,10538,4551,75524,30.1,1928,135.741,135.395,27.399,1.347,6.72,0.003,99.926,7231
s5378_C,maxham,ok,0,10538,4551,107634,0.4,3058,46.291,47.52,27.751,1.209,8.774,0.004,9.782,5182
s5378_C,maxdc_maxham,ok,0,10538,4551,75589,30.1,1934,134.121,133.775,22.571,1.165,7.041,0.003,102.995,7313
s641_C,baseline,ok,0,1274,463,39969,,0,4.904,5.127,3.989,0.297,0.613,0.0,0.228,0
s641_C,maxdc,ok,0,1274,463,20224,49.4,0,9.916,7.496,2.18,0.198,0.354,0.0,4.764,18
s641_C,maxham,ok,0,1274,463,42304,-5.8,0,73.489,74.096,67.246,0.401,2.779,0.0,3.67,20
s641_C,maxdc_maxham,ok,0,1274,463,20463,48.8,0,11.638,12.833,6.933,0.201,0.522,0.0,5.177,17
s713_C,baseline,ok,0,1426,581,39832,,0,5.917,6.271,5.01,0.294,0.691,0.0,0.276,0
s713_C,maxdc,ok,0,1426,581,24935,37.4,0,11.963,9.991,3.261,0.211,0.477,0.0,6.042,26
s713_C,maxham,ok,0,1426,581,42799,-7.4,0,47.454,48.458,43.699,0.408,2.076,0.0,2.275,24
s713_C,maxdc_maxham,ok,0,1426,581,25132,36.9,0,14.534,15.524,8.115,0.235,0.659,0.0,6.515,24
