net_name,f_type,cube_cnt,complete,fdp
n1121gat,sa0,30,0,2.7636718750e-01
n1121gat,sa1,30,0,2.7636718750e-01
n2203gat,sa0,1,1,5.0000000000e-01
n1312gat,sa0,30,0,1.2071847171e-01
n1241gat,sa0,30,0,5.8593750000e-02
n2203gat,sa1,1,1,5.0000000000e-01
n1312gat,sa1,30,0,1.2071847171e-01
n1340gat,sa0,30,0,8.5085153580e-02
n1026gat,sa0,30,0,5.8593750000e-02
n1241gat,sa1,30,0,5.8593750000e-02
n1080gat,sa0,30,0,5.8593750000e-02
n1035gat,sa0,30,0,2.7441406250e-01
n2061gat,sa0,30,0,4.2391976556e-01
n2403gat,sa0,30,0,3.0132836103e-01
n1340gat,sa1,30,0,8.4910511971e-02
n1026gat,sa1,30,0,5.8593750000e-02
n1080gat,sa1,30,0,5.8593750000e-02
n1072gat,sa0,30,0,2.7539062500e-01
n1035gat,sa1,30,0,2.7441406250e-01
n1135gat,sa0,30,0,2.7636718750e-01
n1045gat,sa0,30,0,5.8593750000e-02
n2061gat,sa1,30,0,4.2039489746e-01
n2403gat,sa1,30,0,2.3880121484e-01
n2143gat,sa0,30,0,3.8754272461e-01
n2440gat,sa0,30,0,2.9688540101e-01
n2125gat,sa0,1,1,5.0000000000e-01
n2630gat,sa0,1,1,5.0000000000e-01
n1072gat,sa1,30,0,2.7539062500e-01
n1226gat,sa0,30,0,5.8593750000e-02
n1135gat,sa1,30,0,2.7636718750e-01
n1045gat,sa1,30,0,5.8593750000e-02
n2207gat,sa0,1,1,5.0000000000e-01
n2270gat,sa0,1,1,5.0000000000e-01
n2143gat,sa1,30,0,3.8754272461e-01
n2440gat,sa1,30,0,2.9794493318e-01
n1316gat,sa0,1,1,5.0000000000e-01
n2135gat,sa0,25,1,2.6985047385e-01
n2125gat,sa1,1,1,5.0000000000e-01
n2450gat,sa0,1,1,5.0000000000e-01
n2343gat,sa0,1,1,5.0000000000e-01
n2630gat,sa1,1,1,5.0000000000e-01
n1226gat,sa1,30,0,5.8593750000e-02
n2640gat,sa0,1,1,5.0000000000e-01
n2207gat,sa1,1,1,5.0000000000e-01
n2270gat,sa1,1,1,5.0000000000e-01
n2622gat,sa0,1,1,5.0000000000e-01
n1740gat,sa0,20,1,1.7872825265e-03
n2262gat,sa0,25,1,2.6985047385e-01
n2190gat,sa0,25,1,2.6985047385e-01
n1316gat,sa1,1,1,5.0000000000e-01
n2135gat,sa1,25,1,2.6985047385e-01
n2450gat,sa1,1,1,5.0000000000e-01
n3091gat,sa0,30,0,2.6708394289e-03
n2343gat,sa1,1,1,5.0000000000e-01
n2155gat,sa0,30,0,3.0517578125e-04
n1282gat,sa0,30,0,1.6748046875e-01
n2640gat,sa1,1,1,5.0000000000e-01
n2622gat,sa1,1,1,5.0000000000e-01
n2407gat,sa0,30,0,2.1285972372e-01
n1740gat,sa1,20,1,1.7872825265e-03
n2262gat,sa1,25,1,2.6985047385e-01
n2190gat,sa1,25,1,2.6985047385e-01
n1462gat,sa0,30,0,7.1739196777e-02
n3092gat,sa0,30,0,2.6708394289e-03
n1148gat,sa0,30,0,5.8593750000e-02
n2543gat,sa0,1,1,5.0000000000e-01
n2155gat,sa1,30,0,2.7147462242e-04
n1282gat,sa1,30,0,1.6748046875e-01
n2390gat,sa0,1,1,5.0000000000e-01
n1850gat,sa0,30,0,4.4805133343e-01
n2407gat,sa1,30,0,2.2157630138e-01
n1462gat,sa1,30,0,6.7658424377e-02
n1068gat,sa0,30,0,5.8593750000e-02
n1148gat,sa1,30,0,5.8593750000e-02
n2490gat,sa0,1,1,5.0000000000e-01
n2543gat,sa1,1,1,5.0000000000e-01
n2562gat,sa0,1,1,5.0000000000e-01
n2390gat,sa1,1,1,5.0000000000e-01
n2634gat,sa0,1,1,5.0000000000e-01
n2139gat,sa0,30,0,4.6105372906e-01
n1850gat,sa1,30,0,4.4805133343e-01
n1068gat,sa1,30,0,5.8593750000e-02
n1294gat,sa0,30,0,5.8593750000e-02
n2490gat,sa1,1,1,5.0000000000e-01
n2626gat,sa0,1,1,5.0000000000e-01
n2562gat,sa1,1,1,5.0000000000e-01
n2634gat,sa1,1,1,5.0000000000e-01
n2139gat,sa1,30,0,4.6251857281e-01
n2347gat,sa0,30,0,1.8804240227e-01
n2266gat,sa0,12,1,3.9672851563e-02
n2644gat,sa0,30,0,3.2512664795e-02
n1294gat,sa1,30,0,5.8593750000e-02
n2626gat,sa1,1,1,5.0000000000e-01
n2339gat,sa0,1,1,5.0000000000e-01
n1880gat,sa0,30,0,3.5888463565e-01
n2347gat,sa1,30,0,2.4732744694e-01
n1394gat,sa0,1,1,5.0000000000e-01
n2266gat,sa1,12,1,3.9672851563e-02
n2644gat,sa1,30,0,3.2512664795e-02
n1871gat,sa0,1,1,5.0000000000e-01
n1197gat,sa0,30,0,5.8593750000e-02
n2339gat,sa1,1,1,5.0000000000e-01
n1880gat,sa1,30,0,3.5893793612e-01
n2394gat,sa0,30,0,3.0102895293e-01
n2592gat,sa0,1,1,5.0000000000e-01
n1394gat,sa1,1,1,5.0000000000e-01
n2169gat,sa0,30,0,1.1612717935e-01
n1871gat,sa1,1,1,5.0000000000e-01
n1197gat,sa1,30,0,5.8593750000e-02
n2394gat,sa1,30,0,3.0021071434e-01
n2592gat,sa1,1,1,5.0000000000e-01
n2169gat,sa1,30,0,1.1612717935e-01
n1298gat,sa0,30,0,5.8593750000e-02
n2495gat,sa0,1,1,5.0000000000e-01
n1775gat,sa0,1,1,5.0000000000e-01
n1298gat,sa1,30,0,5.8593750000e-02
n2495gat,sa1,1,1,5.0000000000e-01
n1775gat,sa1,1,1,5.0000000000e-01
n1596gat,sa0,30,0,3.4912109375e-02
n1975gat,sa0,30,0,3.3002853394e-02
n1596gat,sa1,30,0,3.4912109375e-02
n2399gat,sa0,1,1,5.0000000000e-01
n1975gat,sa1,30,0,3.3002853394e-02
n2399gat,sa1,1,1,5.0000000000e-01
n1899gat,sa0,30,0,4.3864414620e-01
n1899gat,sa1,30,0,4.3790429697e-01
n402gat,sa0,30,0,5.8593750000e-02
n160gat,sa0,30,0,5.8593750000e-02
n402gat,sa1,30,0,5.8593750000e-02
n322gat,sa0,30,0,5.8593750000e-02
n331gat,sa0,30,0,2.2601318359e-01
n160gat,sa1,30,0,5.8593750000e-02
n341gat,sa0,30,0,5.8593750000e-02
n314gat,sa0,30,0,5.8593750000e-02
n322gat,sa1,30,0,5.8593750000e-02
n152gat,sa0,30,0,3.7805175781e-01
n331gat,sa1,30,0,2.2601318359e-01
n341gat,sa1,30,0,5.8593750000e-02
n314gat,sa1,30,0,5.8593750000e-02
n152gat,sa1,30,0,3.7805175781e-01
n703gat,sa0,30,0,1.5527343750e-01
n271gat,sa0,30,0,2.7832031250e-01
n622gat,sa0,30,0,5.8593750000e-02
n820gat,sa0,1,1,5.0000000000e-01
n722gat,sa0,30,0,1.4453125000e-01
n703gat,sa1,30,0,2.0703125000e-01
n271gat,sa1,30,0,2.7832031250e-01
n622gat,sa1,30,0,5.8593750000e-02
n830gat,sa0,1,1,5.0000000000e-01
n614gat,sa0,1,1,5.0000000000e-01
n820gat,sa1,1,1,5.0000000000e-01
n470gat,sa0,30,0,2.5253295898e-01
n722gat,sa1,30,0,1.2500000000e-01
n165gat,sa0,30,0,5.8593750000e-02
n830gat,sa1,1,1,5.0000000000e-01
n614gat,sa1,1,1,5.0000000000e-01
n561gat,sa0,30,0,5.8593750000e-02
n318gat,sa0,30,0,5.8593750000e-02
n156gat,sa0,30,0,3.8684082031e-01
n327gat,sa0,30,0,2.2601318359e-01
n470gat,sa1,30,0,2.5253295898e-01
n337gat,sa0,30,0,5.8593750000e-02
n165gat,sa1,30,0,5.8593750000e-02
n283gat,sa0,30,0,5.8593750000e-02
n580gat,sa0,30,0,5.8593750000e-02
n931gat,sa0,30,0,1.6748046875e-01
n553gat,sa0,30,0,5.8593750000e-02
n561gat,sa1,30,0,5.8593750000e-02
n318gat,sa1,30,0,5.8593750000e-02
n156gat,sa1,30,0,3.8684082031e-01
n463gat,sa0,30,0,1.1300659180e-01
n327gat,sa1,30,0,2.2601318359e-01
n256gat,sa0,30,0,3.7219238281e-01
n148gat,sa0,30,0,2.4133300781e-01
n337gat,sa1,30,0,5.8593750000e-02
n842gat,sa0,30,0,5.8593750000e-02
n283gat,sa1,30,0,5.8593750000e-02
n275gat,sa0,30,0,5.8593750000e-02
n491gat,sa0,30,0,5.8593750000e-02
n626gat,sa0,30,0,5.8593750000e-02
n707gat,sa0,1,1,5.0000000000e-01
n580gat,sa1,30,0,5.8593750000e-02
n680gat,sa0,30,0,5.8593750000e-02
n824gat,sa0,1,1,5.0000000000e-01
n931gat,sa1,30,0,1.6748046875e-01
n553gat,sa1,30,0,5.8593750000e-02
n463gat,sa1,30,0,1.1300659180e-01
n256gat,sa1,30,0,3.7219238281e-01
n148gat,sa1,30,0,2.4133300781e-01
n842gat,sa1,30,0,5.8593750000e-02
n726gat,sa0,30,0,1.7382812500e-01
n275gat,sa1,30,0,5.8593750000e-02
n861gat,sa0,30,0,5.8593750000e-02
n618gat,sa0,30,0,5.8593750000e-02
n491gat,sa1,30,0,5.8593750000e-02
n626gat,sa1,30,0,5.8593750000e-02
n834gat,sa0,1,1,5.0000000000e-01
n707gat,sa1,1,1,5.0000000000e-01
n816gat,sa0,30,0,5.8593750000e-02
n680gat,sa1,30,0,5.8593750000e-02
n824gat,sa1,1,1,5.0000000000e-01
n366gat,sa0,30,0,5.8593750000e-02
