net_name,f_type,cube_cnt,complete,fdp
g102,sa0,30,0,9.3602657318e-02
g111,sa0,24,1,4.6875000000e-01
g310,sa0,30,0,1.2259674218e-01
g102,sa1,30,0,3.2778930664e-01
g301,sa0,30,0,2.5369095802e-01
g111,sa1,24,1,4.6875000000e-01
g310,sa1,30,0,1.2211990356e-01
g301,sa1,30,0,2.5006115437e-01
g410,sa0,30,0,4.9976062775e-01
g230,sa0,30,0,4.5836363967e-05
g500,sa0,8,1,4.9218750093e-01
g212,sa0,30,0,3.0577590223e-05
g131,sa0,25,1,4.6969604492e-01
g122,sa1,5,1,4.3750000000e-01
g114,sa0,16,1,4.6969604492e-01
g123,sa0,29,1,4.6606445313e-01
g402,sa0,30,0,4.9976062775e-01
g410,sa1,30,0,4.9976062775e-01
g230,sa1,30,0,4.5776773874e-05
g500,sa1,8,1,4.9218750093e-01
g212,sa1,30,0,3.0518000131e-05
g131,sa1,26,1,4.6969604492e-01
g114,sa1,20,1,4.6969604492e-01
g123,sa1,29,1,4.6606445313e-01
g430,sa0,30,0,4.9976062775e-01
g402,sa1,30,0,4.9976062775e-01
g520,sa0,30,0,4.9993944169e-01
g3,sa0,5,1,5.0000000000e-01
g610,sa0,2,1,2.5000000000e-01
g331,sa1,5,1,4.3750000000e-01
g314,sa0,30,0,3.4999465942e-01
g107,sa0,30,0,5.6890249252e-03
g323,sa0,21,1,4.6899318695e-01
g332,sa0,30,0,4.6508884430e-01
g430,sa1,30,0,4.9976062775e-01
g422,sa0,30,0,4.9976062775e-01
g520,sa1,30,0,4.9993944168e-01
g242,sa0,30,0,3.0577590223e-05
g512,sa0,7,1,4.9218750093e-01
g224,sa0,30,0,4.5836363967e-05
g260,sa0,30,0,3.0577589825e-05
g3,sa1,5,1,5.0000000000e-01
g602,sa0,1,1,2.5000000000e-01
g610,sa1,2,1,2.5000000000e-01
g341,sa0,30,0,4.5092678070e-01
g143,sa0,30,0,3.6863613129e-01
g152,sa0,30,0,3.6893057823e-01
g161,sa0,30,0,3.6917090416e-01
g170,sa0,30,0,3.6917090416e-01
g702,sa0,1,1,5.0000000000e-01
g306,sa0,30,0,1.8706905095e-01
g314,sa1,30,0,3.4268188477e-01
g107,sa1,30,0,1.1775374413e-02
g323,sa1,30,0,4.6484375000e-01
g332,sa1,30,0,4.6508812904e-01
g441,sa0,30,0,4.9976062775e-01
g414,sa0,30,0,4.9976062775e-01
g422,sa1,30,0,4.9976062775e-01
g242,sa1,30,0,3.7834979594e-10
g512,sa1,7,1,4.9218750000e-01
g224,sa1,30,0,4.5776773874e-05
g504,sa0,7,1,4.9218750093e-01
g260,sa1,30,0,3.0517621752e-05
g602,sa1,1,1,2.5000000000e-01
g341,sa1,30,0,4.5678615570e-01
g135,sa0,25,1,4.6969604492e-01
g143,sa1,30,0,3.6869812012e-01
g152,sa1,30,0,3.6894965172e-01
g161,sa1,30,0,3.6870551109e-01
g170,sa1,30,0,3.6870551109e-01
g702,sa1,1,1,5.0000000000e-01
g306,sa1,30,0,1.8870243430e-01
g117,sa1,5,1,4.3750000000e-01
g406,sa0,30,0,4.9976062775e-01
g441,sa1,30,0,4.9976062775e-01
g414,sa1,30,0,4.9976062775e-01
g370,sa0,5,1,3.6035156250e-01
g541,sa0,30,0,2.4046847921e-01
g504,sa1,7,1,4.9218750000e-01
g532,sa0,6,1,4.8437500186e-01
g613,sa0,3,1,2.5000000000e-01
g135,sa1,26,1,4.6969604492e-01
g622,sa0,6,1,2.5000000000e-01
g631,sa0,9,1,2.5000000000e-01
g361,sa0,30,0,4.6282958984e-01
g118,sa1,5,1,4.3750000000e-01
